Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Luca Zidane,fr FRA,GK,26-039,42,3780.0,90.0,100.0,42.0,42,90.0,42,0,0.0,0,1.64,72.0,48.0,24.0,0.57,0.0,55.6,50.7,4.9,0.12,0.0,Matches
Anaitz Arbilla,es ESP,DF,37-037,41,3513.0,86.0,92.9,39.0,39,88.0,36,2,48.0,0,1.6,66.0,43.0,23.0,0.59,0.25,51.7,43.9,7.7,0.2,1.14,Matches
Matheus Pereira da Silva,br BRA,MF,26-117,40,3377.0,84.0,89.3,37.5,39,86.0,30,1,25.0,0,1.62,61.0,46.0,15.0,0.4,-1.61,47.5,46.2,1.3,0.03,-0.78,Matches
Mario Soriano,es ESP,MF,22-060,41,3031.0,74.0,80.2,33.7,38,79.0,11,3,16.0,1,1.65,58.0,35.0,23.0,0.68,0.56,43.9,36.3,7.6,0.22,0.54,Matches
Stoichkov,es ESP,FW,30-229,39,3070.0,79.0,81.2,34.1,37,81.0,11,2,34.0,0,1.61,60.0,29.0,31.0,0.91,1.8,47.3,36.0,11.3,0.33,1.14,Matches
Álvaro Tejero,es ESP,DF,27-337,36,3005.0,83.0,79.5,33.4,34,87.0,29,2,16.0,0,1.58,55.0,40.0,15.0,0.45,-0.6,42.8,38.6,4.2,0.13,0.04,Matches
Juan Berrocal,es ESP,DF,25-048,34,2875.0,85.0,76.1,31.9,34,85.0,28,0,0.0,2,1.69,59.0,36.0,23.0,0.72,0.62,43.2,38.4,4.8,0.15,0.14,Matches
Ager Aketxe,es ESP,"FW,MF",30-174,40,2770.0,69.0,73.3,30.8,34,77.0,12,6,26.0,0,1.57,47.0,29.0,18.0,0.58,0.05,40.3,35.5,4.8,0.16,0.15,Matches
Jon Bautista,es ESP,FW,28-354,34,2297.0,68.0,60.8,25.5,27,78.0,6,7,27.0,4,1.65,42.0,25.0,17.0,0.67,0.24,33.5,29.5,4.1,0.16,0.11,Matches
Cristian Gutierrez,es ESP,DF,23-204,35,2055.0,59.0,54.4,22.8,24,77.0,8,11,18.0,3,1.51,39.0,21.0,18.0,0.79,0.48,31.5,22.7,8.8,0.39,0.59,Matches
Sergio Álvarez,es ESP,"MF,DF",32-150,34,2113.0,62.0,55.9,23.5,22,86.0,19,12,18.0,1,1.56,42.0,28.0,14.0,0.6,0.06,30.3,26.1,4.1,0.18,0.13,Matches
José Corpas,es ESP,"FW,DF",32-350,37,2073.0,56.0,54.8,23.0,22,76.0,6,15,26.0,1,1.62,41.0,23.0,18.0,0.78,0.47,30.8,23.6,7.1,0.31,0.42,Matches
José Antonio Ríos,es ESP,DF,34-042,28,1666.0,60.0,44.1,18.5,17,84.0,12,11,22.0,9,1.64,33.0,26.0,7.0,0.38,-0.35,23.9,27.1,-3.2,-0.17,-0.51,Matches
Unai Vencedor Paris,es ESP,MF,23-219,38,1358.0,36.0,35.9,15.1,14,72.0,3,24,15.0,4,1.71,31.0,17.0,14.0,0.93,0.56,24.1,21.0,3.1,0.21,0.14,Matches
Peru Nolaskoain,es ESP,MF,25-240,16,1027.0,64.0,27.2,11.4,11,80.0,6,5,29.0,0,1.5,19.0,12.0,7.0,0.61,0.06,13.9,13.8,0.0,0.0,-0.16,Matches
Frederico Venâncio,pt POR,DF,31-138,19,1005.0,53.0,26.6,11.2,10,79.0,6,9,24.0,14,1.53,18.0,22.0,-4.0,-0.36,-1.27,13.8,20.8,-6.9,-0.62,-1.01,Matches
Quique,es ESP,FW,34-036,15,573.0,38.0,15.2,6.4,7,70.0,0,8,10.0,27,1.93,9.0,10.0,-1.0,-0.16,-0.86,6.6,8.3,-1.7,-0.27,-0.46,Matches
Yanis Rahmani,fr FRA,FW,29-039,16,556.0,35.0,14.7,6.2,5,77.0,0,11,16.0,6,1.63,8.0,8.0,0.0,0.0,-0.67,8.0,6.8,1.2,0.2,0.1,Matches
Sergio León,es ESP,FW,35-167,15,399.0,27.0,10.6,4.4,4,60.0,0,11,14.0,3,1.81,10.0,7.0,3.0,0.68,0.12,8.6,5.1,3.5,0.79,0.76,Matches
Konrad De La Fuente,us USA,"FW,MF",22-341,19,372.0,20.0,9.8,4.1,1,65.0,0,18,17.0,8,1.57,10.0,11.0,-1.0,-0.24,-0.9,6.4,9.3,-2.9,-0.7,-0.91,Matches
Rober Correa,es ESP,DF,31-275,6,148.0,25.0,3.9,1.6,1,78.0,0,5,14.0,11,2.0,2.0,3.0,-1.0,-0.61,-1.23,1.8,3.4,-1.6,-0.97,-1.13,Matches
Angel Troncho,es ESP,"FW,DF",21-263,5,90.0,18.0,2.4,1.0,0,0.0,0,5,18.0,13,1.2,2.0,0.0,2.0,2.0,1.46,1.0,1.3,-0.3,-0.34,-0.47,Matches
Yacine Qasmi,ma MAR,FW,33-170,11,76.0,7.0,2.0,0.8,0,0.0,0,11,7.0,20,2.0,3.0,1.0,2.0,2.37,1.83,2.0,1.9,0.1,0.13,0.02,Matches
Jorge Yriarte,ve VEN,MF,24-109,5,58.0,12.0,1.5,0.6,0,0.0,0,5,12.0,19,3.0,1.0,0.0,1.0,1.55,1.0,1.1,1.0,0.1,0.17,0.05,Matches
Ander Madariaga,es ESP,"MF,FW",22-102,4,53.0,13.0,1.4,0.6,0,0.0,0,4,13.0,16,3.0,4.0,2.0,2.0,3.4,2.86,1.2,3.0,-1.8,-3.09,-3.25,Matches
Stefan Simić,cz CZE,DF,29-153,1,24.0,24.0,0.6,0.3,0,0.0,0,1,24.0,33,1.5,1.0,0.0,1.0,3.75,3.2,0.4,0.0,0.4,1.6,1.5,Matches
