Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Nicolás Ezequiel Fernández,ar ARG,"MF,FW",24-162,36.1,42,33,17,14,11,19,48,39.6,29,54,3,51,18,60,16,0,Matches
Pedro Bigas,es ESP,DF,33-280,34.8,25,13,23,2,0,15,27,55.6,12,33,26,7,34,59,127,2,Matches
Tete Morente,es ESP,"MF,DF",27-200,36.0,56,33,20,25,11,33,67,49.3,34,42,5,37,37,93,56,1,Matches
Carlos Clerc,es ESP,DF,32-121,33.5,74,43,34,33,7,40,60,66.7,20,31,8,23,55,129,115,0,Matches
Mario Gaspar,es ESP,"DF,MF",33-210,30.0,39,24,11,22,6,21,35,60.0,14,29,10,19,33,72,84,0,Matches
Nicolás Castro,ar ARG,MF,23-233,28.6,58,34,24,25,9,28,69,40.6,41,23,0,23,21,79,15,1,Matches
Aleix Febas,es ESP,MF,28-140,28.0,70,48,31,32,7,28,55,50.9,27,23,1,22,14,84,5,0,Matches
Mourad El Ghezouani,ma MAR,FW,26-025,24.8,19,12,5,10,4,9,28,32.1,19,17,2,15,1,20,31,0,Matches
Josan,es ESP,DF,34-201,24.0,58,33,30,23,5,38,61,62.3,23,22,5,17,27,85,22,0,Matches
Matías Dituro,ar ARG,GK,37-044,21.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,5,2,Matches
John Donald,es ESP,"MF,DF",23-296,18.9,32,21,14,14,4,19,31,61.3,12,23,5,18,30,62,33,1,Matches
Sergio Carreira,es ESP,"DF,MF",23-252,16.5,24,16,13,7,4,15,20,75.0,5,15,3,12,13,37,22,1,Matches
Óscar Plano,es ESP,"FW,MF",33-131,15.1,19,10,5,13,1,6,15,40.0,9,16,2,14,14,33,7,0,Matches
San Román,es ESP,GK,26-343,14.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,7,0,Matches
Fidel,es ESP,"MF,FW",34-238,10.4,8,3,3,4,1,5,17,29.4,12,6,2,4,4,12,3,0,Matches
Rodrigo Mendoza,es ESP,MF,19-098,11.3,14,8,7,6,1,6,15,40.0,9,11,1,10,15,29,16,0,Matches
José Salinas,es ESP,"DF,MF",23-265,11.0,15,10,8,5,2,9,11,81.8,2,14,5,9,3,18,23,1,Matches
Édgar Badía,es ESP,GK,32-130,7.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,1,Matches
Arnau Puigmal,es ESP,"MF,DF",23-163,6.6,8,7,4,4,0,3,5,60.0,2,3,0,3,6,14,1,0,Matches
Borja Garcés,es ESP,FW,24-320,6.8,7,3,3,4,0,2,3,66.7,1,3,1,2,2,9,5,0,Matches
Sergio Bermejo,es ESP,"MF,FW",26-309,5.6,11,5,3,6,2,6,9,66.7,3,4,0,4,2,13,5,0,Matches
Sergio León,es ESP,FW,35-167,5.4,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,6,0,Matches
Raúl Guti,es ESP,"MF,FW",27-174,4.4,5,2,3,1,1,3,11,27.3,8,4,3,1,7,12,0,0,Matches
Álex Martín,es ESP,"DF,MF",26-148,3.5,15,10,11,4,0,10,11,90.9,1,2,1,1,12,27,15,0,Matches
Jhegson Méndez,ec ECU,MF,27-056,3.3,8,5,7,1,0,3,7,42.9,4,1,0,1,6,14,4,0,Matches
Diego González,es ESP,DF,29-145,4.6,4,3,3,1,0,4,4,100.0,0,5,3,2,3,7,18,0,Matches
Nieto,es ESP,"FW,DF",26-084,4.0,4,0,1,1,2,0,2,0.0,2,3,0,3,0,4,0,0,Matches
Lautaro Blanco,ar ARG,"DF,MF",25-123,3.7,7,3,6,1,0,4,8,50.0,4,2,1,1,2,9,6,1,Matches
Cristian Salvador,es ESP,"MF,DF",29-214,5.0,15,9,5,10,0,5,13,38.5,8,6,0,6,8,23,16,0,Matches
Lucas Boyé,ar ARG,FW,28-114,2.4,1,0,0,1,0,1,3,33.3,2,4,1,3,0,1,4,0,Matches
Rafael Nuñez,do DOM,"MF,DF",22-148,2.1,2,1,1,0,1,2,5,40.0,3,5,0,5,0,2,0,0,Matches
Adam Boayar,es ESP,"FW,DF",18-252,2.5,7,4,1,6,0,0,2,0.0,2,5,0,5,1,8,3,0,Matches
Pere Milla,es ESP,FW,31-272,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Javi Pamies,es ESP,"DF,MF",21-096,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
David López,es ESP,"DF,MF",21-139,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,28.8,42.0,649,394,294,276,79,335,645,51.9,310,407,88,319,369,1018,679,11,0
Opponent Total,0,0,27.6,42.0,708,419,320,308,80,396,827,47.9,431,527,191,336,376,1084,1090,8,0
