Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Nicolás Ezequiel Fernández,ar ARG,"MF,FW",24-162,36.1,14,0,0,75,66,7,234,18,33,0,0,0,177,16,49,24.6,Matches
Pedro Bigas,es ESP,DF,33-280,34.8,6,0,0,25,18,2,5,34,13,0,0,0,168,78,34,69.6,Matches
Tete Morente,es ESP,"MF,DF",27-200,36.0,4,0,0,48,44,14,157,37,33,1,0,0,157,65,34,65.7,Matches
Carlos Clerc,es ESP,DF,32-121,33.5,5,1,0,34,31,3,67,55,43,0,0,0,160,45,35,56.3,Matches
Mario Gaspar,es ESP,"DF,MF",33-210,30.0,7,1,0,29,11,1,18,33,24,0,0,0,99,76,70,52.1,Matches
Nicolás Castro,ar ARG,MF,23-233,28.6,5,1,1,31,15,1,87,21,34,0,0,0,182,7,15,31.8,Matches
Aleix Febas,es ESP,MF,28-140,28.0,4,0,0,28,104,1,18,14,48,0,0,0,202,10,20,33.3,Matches
Mourad El Ghezouani,ma MAR,FW,26-025,24.8,5,0,0,40,27,14,2,1,12,1,0,0,46,90,136,39.8,Matches
Josan,es ESP,DF,34-201,24.0,6,0,0,30,44,2,138,27,33,0,1,0,143,9,12,42.9,Matches
Matías Dituro,ar ARG,GK,37-044,21.0,1,0,0,0,2,0,0,1,0,0,0,0,28,5,0,100.0,Matches
John Donald,es ESP,"MF,DF",23-296,18.9,5,0,0,31,12,1,0,30,21,0,0,0,82,83,51,61.9,Matches
Sergio Carreira,es ESP,"DF,MF",23-252,16.5,1,0,0,13,14,0,41,13,16,0,0,0,70,9,16,36.0,Matches
Óscar Plano,es ESP,"FW,MF",33-131,15.1,0,0,0,21,32,5,17,14,10,1,0,0,67,34,34,50.0,Matches
San Román,es ESP,GK,26-343,14.0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,2,60.0,Matches
Fidel,es ESP,"MF,FW",34-238,10.4,3,0,0,11,14,1,77,4,3,0,0,0,58,1,11,8.3,Matches
Rodrigo Mendoza,es ESP,MF,19-098,11.3,3,0,0,26,18,2,19,15,8,1,0,0,60,22,26,45.8,Matches
José Salinas,es ESP,"DF,MF",23-265,11.0,1,0,0,13,16,2,31,3,10,0,0,0,46,13,17,43.3,Matches
Édgar Badía,es ESP,GK,32-130,7.0,1,0,0,0,0,0,0,0,0,0,0,0,16,1,0,100.0,Matches
Arnau Puigmal,es ESP,"MF,DF",23-163,6.6,1,0,0,6,4,4,55,6,7,0,0,0,27,2,6,25.0,Matches
Borja Garcés,es ESP,FW,24-320,6.8,4,0,0,20,15,1,1,2,3,0,0,0,14,19,27,41.3,Matches
Sergio Bermejo,es ESP,"MF,FW",26-309,5.6,2,0,0,9,11,0,10,2,5,0,0,0,20,3,4,42.9,Matches
Sergio León,es ESP,FW,35-167,5.4,0,0,0,3,5,6,1,0,1,0,0,0,5,10,21,32.3,Matches
Raúl Guti,es ESP,"MF,FW",27-174,4.4,1,0,0,7,5,0,10,7,2,0,0,0,20,7,3,70.0,Matches
Álex Martín,es ESP,"DF,MF",26-148,3.5,0,0,0,4,6,1,2,12,10,0,0,0,25,13,5,72.2,Matches
Jhegson Méndez,ec ECU,MF,27-056,3.3,1,0,0,3,1,0,1,6,5,0,0,0,17,2,2,50.0,Matches
Diego González,es ESP,DF,29-145,4.6,1,0,0,7,1,0,0,3,3,0,1,0,22,17,10,63.0,Matches
Nieto,es ESP,"FW,DF",26-084,4.0,0,0,0,8,4,3,0,0,0,0,0,0,11,16,25,39.0,Matches
Lautaro Blanco,ar ARG,"DF,MF",25-123,3.7,2,0,0,7,5,0,45,2,3,0,0,0,28,0,2,0.0,Matches
Cristian Salvador,es ESP,"MF,DF",29-214,5.0,2,0,0,6,4,0,1,8,9,0,0,0,29,11,6,64.7,Matches
Lucas Boyé,ar ARG,FW,28-114,2.4,1,0,0,5,5,1,1,0,0,0,0,0,3,7,9,43.8,Matches
Rafael Nuñez,do DOM,"MF,DF",22-148,2.1,0,0,0,1,2,1,7,0,1,0,0,0,14,2,2,50.0,Matches
Adam Boayar,es ESP,"FW,DF",18-252,2.5,1,0,0,7,8,0,0,1,4,0,0,0,14,5,6,45.5,Matches
Pere Milla,es ESP,FW,31-272,0.1,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,100.0,Matches
Javi Pamies,es ESP,"DF,MF",21-096,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
David López,es ESP,"DF,MF",21-139,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,0,0,28.8,42.0,87,3,1,552,546,74,1045,369,394,4,2,0,2019,683,691,49.7,0
Opponent Total,0,0,27.6,42.0,111,3,1,575,525,87,606,376,419,1,6,2,1843,691,683,50.3,0
