Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Sergio Ortuño,es ESP,MF,25-111,38.0,72,48,25,36,11,31,78,39.7,47,42,10,32,46,118,46,0,Matches
Marc Mateu,es ESP,"DF,MF",34-005,36.5,53,34,25,25,3,23,47,48.9,24,21,8,13,31,84,82,1,Matches
David Timor,es ESP,MF,34-248,33.4,44,30,19,17,8,27,45,60.0,18,42,27,15,39,83,94,1,Matches
Tony Abad,es ESP,DF,27-231,31.8,51,37,26,20,5,22,36,61.1,14,35,8,27,30,81,83,2,Matches
Dario Đumić,ba BIH,DF,32-143,28.1,20,10,9,9,2,6,12,50.0,6,22,18,4,16,36,121,0,Matches
Chapela,es ESP,"MF,FW",25-031,27.2,22,16,12,5,5,11,33,33.3,22,28,6,22,14,36,34,0,Matches
Soberón,es ESP,FW,27-034,25.8,13,8,1,10,2,3,23,13.0,20,11,0,11,7,20,6,0,Matches
Carlos Hernández,es ESP,DF,33-280,24.8,48,30,32,16,0,24,30,80.0,6,27,19,8,21,69,143,1,Matches
Piña,es ESP,DF,29-235,26.0,16,8,11,4,1,6,8,75.0,2,20,14,6,24,40,126,1,Matches
Jesús Clemente,es ESP,"MF,FW",24-172,22.0,38,21,16,15,7,16,32,50.0,16,29,3,26,11,49,18,1,Matches
Juanto Ortuño,es ESP,FW,32-131,20.3,18,6,0,9,9,5,15,33.3,10,10,1,9,2,20,13,0,Matches
Florin Andone,ro ROU,FW,31-071,15.7,14,7,1,8,5,3,10,30.0,7,11,2,9,3,17,10,0,Matches
Álex Bernal,es ESP,"MF,FW",33-110,18.9,35,19,11,17,7,11,24,45.8,13,27,2,25,29,64,8,0,Matches
Álvaro Aceves,es ESP,GK,20-331,14.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,6,0,Matches
Derick,br BRA,"DF,MF",30-294,14.8,32,19,17,13,2,11,19,57.9,8,23,8,15,19,51,43,0,Matches
Cris Montes,es ESP,MF,26-316,12.1,17,9,11,5,1,5,26,19.2,21,20,1,19,8,25,5,1,Matches
Vallejo,es ESP,GK,29-060,11.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2,Matches
Andoni Zubiaurre,es ESP,GK,27-200,10.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,4,0,Matches
Pedro Capó,es ESP,"MF,DF",33-193,11.1,21,12,10,11,0,9,14,64.3,5,10,5,5,17,38,30,0,Matches
Ian Mackay,es ESP,GK,37-343,7.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0,Matches
Joel Jorquera,es ESP,"MF,FW",23-307,8.9,26,13,16,6,4,12,16,75.0,4,13,1,12,8,34,9,0,Matches
Dauda Mohammed,gh GHA,"FW,MF",26-122,5.2,3,1,0,1,2,3,7,42.9,4,7,3,4,3,6,0,0,Matches
Álex Martínez,es ESP,DF,33-314,3.0,4,3,3,1,0,3,3,100.0,0,3,0,3,2,6,11,0,Matches
Nacho Monsalve,es ESP,DF,30-055,2.9,5,3,1,4,0,1,1,100.0,0,3,2,1,5,10,9,0,Matches
Arnau Ortiz,es ESP,"MF,FW",22-236,3.2,3,2,0,1,2,2,9,22.2,7,3,0,3,2,5,2,0,Matches
Eddie Salcedo,it ITA,"FW,MF",22-264,3.1,3,2,2,1,0,0,3,0.0,3,3,0,3,3,6,3,0,Matches
Miguel Juan Llambrich,es ESP,DF,28-155,1.1,3,3,0,2,1,2,5,40.0,3,1,0,1,0,3,2,0,Matches
Youness Lachhab Didi,ma MAR,"MF,DF",25-059,3.4,13,9,7,5,1,7,11,63.6,4,3,1,2,4,17,13,0,Matches
Marc-Olivier Doué,fr FRA,"FW,MF",23-254,1.4,3,1,1,2,0,2,2,100.0,0,3,1,2,1,4,1,0,Matches
Miguel Marí,es ESP,MF,26-357,0.5,2,1,0,2,0,0,2,0.0,2,0,0,0,0,2,0,0,Matches
Gabriel Jimeno,es ESP,MF,20-175,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,29.5,42.0,581,353,258,245,78,247,515,48.0,268,417,140,277,347,928,924,10,0
Opponent Total,0,0,27.7,42.0,618,388,343,220,55,306,543,56.4,237,437,128,309,329,947,930,13,0
