Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Sergio Ortuño,es ESP,MF,25-111,38.0,123,3.24,101,9,4,4,2,3,12,0.32,7,2,1,1,0,1,Matches
Marc Mateu,es ESP,"DF,MF",34-005,36.5,110,3.01,46,58,3,1,1,1,12,0.33,5,6,0,1,0,0,Matches
David Timor,es ESP,MF,34-248,33.4,46,1.38,38,1,2,3,0,2,1,0.03,1,0,0,0,0,0,Matches
Tony Abad,es ESP,DF,27-231,31.8,75,2.36,58,12,0,0,2,3,8,0.25,8,0,0,0,0,0,Matches
Dario Đumić,ba BIH,DF,32-143,28.1,20,0.71,15,2,1,2,0,0,3,0.11,2,1,0,0,0,0,Matches
Chapela,es ESP,"MF,FW",25-031,27.2,49,1.8,34,1,3,6,3,2,3,0.11,2,0,0,1,0,0,Matches
Soberón,es ESP,FW,27-034,25.8,55,2.13,41,0,7,5,2,0,8,0.31,5,0,1,2,0,0,Matches
Carlos Hernández,es ESP,DF,33-280,24.8,16,0.64,13,0,0,3,0,0,1,0.04,0,0,0,1,0,0,Matches
Piña,es ESP,DF,29-235,26.0,10,0.38,7,0,1,0,0,2,3,0.12,2,0,1,0,0,0,Matches
Jesús Clemente,es ESP,"MF,FW",24-172,22.0,46,2.09,35,0,0,5,6,0,9,0.41,5,0,0,2,2,0,Matches
Juanto Ortuño,es ESP,FW,32-131,20.3,32,1.58,17,0,5,6,3,1,5,0.25,1,0,1,2,0,1,Matches
Florin Andone,ro ROU,FW,31-071,15.7,19,1.21,13,0,0,3,3,0,2,0.13,1,0,0,1,0,0,Matches
Álex Bernal,es ESP,"MF,FW",33-110,18.9,44,2.33,34,0,1,2,6,1,3,0.16,3,0,0,0,0,0,Matches
Álvaro Aceves,es ESP,GK,20-331,14.0,2,0.14,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Derick,br BRA,"DF,MF",30-294,14.8,11,0.74,7,3,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cris Montes,es ESP,MF,26-316,12.1,45,3.73,39,1,2,3,0,0,2,0.17,2,0,0,0,0,0,Matches
Vallejo,es ESP,GK,29-060,11.0,1,0.09,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Andoni Zubiaurre,es ESP,GK,27-200,10.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Capó,es ESP,"MF,DF",33-193,11.1,12,1.08,10,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Ian Mackay,es ESP,GK,37-343,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joel Jorquera,es ESP,"MF,FW",23-307,8.9,22,2.48,16,0,2,1,3,0,2,0.23,1,0,0,0,1,0,Matches
Dauda Mohammed,gh GHA,"FW,MF",26-122,5.2,13,2.49,8,0,1,2,1,1,0,0.0,0,0,0,0,0,0,Matches
Álex Martínez,es ESP,DF,33-314,3.0,4,1.33,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nacho Monsalve,es ESP,DF,30-055,2.9,2,0.69,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Arnau Ortiz,es ESP,"MF,FW",22-236,3.2,13,4.11,9,0,1,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Eddie Salcedo,it ITA,"FW,MF",22-264,3.1,6,1.96,5,0,0,0,1,0,3,0.98,2,0,0,0,1,0,Matches
Miguel Juan Llambrich,es ESP,DF,28-155,1.1,1,0.92,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Youness Lachhab Didi,ma MAR,"MF,DF",25-059,3.4,7,2.07,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Marc-Olivier Doué,fr FRA,"FW,MF",23-254,1.4,4,2.98,4,0,0,0,0,0,1,0.74,1,0,0,0,0,0,Matches
Miguel Marí,es ESP,MF,26-357,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Jimeno,es ESP,MF,20-175,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,29.5,42.0,790,18.81,563,91,34,48,36,18,78,1.86,48,9,4,11,4,2,0
Opponent Total,0,0,27.7,42.0,901,21.45,668,69,45,64,46,9,94,2.24,68,6,5,6,8,1,0
