Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Sergio Ortuño,es ESP,MF,25-111,38.0,8,0,0,58,26,0,85,46,48,0,1,0,224,26,45,36.6,Matches
Marc Mateu,es ESP,"DF,MF",34-005,36.5,3,0,0,10,41,2,281,31,34,0,0,0,209,26,24,52.0,Matches
David Timor,es ESP,MF,34-248,33.4,13,0,0,44,22,0,21,39,30,0,0,1,163,84,47,64.1,Matches
Tony Abad,es ESP,DF,27-231,31.8,6,0,0,29,15,2,106,30,37,0,0,0,149,40,37,51.9,Matches
Dario Đumić,ba BIH,DF,32-143,28.1,11,1,0,28,23,2,3,16,10,0,1,0,93,58,38,60.4,Matches
Chapela,es ESP,"MF,FW",25-031,27.2,2,0,0,15,55,12,38,14,16,1,0,0,99,22,39,36.1,Matches
Soberón,es ESP,FW,27-034,25.8,2,0,0,52,17,6,24,7,8,0,0,0,87,28,78,26.4,Matches
Carlos Hernández,es ESP,DF,33-280,24.8,3,1,0,30,13,6,0,21,30,0,2,0,101,91,75,54.8,Matches
Piña,es ESP,DF,29-235,26.0,3,0,0,23,12,0,1,24,8,0,0,2,79,52,37,58.4,Matches
Jesús Clemente,es ESP,"MF,FW",24-172,22.0,8,0,0,80,39,6,61,11,21,0,0,0,105,57,88,39.3,Matches
Juanto Ortuño,es ESP,FW,32-131,20.3,3,0,0,60,24,11,2,2,6,0,1,0,53,51,91,35.9,Matches
Florin Andone,ro ROU,FW,31-071,15.7,7,0,0,63,29,15,10,3,7,0,0,0,38,69,90,43.4,Matches
Álex Bernal,es ESP,"MF,FW",33-110,18.9,5,0,0,39,36,3,18,29,19,0,0,0,100,13,41,24.1,Matches
Álvaro Aceves,es ESP,GK,20-331,14.0,0,0,0,0,1,0,0,0,1,0,0,0,18,1,0,100.0,Matches
Derick,br BRA,"DF,MF",30-294,14.8,4,0,0,14,7,1,40,19,19,0,0,0,83,13,19,40.6,Matches
Cris Montes,es ESP,MF,26-316,12.1,1,0,0,9,9,0,25,8,9,0,0,0,91,1,10,9.1,Matches
Vallejo,es ESP,GK,29-060,11.0,0,0,0,0,3,0,0,0,0,0,0,0,18,3,0,100.0,Matches
Andoni Zubiaurre,es ESP,GK,27-200,10.0,1,0,0,0,1,0,0,1,0,0,0,0,10,0,0,0.0,Matches
Pedro Capó,es ESP,"MF,DF",33-193,11.1,4,0,0,17,3,0,6,17,12,0,1,0,57,13,13,50.0,Matches
Ian Mackay,es ESP,GK,37-343,7.0,1,0,0,0,1,0,0,1,0,0,0,0,6,1,0,100.0,Matches
Joel Jorquera,es ESP,"MF,FW",23-307,8.9,2,0,0,12,25,1,18,8,13,1,1,0,49,3,12,20.0,Matches
Dauda Mohammed,gh GHA,"FW,MF",26-122,5.2,2,0,0,12,10,4,7,3,1,0,0,0,18,22,30,42.3,Matches
Álex Martínez,es ESP,DF,33-314,3.0,0,0,0,1,1,0,16,2,3,0,0,1,19,4,1,80.0,Matches
Nacho Monsalve,es ESP,DF,30-055,2.9,0,0,0,2,0,0,0,5,3,0,0,0,7,4,4,50.0,Matches
Arnau Ortiz,es ESP,"MF,FW",22-236,3.2,0,0,0,6,5,1,2,2,2,0,0,0,14,3,9,25.0,Matches
Eddie Salcedo,it ITA,"FW,MF",22-264,3.1,1,0,0,10,11,2,2,3,2,1,0,0,14,7,8,46.7,Matches
Miguel Juan Llambrich,es ESP,DF,28-155,1.1,0,0,0,3,2,1,2,0,3,0,0,0,3,0,1,0.0,Matches
Youness Lachhab Didi,ma MAR,"MF,DF",25-059,3.4,2,0,0,14,2,0,1,4,9,0,0,0,23,7,9,43.8,Matches
Marc-Olivier Doué,fr FRA,"FW,MF",23-254,1.4,2,1,1,6,1,0,4,1,1,0,0,0,6,6,9,40.0,Matches
Miguel Marí,es ESP,MF,26-357,0.5,0,0,0,2,0,0,0,0,1,0,0,0,4,2,0,100.0,Matches
Gabriel Jimeno,es ESP,MF,20-175,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,29.5,42.0,95,3,1,640,434,75,773,347,353,3,7,4,1940,707,855,45.3,0
Opponent Total,0,0,27.7,42.0,73,2,0,472,588,68,877,329,388,6,7,0,1957,855,707,54.7,0
