Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Sergio Ortuño,es ESP,MF,25-111,38.0,2075,1982,83,62,0,12,85,5,9,1,4,0,1672,10,40,Matches
Marc Mateu,es ESP,"DF,MF",34-005,36.5,1764,1120,633,125,0,25,281,347,160,74,56,1,1069,11,30,Matches
David Timor,es ESP,MF,34-248,33.4,1326,1268,51,40,4,40,21,7,4,1,2,1,954,7,14,Matches
Tony Abad,es ESP,DF,27-231,31.8,1877,1426,449,21,1,3,106,427,1,0,0,0,1473,2,47,Matches
Dario Đumić,ba BIH,DF,32-143,28.1,992,924,63,58,0,3,3,3,0,0,0,0,650,5,4,Matches
Chapela,es ESP,"MF,FW",25-031,27.2,620,600,16,7,0,3,38,6,2,1,0,0,422,4,32,Matches
Soberón,es ESP,FW,27-034,25.8,543,499,38,0,4,3,24,3,0,0,0,0,371,6,19,Matches
Carlos Hernández,es ESP,DF,33-280,24.8,800,774,19,13,0,2,0,6,0,0,0,0,599,7,9,Matches
Piña,es ESP,DF,29-235,26.0,830,793,34,29,1,2,1,3,0,0,0,0,637,3,7,Matches
Jesús Clemente,es ESP,"MF,FW",24-172,22.0,652,624,26,0,0,2,61,26,0,0,0,0,394,2,49,Matches
Juanto Ortuño,es ESP,FW,32-131,20.3,427,404,22,0,2,8,2,2,0,0,0,0,303,1,13,Matches
Florin Andone,ro ROU,FW,31-071,15.7,271,257,13,0,0,0,10,0,0,0,0,0,156,1,11,Matches
Álex Bernal,es ESP,"MF,FW",33-110,18.9,617,598,16,3,2,2,18,0,1,1,0,0,490,3,15,Matches
Álvaro Aceves,es ESP,GK,20-331,14.0,413,233,180,57,0,0,0,0,0,0,0,0,199,0,1,Matches
Derick,br BRA,"DF,MF",30-294,14.8,535,397,135,2,0,1,40,132,1,0,0,0,337,3,18,Matches
Cris Montes,es ESP,MF,26-316,12.1,716,706,8,1,3,2,25,6,0,0,0,0,587,2,18,Matches
Vallejo,es ESP,GK,29-060,11.0,355,221,133,38,0,2,0,0,0,0,0,0,201,1,1,Matches
Andoni Zubiaurre,es ESP,GK,27-200,10.0,301,185,115,26,0,0,0,0,0,0,0,0,160,1,0,Matches
Pedro Capó,es ESP,"MF,DF",33-193,11.1,610,582,26,7,0,8,6,19,0,0,0,0,450,2,14,Matches
Ian Mackay,es ESP,GK,37-343,7.0,188,103,85,16,0,0,0,0,0,0,0,0,105,0,0,Matches
Joel Jorquera,es ESP,"MF,FW",23-307,8.9,203,184,18,3,1,0,18,9,3,1,0,0,135,1,10,Matches
Dauda Mohammed,gh GHA,"FW,MF",26-122,5.2,113,108,4,0,0,0,7,0,0,0,0,0,71,1,8,Matches
Álex Martínez,es ESP,DF,33-314,3.0,133,103,30,3,0,2,16,22,5,3,2,0,95,0,2,Matches
Nacho Monsalve,es ESP,DF,30-055,2.9,97,92,5,4,0,0,0,1,0,0,0,0,76,0,1,Matches
Arnau Ortiz,es ESP,"MF,FW",22-236,3.2,80,78,1,0,0,1,2,0,1,0,0,0,67,1,2,Matches
Eddie Salcedo,it ITA,"FW,MF",22-264,3.1,70,66,3,1,0,0,2,0,1,0,0,0,41,1,4,Matches
Miguel Juan Llambrich,es ESP,DF,28-155,1.1,52,36,16,1,0,1,2,15,0,0,0,0,40,0,2,Matches
Youness Lachhab Didi,ma MAR,"MF,DF",25-059,3.4,171,170,1,0,0,0,1,0,0,0,0,0,136,0,0,Matches
Marc-Olivier Doué,fr FRA,"FW,MF",23-254,1.4,54,52,2,0,0,0,4,2,0,0,0,0,41,0,1,Matches
Miguel Marí,es ESP,MF,26-357,0.5,18,18,0,0,0,0,0,0,0,0,0,0,14,0,0,Matches
Gabriel Jimeno,es ESP,MF,20-175,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,0,0,29.5,42.0,16905,14605,2225,517,18,122,773,1041,188,82,64,2,11947,75,372,0
Opponent Total,0,0,27.7,42.0,20231,17899,2264,684,29,166,877,955,203,76,71,1,15304,68,347,0
