Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Martin Braithwaite,dk DEN,FW,33-016,37.1,595,576,17,1,2,5,22,0,0,0,0,0,406,2,24,Matches
Leandro Cabrera,uy URU,DF,33-004,34.4,2143,1896,244,120,3,16,33,104,0,0,0,0,1629,3,22,Matches
Omar El Hilali,ma MAR,DF,20-283,31.9,1708,1350,353,35,1,4,113,318,0,0,0,0,1354,5,39,Matches
Javi Puado,es ESP,"MF,FW",26-027,31.1,788,759,24,3,7,6,34,9,3,0,0,0,617,5,16,Matches
Brian Oliván,es ESP,DF,30-081,28.1,1362,1046,308,27,0,8,158,253,28,10,11,0,924,8,41,Matches
Pere Milla,es ESP,"FW,MF",31-272,27.8,746,705,39,11,7,2,44,10,13,4,5,0,497,2,35,Matches
Fernando Pacheco,es ESP,GK,32-034,28.0,821,577,242,68,0,1,0,0,0,0,0,0,617,2,1,Matches
Álvaro Aguado,es ESP,MF,28-051,23.7,1611,1468,138,57,4,25,107,10,66,21,27,2,1335,5,17,Matches
Sergi Gómez,es ESP,DF,32-085,23.7,1369,1310,54,36,0,4,3,10,0,0,0,0,1197,5,5,Matches
Jofre,es ESP,"MF,FW",23-004,20.5,506,496,7,0,3,3,78,6,0,0,0,0,334,3,32,Matches
Fernando Calero,es ESP,DF,28-281,19.9,1373,1284,87,51,0,9,3,5,0,0,0,0,1211,2,4,Matches
Keidi Bare,al ALB,MF,26-298,21.5,1275,1199,72,47,3,10,33,3,13,1,6,0,1055,4,17,Matches
José Gragera,es ESP,MF,23-204,20.1,950,930,18,15,0,1,0,1,0,0,0,0,811,2,9,Matches
Pol Lozano,es ESP,MF,24-259,17.0,787,747,39,21,4,2,11,2,2,1,1,0,679,1,14,Matches
Nico Ribaudo,es ESP,"MF,FW",23-071,14.8,524,438,84,22,3,2,62,1,49,19,13,1,402,2,9,Matches
Edu Expósito,es ESP,MF,27-325,12.6,601,546,53,25,3,3,54,4,18,3,5,0,467,2,14,Matches
Joan García,es ESP,GK,23-048,14.0,444,333,111,43,0,0,0,0,0,0,0,0,330,0,0,Matches
Víctor Ruiz,es ESP,DF,35-148,10.4,720,679,36,28,1,2,0,1,0,0,0,0,629,5,3,Matches
Óscar Gil,es ESP,DF,27-056,9.1,444,328,113,5,0,2,19,108,0,0,0,0,349,3,15,Matches
Salvi,es ESP,"MF,FW",33-083,9.4,354,341,11,1,2,0,66,9,1,0,0,0,226,2,14,Matches
Keita Baldé,sn SEN,"FW,MF",29-105,5.2,115,111,2,1,0,0,5,0,0,0,0,0,84,2,0,Matches
Ramon,br BRA,DF,23-100,5.0,216,178,36,1,0,1,33,33,2,1,0,0,146,2,7,Matches
Gastón Valles,uy URU,"FW,MF",23-042,3.8,70,68,1,0,1,0,4,0,0,0,0,0,37,1,2,Matches
José Carlos Lazo,es ESP,"MF,FW",28-126,3.6,134,107,26,4,2,0,24,2,18,10,3,0,86,1,8,Matches
Antoniu,es ESP,"MF,DF",21-290,2.7,65,59,5,0,0,0,7,5,0,0,0,0,43,1,3,Matches
Ian Forns,es ESP,DF,20-137,1.3,55,45,10,0,1,0,4,10,0,0,0,0,41,0,0,Matches
Omar Sadik,ma MAR,FW,20-091,1.3,19,19,0,0,0,0,1,0,0,0,0,0,7,0,2,Matches
Rubén,es ESP,"DF,FW",23-138,1.4,51,44,7,0,0,0,4,7,0,0,0,0,41,0,1,Matches
Rafael Bauza,es ESP,MF,19-143,1.0,29,28,1,1,0,0,0,0,0,0,0,0,22,0,1,Matches
Landry Dimata,be BEL,"FW,MF",26-294,0.5,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
Kenneth,es ESP,MF,23-126,0.1,17,17,0,0,0,0,3,0,0,0,0,0,10,0,2,Matches
Roger Martínez,es ESP,DF,20-077,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,0,0,28.2,42.0,19904,17696,2138,623,47,106,925,911,213,70,71,3,15595,70,357,0
Opponent Total,0,0,27.7,42.0,18598,16380,2115,681,49,153,729,773,198,74,56,2,14414,103,378,0
