Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Martin Braithwaite,dk DEN,FW,33-016,37.1,22,102,35,34.3,2.75,0.94,0.15,0.43,16.3,6,7,8,17.4,11.1,0.11,4.6,3.9,Matches
Leandro Cabrera,uy URU,DF,33-004,34.4,1,16,3,18.8,0.46,0.09,0.06,0.33,10.5,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches
Omar El Hilali,ma MAR,DF,20-283,31.9,0,9,0,0.0,0.28,0.0,0.0,0.0,27.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Javi Puado,es ESP,"MF,FW",26-027,31.1,13,65,21,32.3,2.09,0.68,0.15,0.48,15.2,0,3,3,12.4,10.0,0.15,0.6,0.0,Matches
Brian Oliván,es ESP,DF,30-081,28.1,0,16,3,18.8,0.57,0.11,0.0,0.0,20.9,2,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Pere Milla,es ESP,"FW,MF",31-272,27.8,4,46,14,30.4,1.65,0.5,0.09,0.29,16.6,3,0,0,4.8,4.8,0.1,-0.8,-0.8,Matches
Fernando Pacheco,es ESP,GK,32-034,28.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Álvaro Aguado,es ESP,MF,28-051,23.7,1,18,4,22.2,0.76,0.17,0.06,0.25,25.4,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
Sergi Gómez,es ESP,DF,32-085,23.7,1,11,4,36.4,0.46,0.17,0.09,0.25,11.1,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches
Jofre,es ESP,"MF,FW",23-004,20.5,3,34,10,29.4,1.66,0.49,0.09,0.3,15.9,0,0,0,2.7,2.7,0.08,0.3,0.3,Matches
Fernando Calero,es ESP,DF,28-281,19.9,3,8,6,75.0,0.4,0.3,0.38,0.5,9.8,0,0,0,1.5,1.5,0.19,1.5,1.5,Matches
Keidi Bare,al ALB,MF,26-298,21.5,0,18,1,5.6,0.84,0.05,0.0,0.0,20.9,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
José Gragera,es ESP,MF,23-204,20.1,1,11,2,18.2,0.55,0.1,0.09,0.5,15.7,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
Pol Lozano,es ESP,MF,24-259,17.0,0,10,3,30.0,0.59,0.18,0.0,0.0,28.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Nico Ribaudo,es ESP,"MF,FW",23-071,14.8,4,53,15,28.3,3.59,1.02,0.08,0.27,20.6,8,0,0,4.2,4.2,0.08,-0.2,-0.2,Matches
Edu Expósito,es ESP,MF,27-325,12.6,1,32,11,34.4,2.53,0.87,0.03,0.09,26.4,1,0,0,1.4,1.4,0.04,-0.4,-0.4,Matches
Joan García,es ESP,GK,23-048,14.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Víctor Ruiz,es ESP,DF,35-148,10.4,0,6,0,0.0,0.58,0.0,0.0,0.0,12.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Óscar Gil,es ESP,DF,27-056,9.1,0,2,0,0.0,0.22,0.0,0.0,0.0,19.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Salvi,es ESP,"MF,FW",33-083,9.4,2,9,4,44.4,0.95,0.42,0.22,0.5,18.3,0,0,0,1.0,1.0,0.11,1.0,1.0,Matches
Keita Baldé,sn SEN,"FW,MF",29-105,5.2,0,8,2,25.0,1.55,0.39,0.0,0.0,14.3,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Ramon,br BRA,DF,23-100,5.0,0,2,0,0.0,0.4,0.0,0.0,0.0,28.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Gastón Valles,uy URU,"FW,MF",23-042,3.8,0,6,2,33.3,1.58,0.53,0.0,0.0,14.3,0,0,0,1.4,1.4,0.23,-1.4,-1.4,Matches
José Carlos Lazo,es ESP,"MF,FW",28-126,3.6,1,8,1,12.5,2.22,0.28,0.13,1.0,18.6,1,0,0,0.5,0.5,0.06,0.5,0.5,Matches
Antoniu,es ESP,"MF,DF",21-290,2.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Ian Forns,es ESP,DF,20-137,1.3,0,1,0,0.0,0.75,0.0,0.0,0.0,32.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Omar Sadik,ma MAR,FW,20-091,1.3,0,3,0,0.0,2.25,0.0,0.0,0.0,15.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Rubén,es ESP,"DF,FW",23-138,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
