Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Iván Gil,es ESP,"MF,FW",24-155,33.0,5,0,0,25,51,0,197,10,13,0,0,0,124,6,27,18.2,Matches
Julen Lobete,es ESP,"FW,MF",23-277,30.1,2,0,0,37,73,19,60,10,23,1,0,0,98,29,32,47.5,Matches
Diego Pampín,es ESP,DF,24-098,30.3,2,0,0,20,38,0,85,22,25,0,0,1,154,20,18,52.6,Matches
Jandro Orellana,es ESP,MF,23-319,26.7,6,0,0,26,32,1,18,15,43,0,0,0,127,25,23,52.1,Matches
Sergio Molina,es ESP,MF,28-124,28.2,4,0,0,30,21,0,31,19,25,0,1,0,130,15,10,60.0,Matches
Alex Petxa,es ESP,DF,27-136,25.7,11,1,0,40,54,1,65,34,29,0,0,0,145,21,13,61.8,Matches
Nico Ratti,it ITA,GK,30-277,26.0,1,0,0,0,3,0,0,0,0,0,0,0,39,5,0,100.0,Matches
Iker Benito,es ESP,"FW,DF",21-316,25.6,3,0,0,27,35,0,62,19,16,0,0,0,109,30,37,44.8,Matches
Alex Pastor,es ESP,DF,24-264,23.8,4,0,0,21,27,1,24,31,36,0,0,0,108,55,50,52.4,Matches
Ruben Bover,es ESP,MF,31-363,20.2,4,1,0,14,24,2,61,11,17,0,0,0,98,12,17,41.4,Matches
Diego González,es ESP,DF,25-045,20.1,3,0,0,18,13,0,2,33,23,0,0,0,105,26,33,44.1,Matches
José Marsà,es ESP,DF,22-109,21.8,4,0,0,21,26,0,15,26,19,0,1,0,125,35,24,59.3,Matches
Aurélien Scheidler,fr FRA,FW,26-017,17.0,5,1,0,27,26,15,3,2,2,0,0,0,30,42,41,50.6,Matches
Adrià Vilanova,es ESP,DF,27-131,16.8,2,0,0,18,8,1,1,15,11,0,0,0,76,31,27,53.4,Matches
Daniel Martín,es ESP,GK,25-349,16.0,1,0,0,0,1,0,0,0,0,0,0,0,42,2,0,100.0,Matches
Jon Karrikaburu,es ESP,FW,21-276,14.8,4,0,0,29,26,15,4,4,6,1,0,0,21,23,38,37.7,Matches
Sergi Samper,es ESP,MF,29-153,11.5,7,1,1,17,2,0,2,15,14,0,0,1,69,20,16,55.6,Matches
Álex Calvo,es ESP,"FW,DF",20-122,13.4,1,0,0,25,14,5,47,6,15,1,0,0,47,6,12,33.3,Matches
Nieto,es ESP,FW,26-084,9.6,1,0,0,17,15,2,2,1,2,0,0,0,24,16,26,38.1,Matches
Diego Alende,es ESP,DF,26-301,7.6,1,1,0,5,1,1,0,12,6,0,0,0,24,12,12,50.0,Matches
Martí Vilà,es ESP,DF,25-026,6.9,2,0,0,12,3,2,22,8,10,0,0,0,27,3,10,23.1,Matches
Miguel,es ESP,DF,27-141,8.6,1,0,0,9,6,0,8,3,5,0,0,0,29,2,12,14.3,Matches
Jorge Pombo,es ESP,"FW,MF",30-120,6.8,1,0,0,12,15,2,6,0,1,0,0,0,14,6,17,26.1,Matches
Álvaro Martín de Frías,es ESP,MF,23-158,9.8,1,0,0,16,21,0,40,6,11,0,0,0,45,5,11,31.3,Matches
Anderson Arroyo,co COL,DF,24-268,4.7,0,0,0,1,8,0,1,6,3,0,0,0,46,16,10,61.5,Matches
Laorent Shabani,se SWE,"MF,FW",24-307,1.4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0.0,Matches
Pablo Moreno,es ESP,"MF,FW",22-049,2.8,2,0,0,8,7,1,3,2,2,0,0,0,17,2,3,40.0,Matches
Christos Almpanis,gr GRE,"FW,MF",29-229,0.5,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0.0,Matches
Squad Total,0,0,25.6,42.0,78,5,1,475,550,69,759,310,358,3,2,2,1880,465,521,47.2,0
Opponent Total,0,0,27.8,42.0,111,2,2,578,444,102,602,394,450,1,6,0,1884,521,465,52.8,0
