Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Álvaro Fernández,es ESP,GK,26-069,41.0,1454,959,487,168,0,0,0,0,0,0,0,0,851,8,0,Matches
Miguel Loureiro,es ESP,DF,27-213,36.6,1957,1758,196,41,2,16,38,152,0,0,0,0,1469,3,34,Matches
Jorge Pulido,es ESP,DF,33-074,35.9,1678,1579,97,68,1,4,7,3,0,0,0,0,1440,2,4,Matches
Óscar Sielva,es ESP,MF,32-320,33.7,1508,1250,251,136,5,8,167,4,111,42,61,0,1200,7,18,Matches
Javi Martínez,es ESP,MF,24-182,31.4,1126,1072,46,17,5,13,40,8,2,0,2,0,834,8,22,Matches
Ignasi Vilarrasa,es ESP,DF,24-303,29.8,1459,1056,393,59,1,6,137,285,49,23,13,0,1020,10,32,Matches
Gerard Valentín,es ESP,"MF,DF",30-329,26.1,698,584,107,9,2,2,103,96,2,1,0,0,437,7,38,Matches
Samuel Obeng,gh GHA,FW,27-037,25.8,272,261,8,1,0,3,12,0,0,0,0,0,150,3,10,Matches
Jérémy Blasco,fr FRA,DF,25-130,24.7,1132,1059,69,32,1,7,3,29,0,0,0,0,950,4,5,Matches
Juanjo Nieto,es ESP,DF,29-262,24.1,1136,907,227,25,1,11,38,202,0,0,0,0,864,2,17,Matches
Joaquín Muñoz,es ESP,"FW,MF",25-103,22.5,504,461,41,5,6,5,75,0,20,6,4,0,308,2,24,Matches
Kento Hashimoto,jp JPN,MF,30-310,20.4,603,594,6,4,0,1,5,1,0,0,0,0,499,3,7,Matches
Hugo Vallejo,es ESP,"MF,FW",24-127,19.0,641,624,14,1,3,2,19,8,1,1,0,0,496,3,22,Matches
Iván Martos,es ESP,DF,27-037,17.2,862,741,117,24,1,6,21,83,0,0,0,0,630,4,18,Matches
Iker Kortajarena,es ESP,MF,24-000,15.2,568,553,13,4,4,11,5,2,0,0,0,0,465,2,2,Matches
Elady Zorrilla,es ESP,"FW,MF",33-344,13.5,238,231,7,1,0,0,12,0,0,0,0,0,161,0,8,Matches
Javier Mier,es ESP,MF,25-138,11.8,393,378,14,2,0,1,16,2,0,0,0,0,308,1,13,Matches
Ruben Pulido Peñas,es ESP,DF,23-293,5.8,306,297,9,9,0,0,0,0,0,0,0,0,252,0,4,Matches
Enzo Lombardo,fr FRA,"MF,FW",27-066,6.3,190,180,8,4,0,1,25,0,3,1,2,0,132,2,8,Matches
Alex Balboa,gq EQG,MF,23-107,4.5,119,119,0,0,0,1,2,0,0,0,0,0,81,0,2,Matches
Aboubakary Kanté,gm GAM,"FW,MF",29-315,4.0,58,57,1,0,0,0,0,0,0,0,0,0,36,0,1,Matches
Rafa Tresaco,es ESP,"MF,FW",23-298,3.2,68,65,3,0,0,0,13,3,0,0,0,0,45,0,6,Matches
Jovanny Bolívar,ve VEN,"FW,MF",22-188,3.4,71,68,3,1,0,0,1,0,0,0,0,0,41,0,7,Matches
Carlos Gutiérrez,es ESP,DF,32-230,1.2,50,47,3,3,0,1,0,0,0,0,0,0,40,0,0,Matches
Manuel Rico,es ESP,MF,21-172,1.2,42,40,1,0,1,0,0,0,1,0,0,0,31,1,1,Matches
Juan Pérez,es ESP,GK,27-342,1.0,36,24,12,3,0,0,0,0,0,0,0,0,25,0,0,Matches
Iker Gil,es ESP,FW,19-104,0.6,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Dani Escriche,es ESP,"FW,MF",26-089,0.9,21,20,1,0,0,0,0,0,0,0,0,0,14,0,0,Matches
Diego Aznar,es ESP,"FW,MF",20-275,0.3,7,6,1,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Ayman Arguigue,ma MAR,FW,19-172,0.0,3,2,0,0,0,0,0,0,0,0,0,0,2,1,0,Matches
Squad Total,0,0,27.8,42.0,17211,15003,2135,617,33,99,739,878,189,74,82,0,12795,73,303,0
Opponent Total,0,0,27.7,42.0,21428,19236,2099,550,46,191,884,968,204,94,60,3,16894,93,329,0
