Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Álvaro Fernández,es ESP,GK,26-069,41.0,851,1454,58.5,27313,20493,88,89,98.9,426,434,98.2,336,922,36.4,0,0.0,0.2,0.0,1,29,1,0,2,Matches
Miguel Loureiro,es ESP,DF,27-213,36.6,1469,1957,75.1,29152,10754,517,602,85.9,760,914,83.2,184,381,48.3,0,1.1,1.6,-1.1,15,117,21,7,127,Matches
Jorge Pulido,es ESP,DF,33-074,35.9,1440,1678,85.8,28916,8979,384,431,89.1,912,984,92.7,133,233,57.1,2,1.1,2.5,0.9,10,70,8,0,88,Matches
Óscar Sielva,es ESP,MF,32-320,33.7,1200,1508,79.6,23087,6502,421,466,90.3,614,700,87.7,139,282,49.3,3,3.8,4.2,-0.8,48,91,10,2,106,Matches
Javi Martínez,es ESP,MF,24-182,31.4,834,1126,74.1,14172,3554,410,490,83.7,341,434,78.6,67,146,45.9,1,1.6,1.7,-0.6,23,65,18,2,106,Matches
Ignasi Vilarrasa,es ESP,DF,24-303,29.8,1020,1459,69.9,18733,7210,455,518,87.8,423,561,75.4,128,323,39.6,4,2.9,3.7,1.1,30,77,29,15,99,Matches
Gerard Valentín,es ESP,"MF,DF",30-329,26.1,437,698,62.6,8380,2940,161,203,79.3,201,300,67.0,64,128,50.0,0,2.0,2.6,-2.0,24,33,25,15,56,Matches
Samuel Obeng,gh GHA,FW,27-037,25.8,150,272,55.1,2367,323,82,139,59.0,45,77,58.4,16,21,76.2,1,0.6,0.4,0.4,7,9,2,1,17,Matches
Jérémy Blasco,fr FRA,DF,25-130,24.7,950,1132,83.9,19754,6573,235,266,88.3,612,655,93.4,101,198,51.0,0,1.2,0.4,-1.2,3,59,2,1,64,Matches
Juanjo Nieto,es ESP,DF,29-262,24.1,864,1136,76.1,16291,5189,334,388,86.1,413,514,80.4,106,193,54.9,1,0.6,0.9,0.4,11,74,16,6,90,Matches
Joaquín Muñoz,es ESP,"FW,MF",25-103,22.5,308,504,61.1,4876,1246,170,229,74.2,114,164,69.5,19,65,29.2,4,3.2,2.3,0.8,22,20,19,9,39,Matches
Kento Hashimoto,jp JPN,MF,30-310,20.4,499,603,82.8,8156,2033,241,272,88.6,225,257,87.5,22,45,48.9,0,0.1,0.3,-0.1,4,52,4,0,50,Matches
Hugo Vallejo,es ESP,"MF,FW",24-127,19.0,496,641,77.4,7661,1370,272,321,84.7,184,223,82.5,30,42,71.4,3,2.3,2.2,0.7,26,19,15,2,43,Matches
Iván Martos,es ESP,DF,27-037,17.2,630,862,73.1,12248,4919,207,246,84.1,347,416,83.4,74,175,42.3,0,0.1,0.3,-0.1,4,32,8,3,49,Matches
Iker Kortajarena,es ESP,MF,24-000,15.2,465,568,81.9,8248,2145,214,252,84.9,194,226,85.8,47,70,67.1,1,1.3,0.9,-0.3,6,52,6,1,61,Matches
Elady Zorrilla,es ESP,"FW,MF",33-344,13.5,161,238,67.6,2555,361,74,101,73.3,70,95,73.7,9,18,50.0,0,0.2,0.2,-0.2,3,10,5,2,13,Matches
Javier Mier,es ESP,MF,25-138,11.8,308,393,78.4,5279,1014,129,150,86.0,152,175,86.9,20,39,51.3,0,0.2,0.2,-0.2,4,28,3,1,33,Matches
Ruben Pulido Peñas,es ESP,DF,23-293,5.8,252,306,82.4,4998,1699,68,78,87.2,162,182,89.0,20,41,48.8,0,0.0,0.1,0.0,0,8,0,0,10,Matches
Enzo Lombardo,fr FRA,"MF,FW",27-066,6.3,132,190,69.5,2183,496,70,87,80.5,47,66,71.2,12,23,52.2,0,0.4,0.9,-0.4,8,9,6,2,22,Matches
Alex Balboa,gq EQG,MF,23-107,4.5,81,119,68.1,1320,449,33,43,76.7,42,58,72.4,3,11,27.3,0,0.3,0.3,-0.3,3,9,3,1,14,Matches
Aboubakary Kanté,gm GAM,"FW,MF",29-315,4.0,36,58,62.1,369,70,25,41,61.0,6,8,75.0,0,0,0.0,0,0.1,0.1,-0.1,3,0,1,0,2,Matches
Rafa Tresaco,es ESP,"MF,FW",23-298,3.2,45,68,66.2,745,149,22,27,81.5,17,26,65.4,5,7,71.4,0,0.3,0.6,-0.3,3,1,4,3,2,Matches
Jovanny Bolívar,ve VEN,"FW,MF",22-188,3.4,41,71,57.7,491,85,28,42,66.7,8,14,57.1,1,2,50.0,0,0.0,0.0,0.0,1,4,2,0,3,Matches
Carlos Gutiérrez,es ESP,DF,32-230,1.2,40,50,80.0,887,365,7,11,63.6,26,27,96.3,7,12,58.3,0,0.0,0.0,0.0,0,3,0,0,1,Matches
