Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Álvaro Fernández,es ESP,GK,26-069,42,3693.0,88.0,97.7,41.0,41,90.0,41,1,3.0,0,1.17,36.0,33.0,3.0,0.07,0.07,32.5,38.2,-5.6,-0.14,-0.47,Matches
Miguel Loureiro,es ESP,DF,27-213,40,3294.0,82.0,87.1,36.6,36,89.0,34,4,25.0,1,1.15,29.0,28.0,1.0,0.03,-0.34,27.3,33.0,-5.6,-0.15,-0.21,Matches
Jorge Pulido,es ESP,DF,33-074,37,3232.0,87.0,85.5,35.9,36,90.0,35,1,1.0,2,1.27,34.0,26.0,8.0,0.22,1.04,32.2,31.1,1.1,0.03,1.08,Matches
Óscar Sielva,es ESP,MF,32-320,36,3036.0,84.0,80.3,33.7,35,86.0,26,1,31.0,1,1.25,33.0,25.0,8.0,0.24,0.84,25.9,31.1,-5.2,-0.15,-0.14,Matches
Javi Martínez,es ESP,MF,24-182,38,2822.0,74.0,74.7,31.4,34,80.0,16,4,29.0,0,1.24,27.0,20.0,7.0,0.22,0.6,23.3,24.1,-0.7,-0.02,0.41,Matches
Ignasi Vilarrasa,es ESP,DF,24-303,40,2686.0,67.0,71.1,29.8,28,88.0,25,12,18.0,2,1.2,29.0,26.0,3.0,0.1,0.1,24.6,30.6,-6.0,-0.2,-0.26,Matches
Gerard Valentín,es ESP,"MF,DF",30-329,32,2351.0,73.0,62.2,26.1,28,78.0,8,4,41.0,0,1.19,24.0,19.0,5.0,0.19,0.32,24.3,21.3,3.0,0.12,0.64,Matches
Samuel Obeng,gh GHA,FW,27-037,38,2324.0,61.0,61.5,25.8,27,77.0,10,11,23.0,0,1.24,22.0,18.0,4.0,0.15,0.22,20.9,21.7,-0.8,-0.03,0.25,Matches
Jérémy Blasco,fr FRA,DF,25-130,30,2226.0,74.0,58.9,24.7,25,83.0,14,5,32.0,12,1.2,20.0,20.0,0.0,0.0,-0.17,20.0,24.5,-4.5,-0.18,-0.13,Matches
Juanjo Nieto,es ESP,DF,29-262,34,2165.0,64.0,57.3,24.1,24,82.0,16,10,19.0,4,1.18,23.0,23.0,0.0,0.0,-0.17,17.9,23.1,-5.2,-0.21,-0.21,Matches
Joaquín Muñoz,es ESP,"FW,MF",25-103,35,2026.0,58.0,53.6,22.5,23,75.0,5,12,26.0,2,1.09,16.0,17.0,-1.0,-0.04,-0.25,17.6,20.3,-2.7,-0.12,0.02,Matches
Kento Hashimoto,jp JPN,MF,30-310,31,1836.0,59.0,48.6,20.4,20,78.0,6,11,25.0,4,1.23,18.0,16.0,2.0,0.1,0.05,16.2,18.4,-2.3,-0.11,0.03,Matches
Hugo Vallejo,es ESP,"MF,FW",24-127,34,1712.0,50.0,45.3,19.0,19,71.0,2,15,24.0,3,1.12,20.0,14.0,6.0,0.32,0.45,16.3,18.3,-2.0,-0.11,0.04,Matches
Iván Martos,es ESP,DF,27-037,25,1546.0,62.0,40.9,17.2,18,79.0,5,7,19.0,16,1.36,13.0,11.0,2.0,0.12,0.08,11.9,15.4,-3.5,-0.21,-0.13,Matches
Iker Kortajarena,es ESP,MF,24-000,28,1367.0,49.0,36.2,15.2,16,74.0,2,12,15.0,13,1.36,12.0,11.0,1.0,0.07,-0.01,12.3,15.0,-2.7,-0.18,-0.08,Matches
Elady Zorrilla,es ESP,"FW,MF",33-344,18,1219.0,68.0,32.2,13.5,15,76.0,4,3,27.0,0,1.39,14.0,10.0,4.0,0.3,0.33,11.6,13.0,-1.4,-0.1,0.03,Matches
Javier Mier,es ESP,MF,25-138,26,1060.0,41.0,28.0,11.8,11,67.0,0,15,21.0,4,1.0,8.0,11.0,-3.0,-0.25,-0.45,9.8,10.5,-0.7,-0.06,0.1,Matches
Ruben Pulido Peñas,es ESP,DF,23-293,7,519.0,74.0,13.7,5.8,7,74.0,5,0,0.0,2,0.86,2.0,6.0,-4.0,-0.69,-0.89,1.8,6.7,-4.9,-0.85,-0.84,Matches
Enzo Lombardo,fr FRA,"MF,FW",27-066,19,568.0,30.0,15.0,6.3,4,61.0,0,15,22.0,17,0.74,5.0,8.0,-3.0,-0.48,-0.64,5.4,8.4,-3.0,-0.47,-0.41,Matches
Alex Balboa,gq EQG,MF,23-107,13,405.0,31.0,10.7,4.5,4,62.0,0,9,18.0,21,1.62,4.0,4.0,0.0,0.0,-0.08,3.7,6.0,-2.2,-0.5,-0.41,Matches
Aboubakary Kanté,gm GAM,"FW,MF",29-315,10,356.0,36.0,9.4,4.0,4,64.0,0,6,17.0,6,0.6,3.0,3.0,0.0,0.0,-0.08,1.4,3.5,-2.1,-0.54,-0.46,Matches
Rafa Tresaco,es ESP,"MF,FW",23-298,16,287.0,18.0,7.6,3.2,2,51.0,0,14,13.0,16,0.81,1.0,5.0,-4.0,-1.25,-1.43,2.6,3.2,-0.6,-0.17,-0.05,Matches
Jovanny Bolívar,ve VEN,"FW,MF",22-188,19,305.0,16.0,8.1,3.4,1,57.0,0,18,14.0,8,0.89,1.0,3.0,-2.0,-0.59,-0.72,3.8,3.8,0.0,0.01,0.15,Matches
Carlos Gutiérrez,es ESP,DF,32-230,7,109.0,16.0,2.9,1.2,1,76.0,0,6,6.0,11,2.14,1.0,0.0,1.0,0.83,0.78,1.4,1.0,0.4,0.31,0.45,Matches
Manuel Rico,es ESP,MF,21-172,5,108.0,22.0,2.9,1.2,1,90.0,1,4,5.0,18,0.8,0.0,2.0,-2.0,-1.67,-1.79,0.6,1.8,-1.2,-1.02,-0.92,Matches
Juan Pérez,es ESP,GK,27-342,1,87.0,87.0,2.3,1.0,1,87.0,0,0,0.0,41,1.0,0.0,0.0,0.0,0.0,-0.07,1.1,0.8,0.3,0.33,0.47,Matches
Iker Gil,es ESP,FW,19-104,1,54.0,54.0,1.4,0.6,1,54.0,0,0,0.0,7,1.0,0.0,0.0,0.0,0.0,-0.07,0.8,0.4,0.4,0.72,0.85,Matches
Dani Escriche,es ESP,"FW,MF",26-089,2,80.0,40.0,2.1,0.9,0,0.0,0,2,40.0,0,0.5,0.0,1.0,-1.0,-1.13,-1.22,0.8,1.3,-0.5,-0.55,-0.43,Matches
Diego Aznar,es ESP,"FW,MF",20-275,2,28.0,14.0,0.7,0.3,0,0.0,0,2,14.0,15,0.0,0.0,1.0,-1.0,-3.21,-3.31,0.2,0.5,-0.3,-1.12,-1.0,Matches
Ayman Arguigue,ma MAR,FW,19-172,1,3.0,3.0,0.1,0.0,0,0.0,0,1,3.0,1,0.0,0.0,0.0,0.0,0.0,-0.07,0.1,0.0,0.1,2.58,2.71,Matches
José Ángel Carrillo,es ESP,FW,30-166,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fadia Fofana,es ESP,DF,23-123,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
