Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Sergi,es ESP,DF,32-062,40.7,6,18,10,55.6,0.44,0.25,0.33,0.6,10.7,0,0,0,2.3,2.3,0.13,3.7,3.7,Matches
Enric Franquesa,es ESP,DF,27-116,40.5,2,21,9,42.9,0.52,0.22,0.1,0.22,14.5,0,0,0,2.2,2.2,0.11,-0.2,-0.2,Matches
Diego Conde,es ESP,GK,25-237,39.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Jorge Sáenz,es ESP,DF,27-217,35.2,2,13,7,53.8,0.37,0.2,0.15,0.29,11.7,0,0,0,1.3,1.3,0.1,0.7,0.7,Matches
Diego,es ESP,FW,24-064,31.1,12,79,29,36.7,2.54,0.93,0.13,0.34,14.5,0,2,2,13.3,11.7,0.15,-1.3,-1.7,Matches
Yvan Neyou,cm CMR,MF,27-170,28.8,1,18,5,27.8,0.63,0.17,0.0,0.0,24.5,0,1,1,1.4,0.6,0.03,-0.4,-0.6,Matches
Francisco Portillo,es ESP,"MF,FW",34-008,27.4,1,12,1,8.3,0.44,0.04,0.08,1.0,17.5,1,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches
Dani Raba,es ESP,"MF,FW",28-236,23.9,8,65,24,36.9,2.71,1.0,0.09,0.25,21.0,9,2,2,6.9,5.3,0.08,1.1,0.7,Matches
Iker Undabarrena,es ESP,MF,29-034,24.7,1,9,2,22.2,0.36,0.08,0.11,0.5,18.3,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Miguel,es ESP,FW,24-292,24.8,13,69,34,49.3,2.78,1.37,0.17,0.35,14.8,0,1,1,9.8,9.0,0.13,3.2,3.0,Matches
Allan Nyom,cm CMR,DF,36-042,22.3,0,4,0,0.0,0.18,0.0,0.0,0.0,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Jorge Miramón,es ESP,"DF,FW",35-019,22.1,1,21,4,19.0,0.95,0.18,0.05,0.25,18.4,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Aritz Arambarri,es ESP,DF,26-142,17.9,0,4,2,50.0,0.22,0.11,0.0,0.0,11.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Julián Chicco,ar ARG,MF,26-160,16.3,2,10,4,40.0,0.62,0.25,0.2,0.5,17.1,0,0,0,1.5,1.5,0.15,0.5,0.5,Matches
Seydouba Cissé,gn GUI,"MF,FW",23-132,15.1,1,11,3,27.3,0.73,0.2,0.09,0.33,28.7,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches
Naïs Djouahra,fr FRA,"MF,FW",24-211,11.1,1,27,7,25.9,2.43,0.63,0.04,0.14,21.1,2,0,0,2.0,2.0,0.08,-1.0,-1.0,Matches
Juan Cruz,es ESP,"FW,MF",24-057,10.6,4,13,6,46.2,1.23,0.57,0.31,0.67,17.9,0,0,0,1.4,1.4,0.11,2.6,2.6,Matches
Luis Perea,es ESP,MF,26-301,9.1,0,4,0,0.0,0.44,0.0,0.0,0.0,19.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Darko Brašanac,rs SRB,"MF,FW",32-130,7.3,0,4,0,0.0,0.55,0.0,0.0,0.0,11.3,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
Oscar Ureña,es ESP,"MF,FW",21-172,5.2,0,14,1,7.1,2.7,0.19,0.0,0.0,21.2,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Dani Jiménez,es ESP,GK,34-108,2.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Naim García,es ESP,"MF,FW",22-010,3.0,0,4,1,25.0,1.32,0.33,0.0,0.0,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Darío Poveda,es ESP,FW,27-100,0.7,0,3,1,33.3,4.15,1.38,0.0,0.0,22.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Borja López,es ESP,DF,30-140,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Diyaeddine Abzi,ca CAN,"DF,MF",25-211,0.4,0,1,1,100.0,2.37,2.37,0.0,0.0,18.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Lalo Aguilar,es ESP,"DF,MF",22-010,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Sergio Navarro,es ESP,MF,23-126,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Sydney Osazuwa,es ESP,"DF,MF",17-061,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,28.3,42.0,55,424,151,35.6,10.1,3.6,0.12,0.32,17.4,12,6,6,47.4,42.7,0.11,7.6,6.3,0
Opponent Total,0,0,27.6,42.0,27,445,106,23.8,10.6,2.52,0.05,0.2,20.0,23,6,6,35.6,30.9,0.07,-8.6,-9.9,0
