Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Andrés Fernández,es ESP,GK,37-187,33.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,2,Matches
Oriol Rey,es ESP,MF,26-117,32.4,48,28,26,17,5,19,43,44.2,24,31,10,21,32,80,51,0,Matches
Álex Muñoz,es ESP,DF,29-327,29.6,40,25,19,18,3,22,35,62.9,13,38,17,21,29,69,115,0,Matches
Pablo Martínez,es ESP,MF,26-120,25.8,38,22,21,15,2,19,52,36.5,33,31,14,17,37,75,34,0,Matches
Sergio Lozano,es ESP,MF,25-089,24.4,56,30,20,32,4,22,45,48.9,23,19,3,16,8,64,21,1,Matches
Álex Valle,es ESP,DF,20-057,25.6,71,40,40,18,13,53,79,67.1,26,36,7,29,36,107,79,0,Matches
Dani Gómez,es ESP,FW,25-327,22.6,9,6,1,6,2,2,12,16.7,10,16,0,16,5,14,8,0,Matches
Adrián de la Fuente,es ESP,DF,25-116,28.8,33,17,18,15,0,13,23,56.5,10,38,24,14,46,79,148,1,Matches
Carlos Álvarez,es ESP,MF,20-320,20.9,39,23,20,14,5,13,39,33.3,26,25,2,23,14,53,9,0,Matches
Mohamed Bouldini,ma MAR,FW,28-207,23.0,25,17,6,13,6,12,27,44.4,15,20,1,19,7,32,34,0,Matches
Sergio Postigo,es ESP,DF,35-230,18.6,12,7,7,5,0,7,13,53.8,6,21,14,7,11,23,109,1,Matches
Brugui,es ESP,"MF,FW",27-230,20.6,32,19,13,13,6,15,41,36.6,26,16,0,16,19,51,16,0,Matches
Ander Capa,es ESP,DF,32-134,17.0,33,24,23,9,1,17,26,65.4,9,16,8,8,21,54,43,1,Matches
Rúben Vezo,pt POR,DF,30-057,15.9,31,16,19,10,2,17,21,81.0,4,17,9,8,22,53,75,0,Matches
Andrés García,es ESP,"DF,MF",21-135,16.7,25,18,15,7,3,15,23,65.2,8,21,5,16,12,37,33,1,Matches
Fabrício,br BRA,"FW,MF",23-257,15.1,18,8,5,6,7,10,17,58.8,7,15,1,14,7,25,1,0,Matches
Giorgi Kochorashvili,ge GEO,MF,24-358,14.3,26,14,12,11,3,13,26,50.0,13,13,5,8,17,43,12,0,Matches
Ángel Algobia,es ESP,MF,24-364,12.8,23,8,11,10,2,14,30,46.7,16,19,8,11,10,33,21,0,Matches
Álex Cantero,es ESP,"FW,MF",24-013,9.8,8,4,4,1,3,2,6,33.3,4,4,0,4,4,12,5,0,Matches
Joan Femenías,es ESP,GK,27-307,9.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Iván Romero,es ESP,"FW,MF",23-072,9.6,14,9,3,9,2,5,12,41.7,7,9,1,8,8,22,8,0,Matches
Nikola Maraš,rs SRB,DF,28-185,7.5,13,10,6,7,0,5,10,50.0,5,6,2,4,3,16,32,0,Matches
Xavi Grande,es ESP,DF,19-145,6.8,12,6,8,4,0,9,12,75.0,3,12,4,8,4,16,11,0,Matches
Jorge Cabello,es ESP,DF,20-057,5.7,10,6,7,3,0,5,6,83.3,1,7,6,1,1,11,17,0,Matches
Óscar Clemente,es ESP,MF,25-087,8.8,14,6,7,4,3,7,24,29.2,17,5,0,5,7,21,7,0,Matches
Robert Ibáñez,es ESP,"MF,FW",31-091,4.0,12,6,7,2,3,7,10,70.0,3,6,1,5,3,15,8,0,Matches
Buba Sangaré,es ESP,DF,16-320,1.0,5,4,3,2,0,3,3,100.0,0,4,0,4,3,8,2,1,Matches
Marcos Navarro,es ESP,DF,20-022,0.6,2,2,1,1,0,1,1,100.0,0,0,0,0,1,3,4,0,Matches
Paco Cortés,es ESP,MF,16-315,0.5,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,1,0,Matches
Carlos Espí,es ESP,FW,18-333,0.4,1,0,0,0,1,1,2,50.0,1,1,1,0,1,2,1,0,Matches
Lancinet Kourouma,es ESP,MF,20-083,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Edgar Alcañiz,es ESP,"FW,MF",19-095,0.1,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,Matches
Alejandro Blesa,es ESP,MF,22-158,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
Squad Total,0,0,26.9,42.0,651,376,323,252,76,329,641,51.3,312,448,144,304,369,1020,916,8,0
Opponent Total,0,0,27.8,42.0,761,465,384,299,78,380,757,50.2,377,498,153,345,370,1131,812,12,0
