Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Leonardo Román,es ESP,GK,23-351,42.0,6,0.14,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dani Calvo,es ESP,DF,30-081,39.0,25,0.64,21,0,0,3,1,0,4,0.1,3,0,0,1,0,0,Matches
Viti,es ESP,"DF,MF",26-279,37.0,83,2.24,64,4,5,4,5,1,8,0.22,7,0,1,0,0,0,Matches
Santiago Colombatto,ar ARG,MF,27-156,34.7,137,3.95,82,46,0,1,8,0,14,0.4,9,5,0,0,0,0,Matches
Abel,es ESP,DF,23-305,36.1,79,2.19,55,9,6,3,5,1,6,0.17,5,1,0,0,0,0,Matches
Oier Luengo,es ESP,DF,26-223,33.2,31,0.93,27,1,1,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Sebas Moyano,es ESP,"FW,MF",27-090,30.4,84,2.76,56,3,9,4,11,1,11,0.36,7,0,1,2,1,0,Matches
Jaime Seoane,es ESP,"MF,FW",27-151,27.4,80,2.92,57,5,4,8,6,0,5,0.18,3,0,0,2,0,0,Matches
Borja Bastón,es ESP,FW,31-301,26.7,42,1.57,28,0,3,6,5,0,5,0.19,4,0,0,0,1,0,Matches
Luismi,es ESP,MF,32-047,17.5,26,1.49,22,0,0,3,0,1,2,0.11,1,0,0,1,0,0,Matches
David Costas,es ESP,DF,29-087,17.8,15,0.84,11,0,0,3,1,0,3,0.17,1,0,0,1,1,0,Matches
Mascarenhas,pt POR,"FW,MF",24-037,16.3,25,1.53,16,0,1,8,0,0,3,0.18,2,0,0,1,0,0,Matches
Paulino,es ESP,"FW,MF",26-360,16.2,59,3.65,43,5,5,4,2,0,6,0.37,5,0,1,0,0,0,Matches
Alexandre Alemão,br BRA,FW,26-081,16.2,46,2.84,23,0,9,6,7,1,9,0.56,3,0,3,1,2,0,Matches
Jaime Suárez Juesas,es ESP,MF,27-173,15.8,41,2.6,35,4,0,1,0,1,3,0.19,3,0,0,0,0,0,Matches
Santi Cazorla,es ESP,"MF,FW",39-191,10.8,63,5.82,32,27,0,2,1,1,6,0.55,3,3,0,0,0,0,Matches
Jonathan Dubasin,be BEL,"FW,MF",24-140,9.4,30,3.18,23,1,3,3,0,0,3,0.32,2,0,0,1,0,0,Matches
Lucas Ahijado,es ESP,DF,29-143,7.7,23,3.0,21,1,0,0,1,0,4,0.52,4,0,0,0,0,0,Matches
Carlos Pomares Rayo,es ESP,DF,31-199,6.3,15,2.36,10,3,1,0,1,0,1,0.16,1,0,0,0,0,0,Matches
Borja Sánchez Laborde,es ESP,"FW,MF",28-116,5.2,22,4.25,16,1,2,1,1,1,1,0.19,1,0,0,0,0,0,Matches
Víctor Camarasa,es ESP,MF,30-024,5.1,21,4.08,18,2,1,0,0,0,1,0.19,1,0,0,0,0,0,Matches
Mario Hernández,es ESP,DF,25-148,2.3,3,1.31,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Romario Ibarra,ec ECU,"MF,FW",29-271,1.5,2,1.31,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaime Vázquez,es ESP,DF,18-141,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Santiago Homenchenko,uy URU,MF,20-296,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hugo Rama,es ESP,MF,27-212,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Álex Millán,es ESP,"FW,MF",24-227,1.1,2,1.82,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mario Sesé,es ESP,"MF,DF",21-296,1.0,1,0.99,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marco Esteban,es ESP,DF,18-172,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alejandro Suárez,es ESP,"FW,MF",20-301,0.2,3,16.88,0,1,2,0,0,0,1,5.63,0,0,1,0,0,0,Matches
Enol Rodríguez,es ESP,FW,22-329,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yayo González,es ESP,MF,19-327,0.1,1,18.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,27.6,42.0,965,22.98,671,116,52,63,55,8,96,2.29,65,9,7,10,5,0,0
Opponent Total,0,0,27.5,42.0,834,19.86,567,89,50,59,53,16,61,1.45,38,5,6,6,5,1,0
