Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Leonardo Román,es ESP,GK,23-351,42,3780.0,90.0,100.0,42.0,42,90.0,42,0,0.0,0,1.58,55.0,39.0,16.0,0.38,0.0,49.3,42.8,6.5,0.15,0.0,Matches
Dani Calvo,es ESP,DF,30-081,40,3513.0,88.0,92.9,39.0,40,88.0,35,0,0.0,0,1.56,52.0,38.0,14.0,0.36,-0.32,46.7,41.1,5.6,0.14,-0.16,Matches
Viti,es ESP,"DF,MF",26-279,41,3330.0,81.0,88.1,37.0,38,84.0,25,3,41.0,0,1.55,45.0,33.0,12.0,0.32,-0.48,41.7,37.7,3.9,0.11,-0.4,Matches
Santiago Colombatto,ar ARG,MF,27-156,37,3122.0,84.0,82.6,34.7,37,84.0,21,0,0.0,0,1.65,47.0,34.0,13.0,0.37,-0.04,41.5,33.4,8.1,0.23,0.46,Matches
Abel,es ESP,DF,23-305,39,3246.0,83.0,85.9,36.1,36,89.0,32,3,15.0,2,1.52,45.0,33.0,12.0,0.33,-0.34,41.3,35.8,5.5,0.15,-0.01,Matches
Oier Luengo,es ESP,DF,26-223,36,2987.0,83.0,79.0,33.2,34,85.0,29,2,46.0,2,1.67,44.0,30.0,14.0,0.42,0.19,40.7,34.2,6.5,0.2,0.2,Matches
Sebas Moyano,es ESP,"FW,MF",27-090,41,2740.0,67.0,72.5,30.4,32,77.0,4,9,29.0,1,1.61,41.0,30.0,11.0,0.36,-0.07,35.0,30.8,4.2,0.14,-0.06,Matches
Jaime Seoane,es ESP,"MF,FW",27-151,38,2468.0,65.0,65.3,27.4,30,78.0,12,8,17.0,1,1.68,38.0,27.0,11.0,0.4,0.06,33.7,27.8,5.8,0.21,0.17,Matches
Borja Bastón,es ESP,FW,31-301,38,2404.0,63.0,63.6,26.7,28,79.0,10,10,20.0,1,1.56,31.0,23.0,8.0,0.3,-0.22,29.5,24.3,5.2,0.19,0.11,Matches
Luismi,es ESP,MF,32-047,20,1576.0,79.0,41.7,17.5,19,82.0,11,1,26.0,6,1.74,21.0,11.0,10.0,0.57,0.33,18.3,14.8,3.6,0.21,0.09,Matches
David Costas,es ESP,DF,29-087,19,1601.0,84.0,42.4,17.8,18,87.0,17,1,31.0,1,1.37,17.0,11.0,6.0,0.34,-0.08,17.8,16.0,1.8,0.1,-0.09,Matches
Mascarenhas,pt POR,"FW,MF",24-037,34,1471.0,43.0,38.9,16.3,18,67.0,0,16,17.0,5,1.58,24.0,17.0,7.0,0.43,0.08,20.7,16.3,4.4,0.27,0.19,Matches
Paulino,es ESP,"FW,MF",26-360,34,1458.0,43.0,38.6,16.2,15,67.0,1,19,24.0,0,1.51,20.0,11.0,9.0,0.56,0.28,18.6,13.1,5.4,0.34,0.3,Matches
Alexandre Alemão,br BRA,FW,26-081,33,1455.0,44.0,38.5,16.2,14,77.0,3,19,20.0,1,1.61,27.0,17.0,10.0,0.62,0.39,22.0,17.2,4.8,0.3,0.23,Matches
Jaime Suárez Juesas,es ESP,MF,27-173,31,1419.0,46.0,37.5,15.8,14,75.0,5,17,22.0,11,1.48,18.0,18.0,0.0,0.0,-0.61,16.3,18.3,-2.0,-0.13,-0.45,Matches
Santi Cazorla,es ESP,"MF,FW",39-191,24,974.0,41.0,25.8,10.8,10,67.0,1,14,21.0,0,1.88,18.0,8.0,10.0,0.92,0.73,15.1,11.0,4.1,0.38,0.31,Matches
