D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-12,22:00,La Liga 2,Matchweek 1,Sat,Away,W,1,0,Elche,0.8,0.6,44.0,14506,David Castro,4-2-3-1,Germán Cid Camacho,Match Report,0
2023-08-20,17:00,La Liga 2,Matchweek 2,Sun,Away,D,1,1,Oviedo,1.3,0.6,41.0,17102,Jon García Herrero,4-3-3,Daniel Trujillo,Match Report,0
2023-08-27,17:00,La Liga 2,Matchweek 3,Sun,Home,W,2,0,Sporting Gijón,0.7,1.0,45.0,9010,Jon García Herrero,4-2-3-1,Alejandro Quintero,Match Report,0
2023-09-01,19:30,La Liga 2,Matchweek 4,Fri,Away,D,1,1,Alcorcón,0.8,1.3,54.0,3508,Héber Pena,4-4-1-1,Oliver De La Fuente,Match Report,0
2023-09-10,16:15,La Liga 2,Matchweek 5,Sun,Home,D,2,2,Villarreal B,2.7,0.7,53.0,6639,Héber Pena,4-4-2,José López,Match Report,0
2023-09-17,16:15,La Liga 2,Matchweek 6,Sun,Away,L,0,2,Eibar,0.4,1.0,46.0,4722,Héber Pena,4-2-3-1,Manuel Orellana,Match Report,0
2023-09-25,21:00,La Liga 2,Matchweek 7,Mon,Home,W,1,0,Zaragoza,1.2,0.4,43.0,6520,Héber Pena,4-4-2,Germán Cid Camacho,Match Report,0
2023-10-02,21:00,La Liga 2,Matchweek 8,Mon,Away,L,0,3,Espanyol,0.3,0.8,42.0,16577,David Castro,4-4-2,Alejandro Quintero,Match Report,0
2023-10-05,21:30,La Liga 2,Matchweek 9,Thu,Home,W,1,0,Amorebieta,0.7,0.1,46.0,5832,Héber Pena,4-4-2,Saúl Ais,Match Report,0
2023-10-08,18:30,La Liga 2,Matchweek 10,Sun,Home,D,1,1,Cartagena,0.9,1.4,68.0,7032,Héber Pena,4-2-3-1,Manuel Orellana,Match Report,0
2023-10-16,21:00,La Liga 2,Matchweek 11,Mon,Away,L,0,1,Levante,1.2,0.7,53.0,13155,David Castro,4-1-4-1,Rubén Ávalos,Match Report,0
2023-10-22,14:00,La Liga 2,Matchweek 12,Sun,Home,D,1,1,Eldense,1.0,0.6,55.0,6156,Héber Pena,4-2-3-1,Álvaro Moreno,Match Report,0
2023-10-29,21:00,La Liga 2,Matchweek 13,Sun,Away,W,3,1,Racing Sant,2.6,0.7,42.0,14900,Héber Pena,4-4-2,Andrés Fuentes,Match Report,0
2023-11-01,20:00,Copa del Rey,First round,Wed,Away,W,3,1,Marbella,0.0,0.0,67.0,1000,David Castro,4-4-2,Daniel Trujillo,Match Report,Required Extra Time
2023-11-05,14:00,La Liga 2,Matchweek 14,Sun,Home,W,1,0,FC Andorra,1.2,0.8,33.0,5318,Héber Pena,4-4-2,Alejandro Quintero,Match Report,0
2023-11-11,18:30,La Liga 2,Matchweek 15,Sat,Away,W,2,1,CD Mirandés,1.4,2.4,37.0,2951,Héber Pena,4-2-3-1,Rafael Sánchez,Match Report,0
2023-11-19,14:00,La Liga 2,Matchweek 16,Sun,Home,D,1,1,Burgos,1.5,0.8,60.0,6365,David Castro,4-2-3-1,Miguel Sesma,Match Report,0
2023-11-26,14:00,La Liga 2,Matchweek 17,Sun,Away,D,2,2,Leganés,0.5,3.4,41.0,8704,David Castro,4-2-3-1,Miguel González,Match Report,0
2023-12-03,18:30,La Liga 2,Matchweek 18,Sun,Home,W,5,4,Albacete,2.1,2.1,69.0,6008,Jon García Herrero,4-2-3-1,Jon González,Match Report,0
