Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Ander Cantero,es ESP,GK,29-164,42.0,0,1,1,100.0,0.02,0.02,0.0,0.0,8.3,0,0,0,0.4,0.4,0.4,-0.4,-0.4,Matches
Iker Losada,es ESP,"MF,FW",22-325,37.4,9,82,24,29.3,2.19,0.64,0.11,0.38,20.2,4,0,0,6.8,6.8,0.08,2.2,2.2,Matches
Jesús Bernal,es ESP,MF,27-179,40.1,0,17,2,11.8,0.42,0.05,0.0,0.0,22.9,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
Jon García Herrero,es ESP,DF,33-017,35.4,2,24,8,33.3,0.68,0.23,0.08,0.25,12.5,0,0,0,1.0,1.0,0.04,1.0,1.0,Matches
Álvaro Giménez,es ESP,FW,33-033,30.0,11,52,21,40.4,1.73,0.7,0.17,0.43,12.3,1,2,3,10.2,7.8,0.15,0.8,1.2,Matches
David Castro,es ESP,DF,28-256,29.0,0,9,1,11.1,0.31,0.03,0.0,0.0,10.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Moisés Delgado,es ESP,DF,30-064,25.4,0,3,0,0.0,0.12,0.0,0.0,0.0,33.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Josep Señé,es ESP,MF,32-194,23.1,5,30,10,33.3,1.3,0.43,0.13,0.4,20.2,0,1,1,3.0,2.2,0.07,2.0,1.8,Matches
Héber Pena,es ESP,"FW,MF",34-157,21.6,5,38,10,26.3,1.76,0.46,0.11,0.4,22.3,3,1,2,4.9,3.3,0.09,0.1,0.7,Matches
Sergio Cubero Ezcurra,es ESP,DF,24-290,24.4,0,19,5,26.3,0.78,0.2,0.0,0.0,27.9,4,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
Carlos Vicente,es ESP,"FW,MF",25-059,19.9,4,44,14,31.8,2.21,0.7,0.07,0.21,16.7,0,1,1,3.8,3.0,0.07,0.2,0.0,Matches
Julián Delmás,es ESP,DF,29-062,17.8,0,5,1,20.0,0.28,0.06,0.0,0.0,24.1,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Brais Martinez,es ESP,DF,22-191,16.1,0,5,1,20.0,0.31,0.06,0.0,0.0,19.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Enrique Clemente,es ESP,DF,25-109,16.3,0,5,0,0.0,0.31,0.0,0.0,0.0,14.4,0,0,0,1.0,1.0,0.19,-1.0,-1.0,Matches
Álex López,es ESP,MF,36-162,13.1,1,30,4,13.3,2.29,0.31,0.03,0.25,22.2,0,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
Nicolás Serrano,es ESP,FW,21-108,11.3,4,35,15,42.9,3.09,1.33,0.11,0.27,21.2,1,0,0,1.8,1.6,0.05,2.2,2.4,Matches
Pinchi,es ESP,FW,28-004,10.2,1,10,2,20.0,0.98,0.2,0.1,0.5,24.7,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
Sabin Merino,es ESP,FW,32-169,12.3,5,36,10,27.8,2.94,0.82,0.11,0.4,12.5,0,1,1,5.1,4.3,0.12,-0.1,-0.3,Matches
Fran Manzanara,es ESP,MF,27-283,11.5,0,8,0,0.0,0.7,0.0,0.0,0.0,16.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Nacho,es ESP,"FW,MF",31-131,7.9,0,12,5,41.7,1.52,0.63,0.0,0.0,22.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Chuca,es ESP,"MF,FW",27-011,4.8,0,10,0,0.0,2.1,0.0,0.0,0.0,17.3,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
Álvaro Vadillo,es ESP,FW,29-283,3.1,1,4,1,25.0,1.29,0.32,0.25,1.0,24.2,1,0,0,0.2,0.2,0.05,0.8,0.8,Matches
Álex Martín,es ESP,"DF,FW",26-148,2.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Manu Justo,es ESP,"FW,MF",28-133,4.0,1,13,3,23.1,3.22,0.74,0.0,0.0,21.1,0,1,1,1.8,1.0,0.08,-0.8,-1.0,Matches
Squad Total,0,0,28.8,42.0,49,492,138,28.0,11.71,3.29,0.09,0.3,18.8,16,7,9,45.5,38.5,0.08,3.5,3.5,0
Opponent Total,0,0,27.7,42.0,52,440,147,33.4,10.48,3.5,0.11,0.32,18.4,6,5,9,47.4,40.6,0.09,4.6,6.4,0
