Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Jokin Ezkieta,es ESP,GK,27-309,42.0,2,0,0,0,6,0,0,0,0,0,0,0,36,10,1,90.9,Matches
Iñigo Vicente,es ESP,"FW,MF",26-167,38.6,8,0,0,40,78,11,157,40,48,0,0,0,218,4,9,30.8,Matches
Peque,es ESP,"MF,FW",21-261,31.5,6,0,0,54,108,5,4,9,33,2,0,0,140,40,55,42.1,Matches
Arana,es ESP,FW,24-134,27.3,8,0,0,47,49,21,4,2,5,1,0,0,50,25,49,33.8,Matches
Germán Sánchez,es ESP,DF,37-192,30.4,8,0,0,40,22,3,0,25,15,0,1,1,107,91,44,67.4,Matches
Aldasoro,es ESP,MF,25-016,32.1,13,0,0,62,42,0,3,44,45,0,1,0,190,36,28,56.3,Matches
Íñigo Sainz Maza,es ESP,MF,26-005,25.5,5,1,0,33,29,0,16,30,44,0,0,0,164,9,14,39.1,Matches
Saúl García,es ESP,DF,29-225,26.9,8,0,0,33,22,4,118,29,44,0,0,0,146,35,30,53.8,Matches
Mantilla,es ESP,DF,24-043,23.0,5,0,0,29,16,3,16,19,17,0,0,1,105,44,34,56.4,Matches
Rubén González,es ESP,DF,29-288,21.6,5,1,1,21,15,3,0,24,20,0,1,0,47,71,33,68.3,Matches
Iván Morante,es ESP,MF,23-158,20.5,5,1,0,33,18,0,51,21,17,1,0,0,104,29,29,50.0,Matches
Dani Fernandez,es ESP,DF,27-052,17.9,6,0,0,19,23,1,27,8,21,0,0,0,65,19,16,54.3,Matches
Manu Hernando,es ESP,DF,25-338,18.0,4,0,0,20,4,1,0,26,17,0,0,0,45,52,31,62.7,Matches
Mario García,es ESP,DF,20-263,14.8,5,0,0,22,14,1,66,22,14,0,0,0,41,17,19,47.2,Matches
Andrés Martín,es ESP,"FW,MF",24-346,14.5,3,1,0,13,22,7,25,18,11,0,1,0,80,6,21,22.2,Matches
Lago Junior,ci CIV,"FW,MF",33-173,12.4,1,0,0,9,29,4,16,5,8,0,0,0,39,15,30,33.3,Matches
Marco Sangalli,es ESP,"DF,FW",32-135,15.1,11,1,0,31,28,2,22,18,29,1,0,0,85,23,25,47.9,Matches
Jordi Mboula,es ESP,"FW,MF",25-097,12.7,2,0,0,25,16,3,37,8,4,0,0,0,43,19,15,55.9,Matches
Clément Grenier,fr FRA,"MF,FW",33-166,8.7,3,0,0,13,11,0,25,12,15,0,0,0,79,14,9,60.9,Matches
Ekain Zenitagoia,es ESP,FW,30-172,11.0,2,0,0,15,24,9,2,1,4,0,0,0,42,16,35,31.4,Matches
Pol Moreno,es ESP,DF,30-043,8.7,1,0,0,6,2,0,0,6,8,0,0,0,40,21,21,50.0,Matches
Roko Baturina,hr CRO,FW,24-001,2.7,0,0,0,4,5,0,2,0,1,0,0,0,6,5,14,26.3,Matches
Yeray Cabanzón,es ESP,"FW,MF",21-038,2.3,2,0,0,5,2,0,9,2,4,0,0,0,16,2,1,66.7,Matches
Juan Gutierrez,es ESP,DF,24-145,1.2,0,0,0,1,0,0,2,2,1,0,0,0,2,6,1,85.7,Matches
Jeremy Arévalo,es ESP,"FW,MF",19-094,1.6,0,0,0,0,2,1,0,1,1,2,0,0,7,5,2,71.4,Matches
Cedric Omoigui,ng NGA,FW,29-223,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Jorge Pombo,es ESP,MF,30-120,0.2,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0.0,Matches
Diego Campo,es ESP,MF,22-218,0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Álvaro Santamaría,es ESP,MF,22-227,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.3,Matches
Matheus Aiás,br BRA,MF,27-173,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
Squad Total,0,0,27.2,42.0,114,5,1,577,589,79,602,372,426,7,4,2,1903,615,570,51.9,0
Opponent Total,0,0,27.7,42.0,127,8,3,627,548,90,945,406,444,4,9,1,2015,570,615,48.1,0
