Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Jokin Ezkieta,es ESP,GK,27-309,42.0,0,1,0,0.0,0.02,0.0,0.0,0.0,15.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Iñigo Vicente,es ESP,"FW,MF",26-167,38.6,3,46,17,37.0,1.19,0.44,0.07,0.18,20.2,3,0,0,3.9,3.9,0.09,-0.9,-0.9,Matches
Peque,es ESP,"MF,FW",21-261,31.5,18,60,26,43.3,1.91,0.83,0.17,0.38,16.2,0,8,9,15.9,8.8,0.15,2.1,1.2,Matches
Arana,es ESP,FW,24-134,27.3,13,92,46,50.0,3.37,1.69,0.14,0.28,14.2,0,0,0,12.0,12.0,0.13,1.0,1.0,Matches
Germán Sánchez,es ESP,DF,37-192,30.4,1,16,4,25.0,0.53,0.13,0.06,0.25,9.7,0,0,0,2.0,2.0,0.13,-1.0,-1.0,Matches
Aldasoro,es ESP,MF,25-016,32.1,1,31,9,29.0,0.97,0.28,0.03,0.11,21.0,0,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches
Íñigo Sainz Maza,es ESP,MF,26-005,25.5,0,10,1,10.0,0.39,0.04,0.0,0.0,22.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Saúl García,es ESP,DF,29-225,26.9,0,8,2,25.0,0.3,0.07,0.0,0.0,23.8,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Mantilla,es ESP,DF,24-043,23.0,2,16,4,25.0,0.7,0.17,0.13,0.5,14.9,0,0,0,1.3,1.3,0.08,0.7,0.7,Matches
Rubén González,es ESP,DF,29-288,21.6,2,7,5,71.4,0.32,0.23,0.29,0.4,10.2,0,0,0,1.0,1.0,0.15,1.0,1.0,Matches
Iván Morante,es ESP,MF,23-158,20.5,2,16,5,31.3,0.78,0.24,0.13,0.4,23.8,0,0,0,0.8,0.8,0.05,1.2,1.2,Matches
