Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Rubén Yáñez,es ESP,GK,30-253,38,38,3408.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rober,es ESP,"DF,MF",29-126,39,36,3198.0,35.5,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,1.5,1.9,55.0,180.0,12.0,0.0,0.08,0.08,0.0,0.08,0.01,0.04,0.05,0.01,0.05,Matches
Juan Ferney Otero,co COL,"FW,MF",29-026,38,36,3188.0,35.4,10.0,3.0,13.0,9.0,1.0,1.0,5.0,0.0,7.6,6.8,4.5,11.3,80.0,87.0,247.0,0.28,0.08,0.37,0.25,0.34,0.21,0.13,0.34,0.19,0.32,Matches
Gaspar Campos,es ESP,"MF,FW",24-086,40,36,2766.0,30.7,10.0,2.0,12.0,10.0,0.0,0.0,8.0,0.0,6.2,6.2,3.2,9.4,44.0,118.0,216.0,0.33,0.07,0.39,0.33,0.39,0.2,0.1,0.31,0.2,0.31,Matches
Nacho Méndez,es ESP,MF,26-083,38,34,2803.0,31.1,5.0,0.0,5.0,5.0,0.0,0.0,9.0,0.0,1.7,1.7,1.8,3.5,26.0,187.0,55.0,0.16,0.0,0.16,0.16,0.16,0.06,0.06,0.11,0.06,0.11,Matches
José Ángel,es ESP,DF,34-290,39,33,2997.0,33.3,4.0,7.0,11.0,4.0,0.0,0.0,8.0,0.0,2.2,2.2,6.8,9.0,54.0,97.0,203.0,0.12,0.21,0.33,0.12,0.33,0.07,0.2,0.27,0.07,0.27,Matches
Pablo Insua,es ESP,DF,30-286,30,30,2608.0,29.0,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,1.9,1.9,0.2,2.1,14.0,59.0,0.0,0.07,0.03,0.1,0.07,0.1,0.06,0.01,0.07,0.06,0.07,Matches
Haissem Hassan,fr FRA,"MF,FW",22-134,38,28,2398.0,26.6,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,2.8,2.8,4.4,7.2,181.0,82.0,191.0,0.04,0.19,0.23,0.04,0.23,0.11,0.16,0.27,0.11,0.27,Matches
Alexandru Pașcanu,ro ROU,DF,25-267,26,25,1908.0,21.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,1.1,1.4,21.0,58.0,31.0,0.05,0.05,0.09,0.05,0.09,0.01,0.05,0.07,0.01,0.07,Matches
Uroš Đurđević,me MNE,FW,30-111,37,23,2025.0,22.5,4.0,2.0,6.0,3.0,1.0,1.0,10.0,1.0,6.2,5.4,1.5,6.9,28.0,21.0,128.0,0.18,0.09,0.27,0.13,0.22,0.27,0.07,0.34,0.24,0.31,Matches
Carlos Izquierdoz,ar ARG,DF,35-231,23,18,1744.0,19.4,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,1.1,1.1,1.0,2.0,11.0,75.0,2.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.11,0.05,0.11,Matches
Cristian Rivera,es ESP,MF,26-348,28,15,1392.0,15.5,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.8,1.8,27.0,75.0,17.0,0.0,0.13,0.13,0.0,0.13,0.06,0.05,0.11,0.06,0.11,Matches
Guillermo Rosas,es ESP,"DF,MF",24-035,29,14,1574.0,17.5,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,1.7,1.9,32.0,79.0,87.0,0.06,0.17,0.23,0.06,0.23,0.01,0.1,0.11,0.01,0.11,Matches
Fran Villalba,es ESP,"MF,FW",26-041,31,14,1370.0,15.2,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,1.4,3.1,38.0,117.0,67.0,0.0,0.33,0.33,0.0,0.33,0.11,0.09,0.2,0.11,0.2,Matches
Roque Mesa,es ESP,MF,35-014,30,14,1288.0,14.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,1.8,2.1,47.0,105.0,23.0,0.07,0.07,0.14,0.07,0.14,0.03,0.12,0.15,0.03,0.15,Matches
Diego Sánchez,es ESP,DF,20-339,16,13,1201.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.1,0.6,35.0,47.0,15.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches
Nacho Martin,es ESP,MF,22-094,17,13,995.0,11.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.6,0.7,15.0,62.0,11.0,0.0,0.18,0.18,0.0,0.18,0.01,0.06,0.07,0.01,0.07,Matches
