Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Juan Soriano,es ESP,GK,26-303,39.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,14,0,Matches
Roberto López,es ESP,"FW,MF",24-058,31.7,26,14,6,16,4,20,39,51.3,19,22,3,19,10,36,17,0,Matches
Álex Corredera,es ESP,MF,28-094,36.2,54,34,20,27,7,28,51,54.9,23,36,9,27,39,93,33,0,Matches
Jérémy Mellot,fr FRA,DF,30-085,31.9,95,68,69,21,5,50,80,62.5,30,37,12,25,54,149,103,0,Matches
Enric Gallego,es ESP,FW,37-283,26.7,27,17,8,11,8,10,30,33.3,20,27,4,23,8,35,37,0,Matches
Jose Amo,es ESP,DF,26-073,27.6,20,13,15,5,0,11,21,52.4,10,28,21,7,31,51,102,0,Matches
Sergio González,es ESP,"MF,DF",27-038,26.7,74,39,28,36,10,29,65,44.6,36,42,11,31,39,113,54,0,Matches
José León Bernal,es ESP,DF,29-139,24.2,17,12,15,2,0,6,11,54.5,5,19,15,4,16,33,120,0,Matches
Luismi,es ESP,"MF,FW",23-029,22.2,29,14,13,10,6,18,42,42.9,24,13,0,13,7,36,7,0,Matches
Aitor Sanz,es ESP,MF,39-282,18.4,51,31,20,26,5,27,48,56.3,21,29,11,18,28,79,45,0,Matches
Fernando Medrano,es ESP,DF,24-087,17.1,25,14,16,6,3,12,21,57.1,9,22,5,17,23,48,44,0,Matches
Ángel Rodríguez,es ESP,FW,37-056,20.5,14,7,2,6,6,6,16,37.5,10,21,4,17,2,16,24,0,Matches
Nacho,es ESP,DF,35-106,19.6,41,25,23,15,3,32,51,62.7,19,23,7,16,11,52,40,0,Matches
Waldo Rubio,es ESP,"MF,FW",28-309,15.3,11,8,3,5,3,6,22,27.3,16,10,0,10,4,15,17,0,Matches
Loïc Williams,es ESP,DF,22-166,15.3,29,18,16,13,0,8,18,44.4,10,21,16,5,13,42,58,0,Matches
Aitor Buñuel,es ESP,DF,26-132,17.1,24,20,12,10,2,14,31,45.2,17,19,5,14,19,43,54,0,Matches
Teto,es ESP,"MF,FW",22-221,13.6,35,24,13,18,4,19,41,46.3,22,17,0,17,8,43,4,0,Matches
Yann Bodiger,fr FRA,MF,29-133,12.1,18,11,7,10,1,11,26,42.3,15,19,3,16,14,32,22,0,Matches
Nikola Šipčić,me MNE,DF,29-035,10.4,7,4,4,3,0,1,4,25.0,3,12,8,4,17,24,39,0,Matches
Yanis Rahmani,fr FRA,"MF,FW",29-039,9.3,18,16,9,7,2,9,23,39.1,14,16,3,13,6,24,11,0,Matches
Elady Zorrilla,es ESP,"MF,FW",33-344,5.7,5,3,2,1,2,1,8,12.5,7,9,1,8,3,8,5,0,Matches
Álvaro Jiménez,es ESP,MF,29-033,4.2,3,1,1,1,1,1,2,50.0,1,7,0,7,2,5,1,0,Matches
Jesús Belza,es ESP,"MF,FW",20-116,3.5,3,2,2,1,0,3,7,42.9,4,3,1,2,1,4,2,0,Matches
Dauda Mohammed,gh GHA,"MF,FW",26-122,4.0,7,5,3,3,1,3,6,50.0,3,4,0,4,1,8,3,0,Matches
Tomeu Nadal,es ESP,GK,35-134,2.8,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,Matches
Alassán,es ESP,"FW,MF",21-283,2.1,4,3,2,0,2,3,5,60.0,2,6,0,6,1,5,0,0,Matches
Álvaro Romero,es ESP,"MF,FW",28-040,1.1,2,2,2,0,0,1,3,33.3,2,4,0,4,0,2,1,0,Matches
Dylan,es ESP,FW,18-041,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Etyan,es ESP,"FW,MF",22-015,0.3,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,1,0,Matches
Cacho Guzmán,es ESP,MF,21-326,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,Matches
Daniel Fernández,es ESP,FW,16-147,0.2,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Javier Alonso,es ESP,MF,25-325,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Salifo Caropitche,gw GNB,"MF,FW",23-002,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
Pablo Hernández,0,MF,0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,0,0,28.8,42.0,641,406,312,254,75,330,675,48.9,345,467,139,328,358,999,862,0,0
Opponent Total,0,0,27.6,42.0,546,315,282,199,65,247,522,47.3,275,459,132,327,324,870,720,11,0
