Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Juan Soriano,es ESP,GK,26-303,40,39,3530.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Roberto López,es ESP,"FW,MF",24-058,40,37,2854.0,31.7,7.0,4.0,11.0,7.0,0.0,0.0,4.0,0.0,5.4,5.4,5.1,10.5,21.0,122.0,145.0,0.22,0.13,0.35,0.22,0.35,0.17,0.16,0.33,0.17,0.33,Matches
Álex Corredera,es ESP,MF,28-094,39,35,3259.0,36.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,2.9,4.3,44.0,185.0,82.0,0.03,0.03,0.06,0.03,0.06,0.04,0.08,0.12,0.04,0.12,Matches
Jérémy Mellot,fr FRA,DF,30-085,34,32,2874.0,31.9,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.4,0.4,1.6,1.9,57.0,130.0,131.0,0.06,0.06,0.13,0.06,0.13,0.01,0.05,0.06,0.01,0.06,Matches
Enric Gallego,es ESP,FW,37-283,36,29,2402.0,26.7,6.0,2.0,8.0,2.0,4.0,4.0,13.0,0.0,9.8,6.7,3.5,10.2,23.0,45.0,112.0,0.22,0.07,0.3,0.07,0.15,0.37,0.13,0.5,0.25,0.38,Matches
Jose Amo,es ESP,DF,26-073,32,28,2482.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.1,1.1,0.3,1.4,12.0,106.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Sergio González,es ESP,"MF,DF",27-038,39,28,2402.0,26.7,2.0,1.0,3.0,2.0,0.0,0.0,12.0,1.0,1.8,1.8,0.6,2.4,29.0,93.0,20.0,0.07,0.04,0.11,0.07,0.11,0.07,0.02,0.09,0.07,0.09,Matches
José León Bernal,es ESP,DF,29-139,25,24,2178.0,24.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.6,0.6,0.0,0.6,9.0,63.0,2.0,0.04,0.0,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,Matches
Luismi,es ESP,"MF,FW",23-029,31,24,1994.0,22.2,3.0,3.0,6.0,3.0,0.0,0.0,7.0,1.0,1.9,1.9,3.8,5.7,52.0,79.0,96.0,0.14,0.14,0.27,0.14,0.27,0.08,0.17,0.26,0.08,0.26,Matches
Aitor Sanz,es ESP,MF,39-282,22,20,1654.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.1,0.1,0.4,0.6,9.0,90.0,13.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Fernando Medrano,es ESP,DF,24-087,21,19,1542.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,2.3,2.5,26.0,68.0,65.0,0.0,0.12,0.12,0.0,0.12,0.01,0.13,0.15,0.01,0.15,Matches
Ángel Rodríguez,es ESP,FW,37-056,37,18,1842.0,20.5,10.0,1.0,11.0,8.0,2.0,2.0,4.0,2.0,10.5,9.0,1.1,10.1,22.0,30.0,92.0,0.49,0.05,0.54,0.39,0.44,0.52,0.06,0.57,0.44,0.49,Matches
Nacho,es ESP,DF,35-106,31,18,1762.0,19.6,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,2.3,2.3,1.8,4.0,37.0,85.0,115.0,0.05,0.1,0.15,0.05,0.15,0.11,0.09,0.21,0.11,0.21,Matches
Waldo Rubio,es ESP,"MF,FW",28-309,24,18,1375.0,15.3,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,2.3,2.3,2.2,4.5,61.0,61.0,142.0,0.07,0.26,0.33,0.07,0.33,0.15,0.14,0.29,0.15,0.29,Matches
Loïc Williams,es ESP,DF,22-166,21,17,1378.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.3,0.8,10.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Aitor Buñuel,es ESP,DF,26-132,28,16,1536.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.9,1.9,21.0,51.0,85.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,Matches
Teto,es ESP,"MF,FW",22-221,33,10,1220.0,13.6,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,2.4,2.4,1.5,3.9,13.0,37.0,73.0,0.22,0.15,0.37,0.22,0.37,0.18,0.11,0.29,0.18,0.29,Matches
Yann Bodiger,fr FRA,MF,29-133,30,10,1089.0,12.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.4,0.9,15.0,61.0,14.0,0.08,0.08,0.17,0.08,0.17,0.04,0.03,0.08,0.04,0.08,Matches
Nikola Šipčić,me MNE,DF,29-035,17,10,938.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.1,0.4,4.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Yanis Rahmani,fr FRA,"MF,FW",29-039,14,10,833.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,0.4,1.7,14.0,19.0,54.0,0.0,0.0,0.0,0.0,0.0,0.14,0.05,0.18,0.14,0.18,Matches
Elady Zorrilla,es ESP,"MF,FW",33-344,12,5,513.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.4,0.4,0.3,0.7,11.0,11.0,45.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches
Álvaro Jiménez,es ESP,MF,29-033,8,4,378.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.3,0.7,6.0,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.17,0.11,0.17,Matches
Jesús Belza,es ESP,"MF,FW",20-116,10,4,311.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,4.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.03,Matches
Dauda Mohammed,gh GHA,"MF,FW",26-122,11,3,358.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.8,1.0,15.0,14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.06,0.2,0.25,0.06,0.25,Matches
Tomeu Nadal,es ESP,GK,35-134,3,3,250.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alassán,es ESP,"FW,MF",21-283,9,1,185.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.3,7.0,3.0,26.0,0.0,0.49,0.49,0.0,0.49,0.3,0.3,0.6,0.3,0.6,Matches
Álvaro Romero,es ESP,"MF,FW",28-040,8,0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,3.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.13,0.12,0.26,0.13,0.26,Matches
Dylan,es ESP,FW,18-041,2,0,33.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,2.0,0.0,0.0,2.73,2.73,0.0,2.73,0.0,1.56,1.56,0.0,1.56,Matches
Etyan,es ESP,"FW,MF",22-015,4,0,29.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,0.0,3.0,0.0,3.1,3.1,0.0,3.1,0.08,1.44,1.51,0.08,1.51,Matches
Cacho Guzmán,es ESP,MF,21-326,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Daniel Fernández,es ESP,FW,16-147,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.77,0.77,0.77,Matches
Javier Alonso,es ESP,MF,25-325,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Salifo Caropitche,gw GNB,"MF,FW",23-002,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Hernández,0,MF,0,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
César Álvarez,es ESP,DF,21-067,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Brian,es ESP,GK,19-354,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Martín Cascajo,es ESP,GK,23-346,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dawda Dambelleh,0,MF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Isaac,es ESP,DF,23-158,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aarón Martin,0,MF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Moha,es ESP,GK,24-069,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcos Otero,es ESP,DF,23-075,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergio Padilla,es ESP,GK,19-256,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,28.8,42,462,3780.0,42.0,38.0,28.0,66.0,32.0,6.0,6.0,128.0,7.0,45.4,40.7,32.4,73.1,528.0,1451.0,1437.0,0.9,0.67,1.57,0.76,1.43,1.08,0.77,1.85,0.97,1.74,0
Opponent Total,0,0,27.6,42,462,3780.0,42.0,39.0,24.0,63.0,32.0,7.0,8.0,91.0,2.0,43.0,37.1,30.4,67.5,632.0,1436.0,1421.0,0.93,0.57,1.5,0.76,1.33,1.02,0.72,1.75,0.88,1.61,0
