Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Juan Soriano,es ESP,GK,26-303,40,3530.0,88.0,93.4,39.2,39,90.0,39,1,20.0,0,1.34,36.0,39.0,-3.0,-0.08,-0.08,41.6,38.6,2.9,0.07,0.28,Matches
Roberto López,es ESP,"FW,MF",24-058,40,2854.0,71.0,75.5,31.7,37,75.0,8,3,24.0,1,1.38,33.0,26.0,7.0,0.22,1.19,34.1,30.3,3.8,0.12,0.26,Matches
Álex Corredera,es ESP,MF,28-094,39,3259.0,84.0,86.2,36.2,35,87.0,28,4,55.0,3,1.38,33.0,35.0,-2.0,-0.06,0.12,40.1,34.9,5.2,0.14,0.63,Matches
Jérémy Mellot,fr FRA,DF,30-085,34,2874.0,85.0,76.0,31.9,32,87.0,26,2,38.0,1,1.41,28.0,30.0,-2.0,-0.06,0.04,32.2,34.1,-2.0,-0.06,-0.49,Matches
Enric Gallego,es ESP,FW,37-283,36,2402.0,67.0,63.5,26.7,29,77.0,9,7,26.0,0,1.33,20.0,20.0,0.0,0.0,0.2,28.3,26.4,1.9,0.07,0.04,Matches
Jose Amo,es ESP,DF,26-073,32,2482.0,78.0,65.7,27.6,28,85.0,22,4,27.0,8,1.47,26.0,24.0,2.0,0.07,0.42,32.1,28.4,3.7,0.14,0.23,Matches
Sergio González,es ESP,"MF,DF",27-038,39,2402.0,62.0,63.5,26.7,28,77.0,13,11,21.0,0,1.31,26.0,26.0,0.0,0.0,0.2,30.0,29.1,0.9,0.03,-0.06,Matches
José León Bernal,es ESP,DF,29-139,25,2178.0,87.0,57.6,24.2,24,89.0,22,1,34.0,4,1.56,23.0,21.0,2.0,0.08,0.36,27.4,25.6,1.8,0.07,0.04,Matches
Luismi,es ESP,"MF,FW",23-029,31,1994.0,64.0,52.8,22.2,24,77.0,4,7,22.0,2,1.45,23.0,22.0,1.0,0.05,0.25,27.5,22.5,5.0,0.23,0.36,Matches
Aitor Sanz,es ESP,MF,39-282,22,1654.0,75.0,43.8,18.4,20,80.0,12,2,31.0,5,1.41,16.0,12.0,4.0,0.22,0.51,18.9,16.7,2.2,0.12,0.11,Matches
