Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Monchu,es ESP,MF,24-282,40.6,54,28,16,27,11,24,53,45.3,29,49,8,41,17,71,37,0,Matches
Luis Pérez,es ESP,DF,29-138,39.7,60,37,33,20,7,32,48,66.7,16,40,15,25,41,101,82,1,Matches
Enzo Boyomo,cm CMR,DF,22-258,33.1,65,42,41,22,2,29,37,78.4,8,33,15,18,34,99,88,1,Matches
Sergio Escudero,es ESP,DF,34-293,28.7,64,38,41,19,4,33,54,61.1,21,36,6,30,20,84,70,0,Matches
Jordi Masip,es ESP,GK,35-170,31.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,0,Matches
Iván Sánchez,es ESP,"MF,FW",31-272,26.8,51,29,17,28,6,16,45,35.6,29,34,4,30,12,63,7,0,Matches
Mamadou Sylla,sn SEN,FW,30-093,24.8,9,6,2,5,2,4,10,40.0,6,18,4,14,2,11,25,0,Matches
Víctor Meseguer,es ESP,"MF,FW",25-012,23.7,36,18,13,15,8,15,31,48.4,16,33,3,30,18,54,23,0,Matches
Stanko Jurić,hr CRO,MF,27-310,25.8,90,56,30,48,12,54,102,52.9,48,46,12,34,37,127,52,0,Matches
David Torres,es ESP,DF,21-108,20.5,26,13,19,6,1,12,16,75.0,4,24,10,14,10,36,56,0,Matches
Raúl Moro,es ESP,"MF,FW",21-199,17.1,8,4,3,5,0,1,15,6.7,14,5,0,5,5,13,7,0,Matches
César Tárrega,es ESP,DF,22-116,14.5,30,19,19,11,0,11,21,52.4,10,18,14,4,23,53,53,0,Matches
Kenedy,br BRA,"FW,MF",28-134,15.6,18,13,5,8,5,10,18,55.6,8,13,0,13,21,39,4,0,Matches
Anuar,ma MAR,"MF,FW",29-158,10.2,20,11,8,7,5,5,9,55.6,4,11,3,8,6,26,12,0,Matches
Lucas Oliveira Rosa,br BRA,"DF,MF",24-079,18.3,53,37,21,24,8,29,48,60.4,19,17,3,14,23,76,41,0,Matches
John,br BRA,GK,28-129,11.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,9,3,Matches
César de la Hoz,es ESP,"MF,DF",32-083,10.7,28,20,12,13,3,9,22,40.9,13,9,2,7,13,41,19,0,Matches
Lucas Oliveira,br BRA,MF,28-140,8.4,15,11,5,6,4,8,16,50.0,8,13,2,11,11,26,25,0,Matches
Gustavo Henrique,br BRA,DF,31-089,7.7,5,4,3,2,0,3,6,50.0,3,9,7,2,5,10,29,0,Matches
Álvaro Negredo,es ESP,FW,38-306,6.5,3,2,1,2,0,1,2,50.0,1,1,0,1,0,3,4,0,Matches
Amath,sn SEN,"MF,FW",27-341,6.3,8,4,3,2,3,1,8,12.5,7,7,2,5,3,11,2,0,Matches
Marcos André,br BRA,FW,27-245,6.2,4,2,1,0,3,3,12,25.0,9,6,3,3,1,5,3,0,Matches
Javi Sánchez,es ESP,DF,27-099,5.2,5,2,3,2,0,3,7,42.9,4,9,6,3,9,14,10,0,Matches
Sala,es ESP,FW,21-042,5.2,4,2,1,2,1,3,5,60.0,2,8,0,8,4,8,1,0,Matches
Stipe Biuk,hr CRO,"FW,MF",21-178,5.0,7,7,1,5,1,5,12,41.7,7,3,0,3,1,8,0,0,Matches
Iván Cédric,es ESP,FW,22-182,4.8,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,3,0,Matches
Joni Montiel,es ESP,"MF,FW",25-292,4.9,8,5,1,3,4,6,13,46.2,7,4,0,4,0,8,2,0,Matches
Babatunde Akinsola,ng NGA,"MF,FW",21-103,3.2,3,2,2,0,1,2,4,50.0,2,3,0,3,4,7,3,0,Matches
Alberto Quintana,es ESP,DF,22-260,2.8,3,1,2,1,0,2,3,66.7,1,6,4,2,2,5,9,0,Matches
Víctor Rofino,es ESP,DF,21-329,1.0,1,0,0,1,0,1,3,33.3,2,3,2,1,2,3,5,0,Matches
Adrian Baquerin,es ESP,"FW,MF",17-109,0.8,1,0,0,0,1,1,2,50.0,1,2,0,2,0,1,1,0,Matches
Manuel Pozo,es ESP,FW,22-192,0.7,1,0,0,0,1,0,0,0.0,0,2,0,2,0,1,2,0,Matches
Sergio León,es ESP,"FW,MF",35-167,0.7,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,Matches
Selim Amallah,ma MAR,MF,27-219,0.3,1,0,1,0,0,0,0,0.0,0,0,0,0,2,3,0,0,Matches
Mickael Malsa,mq MTQ,MF,28-253,0.1,1,1,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0,Matches
Iván Muñoz,es ESP,DF,19-079,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Jorge Gonzalez,es ESP,MF,19-097,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,27.7,42.0,684,415,306,284,94,325,625,52.0,300,464,125,339,327,1011,692,5,0
Opponent Total,0,0,27.6,42.0,648,388,326,248,74,323,671,48.1,348,447,157,290,337,985,963,9,0
