D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-12,21:00,La Liga 2,Matchweek 1,Sat,Away,L,0,2,Zaragoza,0.4,2.2,47,16838,Alberto Del Moral,3-4-3,Alejandro Quintero,Match Report,0.0
2023-08-21,19:00,La Liga 2,Matchweek 2,Mon,Home,W,3,1,Eldense,2.0,1.5,44,3957,Alberto Del Moral,4-4-2,Manuel Orellana,Match Report,0.0
2023-08-26,21:30,La Liga 2,Matchweek 3,Sat,Away,L,0,1,Elche,0.7,2.5,50,13318,Alberto Del Moral,5-3-2,Rafael Sánchez,Match Report,0.0
2023-09-02,21:00,La Liga 2,Matchweek 4,Sat,Home,L,1,2,Cartagena,1.1,1.4,58,1522,Alberto Del Moral,4-4-2,Iosu Galech,Match Report,0.0
2023-09-10,16:15,La Liga 2,Matchweek 5,Sun,Away,D,2,2,Racing Ferrol,0.7,2.7,47,6639,Alberto Del Moral,4-4-2,José López,Match Report,0.0
2023-09-16,16:15,La Liga 2,Matchweek 6,Sat,Away,D,2,2,Huesca,0.5,0.4,46,5025,Alberto Del Moral,4-4-2,Salvador Lax,Match Report,0.0
2023-09-24,14:00,La Liga 2,Matchweek 7,Sun,Home,W,3,1,Amorebieta,2.1,0.6,53,1233,Alberto Del Moral,4-4-2,Luis Milla,Match Report,0.0
2023-09-30,21:00,La Liga 2,Matchweek 8,Sat,Home,D,2,2,Alcorcón,2.6,1.0,67,1775,Alberto Del Moral,4-4-2,Daniel Trujillo,Match Report,0.0
2023-10-03,19:00,La Liga 2,Matchweek 9,Tue,Away,D,1,1,Levante,0.8,1.8,37,12850,Alberto Del Moral,4-4-2,Adrián Cordero,Match Report,0.0
2023-10-09,21:00,La Liga 2,Matchweek 10,Mon,Home,W,3,1,Espanyol,1.5,1.1,41,4132,Alberto Del Moral,4-4-2,Oliver De La Fuente,Match Report,0.0
2023-10-15,14:00,La Liga 2,Matchweek 11,Sun,Away,L,2,3,Burgos,1.2,0.9,59,8931,Alberto Del Moral,4-4-2,Miguel González,Match Report,0.0
2023-10-21,16:15,La Liga 2,Matchweek 12,Sat,Home,L,0,3,CD Mirandés,0.8,1.1,66,2045,Alberto Del Moral,4-4-2,Jon González,Match Report,0.0
2023-10-29,18:30,La Liga 2,Matchweek 13,Sun,Away,L,0,1,Leganés,0.7,0.8,52,7008,Alberto Del Moral,4-4-2,Germán Cid Camacho,Match Report,0.0
