Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Javier Ontiveros,es ESP,"MF,FW",26-286,38,35,2953.0,32.8,9.0,5.0,14.0,4.0,5.0,6.0,15.0,0.0,10.0,5.2,6.5,11.8,157.0,180.0,215.0,0.27,0.15,0.43,0.12,0.27,0.3,0.2,0.5,0.16,0.36,Matches
Álex Forés,es ESP,FW,23-070,39,35,2834.0,31.5,16.0,1.0,17.0,16.0,0.0,0.0,2.0,0.0,11.6,11.6,2.7,14.3,33.0,28.0,171.0,0.51,0.03,0.54,0.51,0.54,0.37,0.09,0.45,0.37,0.45,Matches
Carlo,es ESP,MF,23-130,36,34,2882.0,32.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,2.2,2.2,2.4,4.6,43.0,150.0,72.0,0.0,0.06,0.06,0.0,0.06,0.07,0.07,0.14,0.07,0.14,Matches
Iker Álvarez,ad AND,GK,22-332,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Dani Tasende,es ESP,DF,23-351,34,31,2758.0,30.6,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,4.9,5.9,39.0,139.0,134.0,0.03,0.13,0.16,0.03,0.16,0.03,0.16,0.19,0.03,0.19,Matches
Pascu,es ESP,"FW,MF",21-073,39,29,2493.0,27.7,4.0,4.0,8.0,4.0,0.0,0.0,6.0,0.0,4.6,4.6,3.0,7.6,41.0,46.0,107.0,0.14,0.14,0.29,0.14,0.29,0.17,0.11,0.27,0.17,0.27,Matches
Stefan Lekovic,rs SRB,DF,20-164,29,29,2438.0,27.1,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,2.3,2.3,0.1,2.4,17.0,73.0,6.0,0.11,0.0,0.11,0.11,0.11,0.08,0.0,0.09,0.08,0.09,Matches
Antonio Espigare,es ESP,DF,19-290,31,26,2343.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.7,0.7,0.0,0.7,10.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Adrià Altimira,es ESP,"DF,MF",23-085,27,26,2270.0,25.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,1.7,2.6,61.0,118.0,58.0,0.0,0.04,0.04,0.0,0.04,0.04,0.07,0.1,0.04,0.1,Matches
Rodri,es ESP,MF,21-169,35,21,1851.0,20.6,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.3,1.3,1.2,2.5,28.0,107.0,98.0,0.0,0.05,0.05,0.0,0.05,0.06,0.06,0.12,0.06,0.12,Matches
Alberto Del Moral,es ESP,MF,23-337,21,20,1736.0,19.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,0.3,2.0,9.0,104.0,25.0,0.05,0.0,0.05,0.05,0.05,0.09,0.02,0.1,0.09,0.1,Matches
Lanchi,es ESP,"DF,MF",22-364,25,20,1725.0,19.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.4,1.4,0.5,1.9,44.0,48.0,104.0,0.05,0.05,0.1,0.05,0.1,0.07,0.02,0.1,0.07,0.1,Matches
Carlos Romero,es ESP,"DF,MF",22-236,22,20,1712.0,19.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,3.0,4.7,45.0,77.0,119.0,0.0,0.21,0.21,0.0,0.21,0.09,0.16,0.25,0.09,0.25,Matches
Pablo Íñiguez,es ESP,DF,30-153,17,15,1353.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.4,0.7,11.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Matches
Diego Collado,es ESP,"FW,MF",23-164,35,14,1357.0,15.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.4,3.4,0.7,4.1,49.0,21.0,93.0,0.07,0.0,0.07,0.07,0.07,0.22,0.05,0.27,0.22,0.27,Matches
Abraham Rando,es ESP,DF,22-352,17,12,1109.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,41.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aitor Gelardo,es ESP,MF,21-361,27,12,1108.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.3,13.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.1,0.03,0.1,Matches
