Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Javier Ontiveros,es ESP,"MF,FW",26-286,38,2953.0,78.0,78.1,32.8,35,82.0,14,3,29.0,0,1.03,38.0,46.0,-8.0,-0.24,1.17,41.4,45.3,-4.0,-0.12,0.55,Matches
Álex Forés,es ESP,FW,23-070,39,2834.0,73.0,75.0,31.5,35,78.0,11,4,25.0,0,1.0,34.0,43.0,-9.0,-0.29,0.86,37.5,42.6,-5.0,-0.16,0.32,Matches
Carlo,es ESP,MF,23-130,36,2882.0,80.0,76.2,32.0,34,84.0,17,2,20.0,0,1.08,32.0,44.0,-12.0,-0.37,0.53,35.8,39.4,-3.6,-0.11,0.54,Matches
Iker Álvarez,ad AND,GK,22-332,32,2880.0,90.0,76.2,32.0,32,90.0,32,0,0.0,3,1.22,33.0,43.0,-10.0,-0.31,0.79,40.8,45.4,-4.6,-0.14,0.4,Matches
Dani Tasende,es ESP,DF,23-351,34,2758.0,81.0,73.0,30.6,31,88.0,24,3,12.0,1,1.0,22.0,43.0,-21.0,-0.69,-0.69,35.1,41.5,-6.4,-0.21,0.12,Matches
Pascu,es ESP,"FW,MF",21-073,39,2493.0,64.0,66.0,27.7,29,77.0,6,10,27.0,0,1.1,33.0,38.0,-5.0,-0.18,0.94,32.7,36.7,-4.0,-0.15,0.28,Matches
Stefan Lekovic,rs SRB,DF,20-164,29,2438.0,84.0,64.5,27.1,29,84.0,20,0,0.0,1,1.21,27.0,37.0,-10.0,-0.37,0.37,31.8,31.5,0.2,0.01,0.7,Matches
Antonio Espigare,es ESP,DF,19-290,31,2343.0,76.0,62.0,26.0,26,88.0,23,5,12.0,9,0.9,25.0,38.0,-13.0,-0.5,0.0,28.4,37.0,-8.6,-0.33,-0.24,Matches
Adrià Altimira,es ESP,"DF,MF",23-085,27,2270.0,84.0,60.1,25.2,26,86.0,22,1,23.0,0,1.15,30.0,35.0,-5.0,-0.2,0.76,31.9,33.8,-1.9,-0.07,0.41,Matches
Rodri,es ESP,MF,21-169,35,1851.0,53.0,49.0,20.6,21,76.0,6,14,19.0,6,0.94,19.0,34.0,-15.0,-0.73,-0.45,24.0,34.9,-10.9,-0.53,-0.57,Matches
