Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Éderson,br BRA,MF,24.0,36,32,2869.0,31.9,6.0,1.0,7.0,6.0,0.0,0.0,8.0,0.0,3.5,3.5,1.4,4.9,32.0,214.0,50.0,0.19,0.03,0.22,0.19,0.22,0.11,0.04,0.15,0.11,0.15,Matches
Berat Djimsiti,al ALB,DF,30.0,37,32,2832.0,31.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.7,1.5,6.0,79.0,10.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,Matches
Giorgio Scalvini,it ITA,DF,19.0,33,31,2544.0,28.3,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.1,2.5,30.0,116.0,33.0,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.09,0.05,0.09,Matches
Teun Koopmeiners,nl NED,MF,25.0,34,29,2627.0,29.2,12.0,5.0,17.0,10.0,2.0,2.0,5.0,0.0,6.5,5.0,5.9,10.9,79.0,169.0,190.0,0.41,0.17,0.58,0.34,0.51,0.22,0.2,0.43,0.17,0.37,Matches
Marten de Roon,nl NED,"MF,DF",32.0,30,29,2599.0,28.9,0.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.6,0.6,1.2,1.8,28.0,178.0,22.0,0.0,0.17,0.17,0.0,0.17,0.02,0.04,0.06,0.02,0.06,Matches
Matteo Ruggeri,it ITA,DF,21.0,34,28,2449.0,27.2,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.8,2.3,55.0,142.0,132.0,0.0,0.15,0.15,0.0,0.15,0.02,0.07,0.08,0.02,0.08,Matches
Marco Carnesecchi,it ITA,GK,23.0,27,27,2425.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sead Kolašinac,ba BIH,DF,30.0,30,25,2178.0,24.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.1,2.4,32.0,94.0,30.0,0.04,0.0,0.04,0.04,0.04,0.06,0.04,0.1,0.06,0.1,Matches
Charles De Ketelaere,be BEL,"FW,MF",22.0,35,25,2026.0,22.5,10.0,8.0,18.0,9.0,1.0,1.0,1.0,0.0,7.1,6.3,6.1,12.4,88.0,126.0,219.0,0.44,0.36,0.8,0.4,0.76,0.31,0.27,0.59,0.28,0.55,Matches
Mario Pašalić,hr CRO,MF,28.0,34,23,2051.0,22.8,6.0,6.0,12.0,4.0,2.0,2.0,3.0,0.0,7.1,5.5,4.1,9.6,48.0,129.0,74.0,0.26,0.26,0.53,0.18,0.44,0.31,0.18,0.49,0.24,0.42,Matches
Davide Zappacosta,it ITA,DF,31.0,31,23,1867.0,20.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.2,2.2,1.4,3.7,67.0,78.0,132.0,0.1,0.05,0.14,0.1,0.14,0.11,0.07,0.18,0.11,0.18,Matches
Ademola Lookman,ng NGA,"FW,MF",25.0,31,22,1894.0,21.0,11.0,7.0,18.0,11.0,0.0,0.0,4.0,0.0,9.1,9.1,5.2,14.3,72.0,97.0,222.0,0.52,0.33,0.86,0.52,0.86,0.43,0.25,0.68,0.43,0.68,Matches
Gianluca Scamacca,it ITA,FW,24.0,29,17,1453.0,16.1,12.0,6.0,18.0,12.0,0.0,0.0,1.0,0.0,6.5,6.5,3.9,10.5,22.0,41.0,167.0,0.74,0.37,1.11,0.74,1.11,0.4,0.24,0.65,0.4,0.65,Matches
Aleksei Miranchuk,ru RUS,"MF,FW",27.0,27,12,1176.0,13.1,3.0,5.0,8.0,3.0,0.0,0.0,1.0,0.0,5.4,5.4,4.1,9.5,41.0,75.0,122.0,0.23,0.38,0.61,0.23,0.61,0.41,0.31,0.72,0.41,0.72,Matches
