Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Éderson,br BRA,MF,24.0,31.9,6,38,11,28.9,1.19,0.35,0.16,0.55,18.1,0,0,0,3.5,3.5,0.09,2.5,2.5,Matches
Berat Djimsiti,al ALB,DF,30.0,31.5,0,13,0,0.0,0.41,0.0,0.0,0.0,10.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Giorgio Scalvini,it ITA,DF,19.0,28.3,1,19,6,31.6,0.67,0.21,0.05,0.17,14.6,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Teun Koopmeiners,nl NED,MF,25.0,29.2,12,52,16,30.8,1.78,0.55,0.19,0.63,18.2,2,2,2,6.5,5.0,0.1,5.5,5.0,Matches
Marten de Roon,nl NED,"MF,DF",32.0,28.9,0,16,3,18.8,0.55,0.1,0.0,0.0,24.5,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Matteo Ruggeri,it ITA,DF,21.0,27.2,0,12,4,33.3,0.44,0.15,0.0,0.0,16.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Marco Carnesecchi,it ITA,GK,23.0,26.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Sead Kolašinac,ba BIH,DF,30.0,24.2,1,13,5,38.5,0.54,0.21,0.08,0.2,12.3,0,0,0,1.3,1.3,0.1,-0.3,-0.3,Matches
Charles De Ketelaere,be BEL,"FW,MF",22.0,22.5,10,44,24,54.5,1.95,1.07,0.2,0.38,14.2,0,1,1,7.1,6.3,0.14,2.9,2.7,Matches
Mario Pašalić,hr CRO,MF,28.0,22.8,6,38,16,42.1,1.67,0.7,0.11,0.25,14.5,0,2,2,7.1,5.5,0.15,-1.1,-1.5,Matches
Davide Zappacosta,it ITA,DF,31.0,20.7,2,37,10,27.0,1.78,0.48,0.05,0.2,17.1,0,0,0,2.2,2.2,0.06,-0.2,-0.2,Matches
Ademola Lookman,ng NGA,"FW,MF",25.0,21.0,11,67,24,35.8,3.18,1.14,0.16,0.46,14.3,0,0,0,9.1,9.1,0.14,1.9,1.9,Matches
Gianluca Scamacca,it ITA,FW,24.0,16.1,12,60,26,43.3,3.72,1.61,0.2,0.46,15.1,0,0,0,6.5,6.5,0.11,5.5,5.5,Matches
Aleksei Miranchuk,ru RUS,"MF,FW",27.0,13.1,3,37,21,56.8,2.83,1.61,0.08,0.14,16.4,0,0,0,5.4,5.4,0.15,-2.4,-2.4,Matches
Emil Holm,se SWE,DF,23.0,10.5,1,26,8,30.8,2.47,0.76,0.04,0.13,11.9,0,0,0,2.7,2.7,0.11,-1.7,-1.7,Matches
Juan Musso,ar ARG,GK,29.0,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Hans Hateboer,nl NED,DF,29.0,12.4,0,11,3,27.3,0.89,0.24,0.0,0.0,18.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Rafael Tolói,it ITA,DF,32.0,10.7,0,3,0,0.0,0.28,0.0,0.0,0.0,19.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Isak Hien,se SWE,DF,24.0,10.4,0,4,2,50.0,0.38,0.19,0.0,0.0,9.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
El Bilal Touré,ml MLI,FW,21.0,4.4,2,12,4,33.3,2.74,0.91,0.17,0.5,15.2,0,0,0,1.2,1.2,0.1,0.8,0.8,Matches
Mitchel Bakker,nl NED,DF,23.0,4.2,1,5,1,20.0,1.18,0.24,0.2,1.0,14.8,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
Luis Muriel,co COL,"FW,MF",32.0,4.5,2,23,9,39.1,5.06,1.98,0.09,0.22,23.6,4,0,0,1.5,1.5,0.07,0.5,0.5,Matches
Duván Zapata,co COL,FW,32.0,1.2,1,5,2,40.0,4.02,1.61,0.2,0.5,12.3,0,0,0,0.4,0.4,0.08,0.6,0.6,Matches
Giovanni Bonfanti,it ITA,DF,20.0,1.0,0,1,0,0.0,1.01,0.0,0.0,0.0,5.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Nadir Zortea,it ITA,DF,24.0,1.7,1,2,1,50.0,1.21,0.6,0.5,1.0,22.2,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches
Michel Ndary Adopo,fr FRA,MF,23.0,1.2,0,1,1,100.0,0.83,0.83,0.0,0.0,9.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
José Luis Palomino,ar ARG,DF,33.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Rossi,it ITA,GK,32.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Mendicino,it ITA,MF,17.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.3,38.0,72,539,197,36.5,14.18,5.18,0.12,0.34,16.0,6,5,5,57.8,53.9,0.1,14.2,13.1,0
Opponent Total,0,0,26.4,38.0,41,443,134,30.2,11.66,3.53,0.08,0.26,19.7,17,6,9,41.1,34.1,0.08,-0.1,0.9,0
