D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-11,21:15,Coppa Italia,First round,Fri,Home,W,2,0,Cesena,0.0,0.0,68,14139,Nicolás Domínguez,4-3-3,Gianluca Manganiello,Match Report,0
2023-08-21,20:45,Serie A,Matchweek 1,Mon,Home,L,0,2,Milan,1.0,0.9,53,30203,Nicolás Domínguez,4-1-3-2,Luca Pairetto,Match Report,0
2023-08-27,18:30,Serie A,Matchweek 2,Sun,Away,D,1,1,Juventus,0.5,0.8,42,36107,Riccardo Orsolini,4-2-3-1,Marco Di Bello,Match Report,0
2023-09-02,18:30,Serie A,Matchweek 3,Sat,Home,W,2,1,Cagliari,2.3,0.5,71,22818,Stefan Posch,4-2-3-1,Daniele Orsato,Match Report,0
2023-09-18,20:45,Serie A,Matchweek 4,Mon,Away,D,0,0,Hellas Verona,0.6,0.4,60,18863,Lorenzo De Silvestri,4-2-3-1,Federico La Penna,Match Report,0
2023-09-24,18:00,Serie A,Matchweek 5,Sun,Home,D,0,0,Napoli,0.2,2.1,49,26621,Michel Aebischer,4-2-3-1,Giovanni Ayroldi,Match Report,0
2023-09-28,18:30,Serie A,Matchweek 6,Thu,Away,D,0,0,Monza,0.7,0.7,53,8930,Lorenzo De Silvestri,4-2-3-1,Ivan Pezzuto,Match Report,0
2023-10-01,12:30,Serie A,Matchweek 7,Sun,Home,W,3,0,Empoli,2.4,0.9,58,23689,Lewis Ferguson,4-2-3-1,Fabio Maresca,Match Report,0
2023-10-07,15:00,Serie A,Matchweek 8,Sat,Away,D,2,2,Inter,1.3,0.7,37,74072,Lorenzo De Silvestri,4-2-3-1,Marco Guida,Match Report,0
2023-10-22,15:00,Serie A,Matchweek 9,Sun,Home,W,2,1,Frosinone,1.5,1.5,55,26729,Lorenzo De Silvestri,4-2-3-1,Daniele Doveri,Match Report,0
2023-10-28,15:00,Serie A,Matchweek 10,Sat,Away,D,1,1,Sassuolo,1.0,0.9,59,16931,Lorenzo De Silvestri,4-2-3-1,Antonio Giua,Match Report,0
