Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Łukasz Skorupski,pl POL,GK,32.0,32.0,796,1018,78.2,19534,13495,202,204,99.0,386,391,98.7,205,419,48.9,0,0.0,0.0,0.0,0,6,0,0,1,Matches
Joshua Zirkzee,nl NED,FW,22.0,30.7,710,917,77.4,9106,1752,446,539,82.7,166,213,77.9,32,46,69.6,4,5.2,2.5,-1.2,43,40,28,0,86,Matches
Lewis Ferguson,sct SCO,MF,23.0,30.1,1571,1778,88.4,22609,4517,931,1007,92.5,518,565,91.7,61,85,71.8,3,2.3,2.7,0.7,32,145,25,3,142,Matches
Remo Freuler,ch SUI,MF,31.0,29.2,1710,1890,90.5,25295,6603,949,1009,94.1,653,696,93.8,50,86,58.1,1,1.1,1.3,-0.1,19,133,15,0,165,Matches
Sam Beukema,nl NED,DF,24.0,28.3,1842,2055,89.6,34323,11648,683,727,93.9,975,1036,94.1,157,238,66.0,1,0.8,0.7,0.2,7,87,5,0,76,Matches
Stefan Posch,at AUT,DF,26.0,26.8,1712,2082,82.2,28051,10439,845,909,93.0,725,807,89.8,110,261,42.1,2,2.1,1.9,-0.1,22,144,21,7,123,Matches
Riccardo Calafiori,it ITA,DF,21.0,26.1,1622,1810,89.6,28565,8660,684,737,92.8,792,844,93.8,123,172,71.5,5,1.2,0.9,3.8,17,94,10,3,96,Matches
Victor Bernth Kristiansen,dk DEN,DF,20.0,25.6,1422,1688,84.2,21913,8191,776,838,92.6,548,643,85.2,60,130,46.2,3,2.4,1.3,0.6,23,111,22,7,123,Matches
Michel Aebischer,ch SUI,MF,26.0,24.8,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1,1.5,1.0,-0.5,17,117,9,1,125,Matches
Jhon Lucumí,co COL,DF,25.0,24.6,1734,1857,93.4,31124,9471,711,748,95.1,845,865,97.7,152,196,77.6,0,0.3,0.4,-0.3,4,105,5,0,93,Matches
Alexis Saelemaekers,be BEL,"FW,MF",24.0,21.0,786,1008,78.0,12039,3234,431,487,88.5,233,288,80.9,77,133,57.9,2,2.8,3.5,-0.8,44,39,35,5,77,Matches
Dan Ndoye,ch SUI,"FW,MF",22.0,19.7,467,602,77.6,6997,1298,268,307,87.3,138,172,80.2,34,57,59.6,1,1.8,1.2,-0.8,22,25,13,5,36,Matches
Riccardo Orsolini,it ITA,"FW,MF",26.0,19.9,490,731,67.0,8021,2233,269,312,86.2,142,219,64.8,59,121,48.8,2,4.4,3.9,-2.4,36,22,22,4,71,Matches
Giovanni Fabbian,it ITA,"MF,FW",20.0,11.7,225,287,78.4,2793,580,149,174,85.6,55,67,82.1,5,11,45.5,2,1.9,0.8,0.1,16,14,3,1,17,Matches
Charalambos Lykogiannis,gr GRE,DF,29.0,10.0,451,594,75.9,7235,2374,240,272,88.2,182,225,80.9,25,71,35.2,1,1.6,0.9,-0.6,9,29,10,9,35,Matches
Nikola Moro,hr CRO,MF,25.0,9.3,469,572,82.0,8059,1920,227,258,88.0,182,211,86.3,47,66,71.2,0,0.4,0.8,-0.4,11,59,10,3,58,Matches
Kacper Urbanski,pl POL,"MF,FW",18.0,10.3,313,387,80.9,4813,1017,171,193,88.6,103,125,82.4,22,33,66.7,1,0.8,0.8,0.2,16,25,8,2,31,Matches
Lorenzo De Silvestri,it ITA,DF,35.0,7.5,373,432,86.3,5791,1916,181,195,92.8,168,189,88.9,14,29,48.3,0,0.0,0.1,0.0,0,20,1,1,27,Matches
Federico Ravaglia,it ITA,GK,23.0,5.9,166,206,80.6,3557,2149,58,58,100.0,82,83,98.8,25,64,39.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Oussama El Azzouzi,ma MAR,MF,22.0,6.1,352,390,90.3,6100,1161,159,174,91.4,138,147,93.9,42,50,84.0,2,0.6,0.2,1.4,6,21,0,0,19,Matches
Jens Odgaard,dk DEN,"FW,MF",24.0,4.8,94,135,69.6,1306,181,54,63,85.7,34,46,73.9,2,7,28.6,0,0.1,0.1,-0.1,2,4,2,0,9,Matches
Jesper Karlsson,se SWE,FW,25.0,3.8,103,152,67.8,1738,429,49,61,80.3,38,52,73.1,11,25,44.0,0,0.3,0.4,-0.3,5,8,7,1,16,Matches
Santiago Castro,ar ARG,FW,18.0,2.7,43,52,82.7,675,64,30,35,85.7,7,8,87.5,5,6,83.3,1,0.5,0.0,0.5,1,2,0,0,1,Matches
Sydney van Hooijdonk,nl NED,FW,23.0,2.4,28,36,77.8,299,73,16,19,84.2,7,7,100.0,0,0,0.0,0,0.1,0.0,-0.1,2,2,0,0,2,Matches
Tommaso Corazza,it ITA,DF,19.0,2.2,119,145,82.1,1781,648,68,74,91.9,38,41,92.7,8,17,47.1,0,0.1,0.2,-0.1,1,7,4,3,14,Matches
Nicolás Domínguez,ar ARG,MF,25.0,1.1,83,92,90.2,1276,370,45,49,91.8,36,40,90.0,2,2,100.0,0,0.0,0.1,0.0,1,5,1,0,9,Matches
Kevin Bonifazi,it ITA,DF,27.0,1.0,72,82,87.8,1259,518,36,37,97.3,28,31,90.3,7,11,63.6,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Nicola Bagnolini,it ITA,GK,19.0,0.1,2,3,66.7,106,82,1,1,100.0,0,0,0.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,0,0,25.2,38.0,19125,22504,85.0,315900,100821,9408,10260,91.7,7744,8573,90.3,1415,2441,58.0,32,32.1,25.8,-0.1,356,1267,256,55,1453,0
Opponent Total,0,0,26.6,38.0,12943,16289,79.5,229194,82032,5715,6531,87.5,5673,6536,86.8,1233,2313,53.3,18,22.1,22.5,-4.1,280,1030,235,79,1228,0
