Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Pietro Terracciano,it ITA,GK,33.0,33.0,3,0,0,2,2,0,0,0,1,0.0,2.0,0,44.0,1.0,0.0,100.0,Matches
Nikola Milenković,rs SRB,DF,25.0,27.9,4,0,0,30,23,0,0,27,21,0.0,1.0,0,108.0,111.0,28.0,79.9,Matches
Cristiano Biraghi,it ITA,DF,30.0,26.2,8,0,0,44,14,1,226,14,28,0.0,0.0,0,98.0,8.0,12.0,40.0,Matches
Giacomo Bonaventura,it ITA,MF,33.0,25.3,6,0,0,20,35,1,54,14,13,0.0,0.0,0,120.0,14.0,17.0,45.2,Matches
Lucas Martínez Quarta,ar ARG,DF,27.0,25.5,9,0,0,41,13,1,5,30,47,0.0,0.0,0,141.0,49.0,55.0,47.1,Matches
Alfred Duncan,gh GHA,MF,30.0,21.0,2,0,0,26,15,3,65,11,22,0.0,0.0,0,117.0,29.0,29.0,50.0,Matches
Luca Ranieri,it ITA,DF,24.0,22.9,14,0,0,32,11,1,13,29,10,0.0,0.0,0,99.0,40.0,38.0,51.3,Matches
Arthur Melo,br BRA,MF,26.0,22.1,2,0,0,18,47,0,21,18,30,1.0,0.0,0,141.0,7.0,7.0,50.0,Matches
Michael Kayode,it ITA,DF,19.0,22.9,2,0,0,14,19,2,66,18,30,0.0,0.0,0,105.0,17.0,18.0,48.6,Matches
Nicolás González,ar ARG,FW,25.0,21.3,1,0,0,21,36,2,39,12,18,0.0,0.0,0,84.0,64.0,50.0,56.1,Matches
Lucas Beltrán,ar ARG,"FW,MF",22.0,18.8,6,0,0,24,28,4,7,2,14,1.0,0.0,0,50.0,22.0,58.0,27.5,Matches
Jonathan Ikone,fr FRA,FW,25.0,18.7,5,0,0,16,15,5,11,3,11,1.0,0.0,0,60.0,15.0,22.0,40.5,Matches
Rolando Mandragora,it ITA,MF,26.0,17.6,5,0,0,26,24,0,34,9,11,0.0,0.0,0,60.0,31.0,39.0,44.3,Matches
Fabiano Parisi,it ITA,DF,22.0,16.2,4,0,0,14,38,0,42,17,15,0.0,3.0,0,124.0,24.0,20.0,54.5,Matches
M'Bala Nzola,ao ANG,FW,26.0,17.2,2,0,0,37,7,21,6,0,8,1.0,0.0,0,49.0,53.0,70.0,43.1,Matches
Riccardo Sottil,it ITA,FW,24.0,12.3,1,0,0,8,34,6,46,2,5,0.0,0.0,0,44.0,7.0,3.0,70.0,Matches
Christian Kouamé,ci CIV,FW,25.0,12.1,0,0,0,17,25,0,20,2,4,0.0,0.0,0,66.0,56.0,43.0,56.6,Matches
Andrea Belotti,it ITA,FW,29.0,10.5,0,0,0,15,22,7,4,2,3,2.0,0.0,0,16.0,39.0,43.0,47.6,Matches
Antonín Barák,cz CZE,"MF,FW",28.0,9.0,2,0,0,8,7,1,4,2,2,0.0,0.0,0,35.0,13.0,22.0,37.1,Matches
Josip Brekalo,hr CRO,FW,25.0,7.2,0,0,0,13,6,1,24,1,6,0.0,0.0,0,26.0,1.0,4.0,20.0,Matches
Maxime Lopez,fr FRA,MF,25.0,8.9,1,0,0,8,5,0,16,7,9,0.0,0.0,0,46.0,3.0,5.0,37.5,Matches
Dodô,br BRA,DF,24.0,5.8,0,0,0,7,8,0,19,5,3,0.0,0.0,0,34.0,4.0,2.0,66.7,Matches
Gaetano Castrovilli,it ITA,"FW,MF",26.0,4.1,0,0,0,4,5,1,9,2,2,0.0,0.0,0,17.0,3.0,2.0,60.0,Matches
Davide Faraoni,it ITA,DF,31.0,4.4,0,0,0,3,6,0,17,5,4,0.0,1.0,0,10.0,4.0,7.0,36.4,Matches
Oliver Christensen,dk DEN,GK,24.0,4.0,0,0,0,2,1,0,0,0,0,0.0,2.0,0,8.0,0.0,0.0,0.0,Matches
Tommaso Martinelli,it ITA,GK,17.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Matches
Gino Infantino,ar ARG,MF,20.0,1.1,1,0,0,4,2,0,0,3,1,0.0,0.0,0,2.0,1.0,5.0,16.7,Matches
Yerry Mina,co COL,"DF,MF",28.0,0.5,1,0,0,3,2,0,0,0,1,0.0,0.0,0,6.0,1.0,0.0,100.0,Matches
Pietro Comuzzo,it ITA,"DF,FW",18.0,0.5,1,0,0,1,0,0,0,1,1,0.0,0.0,0,5.0,8.0,3.0,72.7,Matches
Lorenzo Amatucci,it ITA,MF,19.0,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,3.0,1.0,1.0,50.0,Matches
Squad Total,0,0,27.0,38.0,80,0,0,459,450,57,748,236,320,6.0,9.0,0,1718.0,626.0,603.0,50.9,0
Opponent Total,0,0,26.4,38.0,80,3,2,478,422,89,457,272,382,7.0,8.0,1,1623.0,603.0,626.0,49.1,0
