Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Pietro Terracciano,it ITA,GK,33.0,33.0,1231.0,970.0,257.0,81.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,979.0,4.0,0.0,Matches
Nikola Milenković,rs SRB,DF,25.0,27.9,1584.0,1540.0,40.0,36.0,0.0,15.0,0,3.0,0.0,0.0,0.0,0.0,1341.0,4.0,14.0,Matches
Cristiano Biraghi,it ITA,DF,30.0,26.2,1842.0,1329.0,510.0,103.0,0.0,14.0,226,298.0,109.0,28.0,53.0,0.0,1388.0,3.0,33.0,Matches
Giacomo Bonaventura,it ITA,MF,33.0,25.3,1126.0,1078.0,46.0,13.0,15.0,5.0,54,6.0,5.0,1.0,3.0,0.0,928.0,2.0,27.0,Matches
Lucas Martínez Quarta,ar ARG,DF,27.0,25.5,1668.0,1609.0,50.0,47.0,2.0,28.0,5,3.0,0.0,0.0,0.0,0.0,1362.0,9.0,14.0,Matches
Alfred Duncan,gh GHA,MF,30.0,21.0,1030.0,961.0,63.0,22.0,5.0,18.0,65,5.0,35.0,11.0,17.0,0.0,800.0,6.0,22.0,Matches
Luca Ranieri,it ITA,DF,24.0,22.9,1362.0,1289.0,69.0,51.0,0.0,5.0,13,16.0,0.0,0.0,0.0,0.0,1142.0,4.0,8.0,Matches
Arthur Melo,br BRA,MF,26.0,22.1,1502.0,1413.0,87.0,63.0,3.0,8.0,21,13.0,9.0,0.0,8.0,1.0,1372.0,2.0,15.0,Matches
Michael Kayode,it ITA,DF,19.0,22.9,1297.0,1083.0,211.0,17.0,0.0,4.0,66,194.0,0.0,0.0,0.0,0.0,1056.0,3.0,40.0,Matches
Nicolás González,ar ARG,FW,25.0,21.3,789.0,753.0,33.0,3.0,5.0,15.0,39,29.0,1.0,1.0,0.0,0.0,560.0,3.0,27.0,Matches
Lucas Beltrán,ar ARG,"FW,MF",22.0,18.8,459.0,438.0,19.0,2.0,4.0,3.0,7,4.0,0.0,0.0,0.0,0.0,360.0,2.0,15.0,Matches
Jonathan Ikone,fr FRA,FW,25.0,18.7,476.0,466.0,10.0,2.0,7.0,3.0,11,8.0,0.0,0.0,0.0,0.0,388.0,0.0,11.0,Matches
Rolando Mandragora,it ITA,MF,26.0,17.6,761.0,701.0,60.0,32.0,0.0,8.0,34,5.0,19.0,4.0,7.0,0.0,606.0,0.0,16.0,Matches
Fabiano Parisi,it ITA,DF,22.0,16.2,1001.0,851.0,148.0,25.0,2.0,4.0,42,123.0,0.0,0.0,0.0,0.0,830.0,2.0,23.0,Matches
M'Bala Nzola,ao ANG,FW,26.0,17.2,345.0,333.0,12.0,0.0,0.0,0.0,6,3.0,0.0,0.0,0.0,0.0,283.0,0.0,9.0,Matches
Riccardo Sottil,it ITA,FW,24.0,12.3,421.0,419.0,2.0,1.0,1.0,4.0,46,1.0,0.0,0.0,0.0,0.0,331.0,0.0,17.0,Matches
Christian Kouamé,ci CIV,FW,25.0,12.1,448.0,431.0,11.0,2.0,3.0,1.0,20,7.0,2.0,0.0,0.0,0.0,325.0,6.0,13.0,Matches
Andrea Belotti,it ITA,FW,29.0,10.5,201.0,181.0,20.0,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,133.0,0.0,6.0,Matches
Antonín Barák,cz CZE,"MF,FW",28.0,9.0,392.0,372.0,20.0,3.0,0.0,1.0,4,4.0,1.0,0.0,0.0,0.0,338.0,0.0,13.0,Matches
Josip Brekalo,hr CRO,FW,25.0,7.2,291.0,278.0,11.0,4.0,0.0,0.0,24,1.0,6.0,0.0,5.0,0.0,234.0,2.0,8.0,Matches
Maxime Lopez,fr FRA,MF,25.0,8.9,673.0,646.0,27.0,14.0,0.0,3.0,16,1.0,11.0,0.0,10.0,0.0,595.0,0.0,5.0,Matches
Dodô,br BRA,DF,24.0,5.8,347.0,296.0,50.0,4.0,1.0,1.0,19,46.0,0.0,0.0,0.0,0.0,278.0,1.0,6.0,Matches
Gaetano Castrovilli,it ITA,"FW,MF",26.0,4.1,116.0,112.0,3.0,1.0,0.0,2.0,9,2.0,0.0,0.0,0.0,0.0,75.0,1.0,7.0,Matches
Davide Faraoni,it ITA,DF,31.0,4.4,248.0,200.0,47.0,5.0,1.0,0.0,17,41.0,1.0,0.0,1.0,0.0,190.0,1.0,7.0,Matches
Oliver Christensen,dk DEN,GK,24.0,4.0,190.0,164.0,26.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,1.0,Matches
Tommaso Martinelli,it ITA,GK,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gino Infantino,ar ARG,MF,20.0,1.1,46.0,43.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,1.0,Matches
Yerry Mina,co COL,"DF,MF",28.0,0.5,17.0,15.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,Matches
Pietro Comuzzo,it ITA,"DF,FW",18.0,0.5,38.0,38.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,Matches
Lorenzo Amatucci,it ITA,MF,19.0,0.2,25.0,25.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,Matches
Squad Total,0,0,27.0,38.0,19926.0,18034.0,1835.0,540.0,50.0,145.0,748,813.0,199.0,45.0,104.0,1.0,16143.0,57.0,360.0,0
Opponent Total,0,0,26.4,38.0,14943.0,13158.0,1696.0,490.0,27.0,90.0,457,701.0,116.0,36.0,65.0,0.0,11354.0,89.0,340.0,0
