Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Matìas Soulé,ar ARG,"FW,MF",20.0,34.7,41,27,12,14,15,19,40,47.5,21,38,4,34,18,59,9,0,Matches
Caleb Okoli,it ITA,DF,22.0,32.4,56,34,33,22,1,29,44,65.9,15,48,32,16,29,85,156,4,Matches
Enzo Barrenechea,ar ARG,MF,22.0,31.2,65,42,28,29,8,28,70,40.0,42,47,12,35,27,92,61,2,Matches
Stefano Turati,it ITA,GK,21.0,30.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,3,Matches
Simone Romagnoli,it ITA,DF,33.0,30.2,35,15,23,11,1,15,20,75.0,5,51,36,15,29,64,147,0,Matches
Luca Mazzitelli,it ITA,MF,27.0,24.6,45,23,15,24,6,26,49,53.1,23,23,7,16,19,64,62,0,Matches
Marco Brescianini,it ITA,MF,23.0,25.8,28,13,13,12,3,9,25,36.0,16,22,5,17,10,38,37,0,Matches
Walid Cheddira,ma MAR,FW,25.0,23.6,12,7,1,8,3,4,8,50.0,4,6,1,5,5,17,10,0,Matches
Pol Lirola,es ESP,DF,25.0,17.1,30,18,14,15,1,17,35,48.6,18,12,1,11,19,49,41,1,Matches
Francesco Gelli,it ITA,"MF,DF",26.0,17.3,19,13,8,4,7,10,24,41.7,14,19,3,16,11,30,27,1,Matches
Ilario Monterisi,it ITA,DF,21.0,16.3,23,13,14,7,2,12,26,46.2,14,22,18,4,8,31,63,0,Matches
Nadir Zortea,it ITA,DF,24.0,14.0,21,14,8,13,0,10,22,45.5,12,13,5,8,4,25,29,1,Matches
Anthony Oyono,ga GAB,DF,22.0,13.3,37,26,21,14,2,23,34,67.6,11,17,3,14,9,46,32,0,Matches
Emanuele Valeri,it ITA,DF,24.0,13.1,19,16,10,5,4,10,21,47.6,11,14,3,11,9,28,22,0,Matches
Riccardo Marchizza,it ITA,DF,25.0,12.8,7,6,4,3,0,3,13,23.1,10,10,2,8,7,14,33,0,Matches
Reinier,br BRA,"MF,FW",21.0,11.8,21,10,6,12,3,5,17,29.4,12,24,4,20,10,31,5,0,Matches
Abdou Harroui,nl NED,"MF,FW",25.0,11.3,23,11,11,11,1,8,16,50.0,8,19,3,16,5,28,8,0,Matches
Kaio Jorge,br BRA,FW,21.0,9.0,6,4,0,1,5,3,4,75.0,1,6,0,6,1,7,0,0,Matches
Michele Cerofolini,it ITA,GK,24.0,7.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,1,Matches
Marvin Cuni,al ALB,FW,22.0,5.9,8,3,1,3,4,3,4,75.0,1,10,1,9,1,9,0,0,Matches
Jaime Báez,uy URU,"FW,MF",28.0,5.6,4,1,0,2,2,0,7,0.0,7,5,0,5,4,8,1,0,Matches
Luca Garritano,it ITA,"MF,DF",29.0,5.4,10,5,7,2,1,5,15,33.3,10,13,0,13,4,14,8,1,Matches
Arijon Ibrahimović,de GER,"FW,DF",17.0,5.3,7,6,4,2,1,1,9,11.1,8,4,0,4,1,8,3,0,Matches
Kevin Bonifazi,it ITA,DF,27.0,3.4,5,3,2,3,0,2,3,66.7,1,1,0,1,3,8,9,0,Matches
Demba Seck,sn SEN,"FW,MF",22.0,3.3,7,4,2,3,2,4,5,80.0,1,3,0,3,1,8,1,0,Matches
Mateus Lusuardi,br BRA,DF,19.0,2.4,2,1,1,1,0,1,3,33.3,2,4,2,2,4,6,8,0,Matches
Mehdi Bourabia,ma MAR,MF,31.0,2.2,5,4,1,4,0,2,4,50.0,2,3,0,3,0,5,4,0,Matches
Giuseppe Caso,it ITA,"FW,MF",24.0,4.6,4,3,2,0,2,2,3,66.7,1,0,0,0,0,4,0,0,Matches
Farés Ghedjemis,fr FRA,"FW,MF",20.0,2.0,2,0,1,0,1,0,2,0.0,2,2,0,2,1,3,2,0,Matches
Giorgi Kvernadze,ge GEO,"FW,DF",20.0,0.7,3,0,2,0,1,2,2,100.0,0,1,0,1,1,4,0,0,Matches
Gennaro Borrelli,it ITA,FW,23.0,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Karlo Lulić,hr CRO,MF,27.0,0.2,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,0,0,Matches
Luigi Canotto,it ITA,FW,29.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Przemysław Szymiński,pl POL,MF,29.0,0.1,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,Matches
Squad Total,0,0,24.3,38.0,545,322,244,225,76,253,525,48.2,272,439,143,296,241,786,789,14,0
Opponent Total,0,0,26.7,38.0,697,407,365,265,67,349,646,54.0,297,427,120,307,302,999,620,18,0
