Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Matìas Soulé,ar ARG,"FW,MF",20.0,34.7,1197,1535,78.0,18531,5372,654,749,87.3,411,521,78.9,89,163,54.6,3,6.6,5.3,-3.6,82,107,78,12,198,Matches
Caleb Okoli,it ITA,DF,22.0,32.4,1407,1720,81.8,25428,10828,569,640,88.9,708,794,89.2,113,234,48.3,1,0.8,0.3,0.2,5,86,3,0,118,Matches
Enzo Barrenechea,ar ARG,MF,22.0,31.2,1624,1903,85.3,26904,7782,779,857,90.9,679,775,87.6,126,193,65.3,1,1.7,1.1,-0.7,25,160,8,0,155,Matches
Stefano Turati,it ITA,GK,21.0,30.5,775,1065,72.8,17065,12766,240,240,100.0,391,400,97.8,140,419,33.4,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Simone Romagnoli,it ITA,DF,33.0,30.2,1221,1421,85.9,21605,8093,481,535,89.9,636,701,90.7,80,140,57.1,1,0.4,0.2,0.6,3,22,0,0,47,Matches
Luca Mazzitelli,it ITA,MF,27.0,24.6,974,1309,74.4,16656,5947,446,517,86.3,380,482,78.8,104,222,46.8,0,1.1,0.9,-1.1,13,131,14,2,167,Matches
Marco Brescianini,it ITA,MF,23.0,25.8,632,804,78.6,8979,2644,371,430,86.3,201,245,82.0,27,56,48.2,2,1.6,1.9,0.4,22,50,15,4,70,Matches
Walid Cheddira,ma MAR,FW,25.0,23.6,262,385,68.1,3458,610,160,207,77.3,67,96,69.8,13,13,100.0,1,1.4,0.7,-0.4,16,17,4,0,22,Matches
Pol Lirola,es ESP,DF,25.0,17.1,556,722,77.0,9018,3289,302,341,88.6,194,248,78.2,47,89,52.8,1,1.1,1.0,-0.1,13,37,14,3,65,Matches
Francesco Gelli,it ITA,"MF,DF",26.0,17.3,604,743,81.3,8504,2316,378,412,91.7,176,217,81.1,28,66,42.4,0,2.4,2.5,-2.4,25,40,18,3,61,Matches
Ilario Monterisi,it ITA,DF,21.0,16.3,802,997,80.4,13842,6423,350,392,89.3,379,447,84.8,60,123,48.8,2,0.4,0.3,1.6,5,47,7,1,47,Matches
Nadir Zortea,it ITA,DF,24.0,14.0,418,572,73.1,6726,2688,227,264,86.0,141,189,74.6,37,74,50.0,5,2.8,2.2,2.2,21,24,27,18,42,Matches
Anthony Oyono,ga GAB,DF,22.0,13.3,518,621,83.4,7039,2371,329,354,92.9,138,174,79.3,24,49,49.0,1,0.9,0.7,0.1,10,29,5,3,33,Matches
Emanuele Valeri,it ITA,DF,24.0,13.1,341,560,60.9,5852,2970,165,199,82.9,122,198,61.6,40,117,34.2,1,2.4,1.6,-1.4,23,32,13,9,41,Matches
Riccardo Marchizza,it ITA,DF,25.0,12.8,423,558,75.8,7144,3382,187,216,86.6,197,238,82.8,31,72,43.1,4,0.8,0.8,3.2,11,28,7,5,36,Matches
Reinier,br BRA,"MF,FW",21.0,11.8,318,401,79.3,4584,1095,192,220,87.3,103,134,76.9,13,19,68.4,2,1.9,0.7,0.1,16,27,15,2,32,Matches
Abdou Harroui,nl NED,"MF,FW",25.0,11.3,303,383,79.1,4174,1016,186,216,86.1,84,106,79.2,15,25,60.0,3,1.2,1.4,1.8,16,29,12,4,38,Matches
Kaio Jorge,br BRA,FW,21.0,9.0,116,159,73.0,1586,205,73,87,83.9,29,40,72.5,5,9,55.6,0,0.3,0.3,-0.3,8,7,2,0,11,Matches
Michele Cerofolini,it ITA,GK,24.0,7.5,124,209,59.3,3261,2471,23,23,100.0,66,67,98.5,34,117,29.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Marvin Cuni,al ALB,FW,22.0,5.9,82,115,71.3,988,167,48,60,80.0,20,28,71.4,3,4,75.0,0,0.3,0.2,-0.3,6,2,2,0,11,Matches
Jaime Báez,uy URU,"FW,MF",28.0,5.6,141,202,69.8,2309,920,68,87,78.2,50,64,78.1,16,33,48.5,0,0.5,0.8,-0.5,8,12,9,0,29,Matches
Luca Garritano,it ITA,"MF,DF",29.0,5.4,147,220,66.8,2219,804,82,96,85.4,43,66,65.2,12,32,37.5,0,0.3,0.4,-0.3,4,19,3,1,23,Matches
Arijon Ibrahimović,de GER,"FW,DF",17.0,5.3,163,225,72.4,2299,702,105,129,81.4,47,65,72.3,8,13,61.5,1,0.7,0.7,0.3,8,11,9,1,22,Matches
Kevin Bonifazi,it ITA,DF,27.0,3.4,123,145,84.8,2029,731,60,64,93.8,57,60,95.0,5,14,35.7,0,0.1,0.0,-0.1,1,12,1,0,7,Matches
Demba Seck,sn SEN,"FW,MF",22.0,3.3,74,92,80.4,959,206,50,57,87.7,20,25,80.0,2,2,100.0,0,0.3,0.4,-0.3,3,2,2,0,9,Matches
Mateus Lusuardi,br BRA,DF,19.0,2.4,134,154,87.0,2107,820,71,74,95.9,58,65,89.2,4,12,33.3,0,0.0,0.0,0.0,0,11,0,0,12,Matches
Mehdi Bourabia,ma MAR,MF,31.0,2.2,76,98,77.6,914,218,52,61,85.2,15,19,78.9,2,7,28.6,0,0.0,0.0,0.0,1,5,1,1,7,Matches
Giuseppe Caso,it ITA,"FW,MF",24.0,4.6,95,112,84.8,1144,413,67,74,90.5,17,23,73.9,3,4,75.0,0,0.2,0.2,-0.2,3,5,8,0,20,Matches
Farés Ghedjemis,fr FRA,"FW,MF",20.0,2.0,48,61,78.7,638,71,29,32,90.6,15,19,78.9,1,4,25.0,0,0.1,0.1,-0.1,2,1,2,0,2,Matches
Giorgi Kvernadze,ge GEO,"FW,DF",20.0,0.7,31,36,86.1,498,57,17,18,94.4,10,11,90.9,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Gennaro Borrelli,it ITA,FW,23.0,0.3,0,1,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Karlo Lulić,hr CRO,MF,27.0,0.2,8,12,66.7,106,28,5,6,83.3,3,6,50.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Luigi Canotto,it ITA,FW,29.0,0.2,2,3,66.7,21,9,2,2,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Przemysław Szymiński,pl POL,MF,29.0,0.1,1,2,50.0,9,10,1,1,100.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,0,0,24.3,38.0,13740,17545,78.3,226596,87424,6769,7660,88.4,5457,6523,83.7,1085,2330,46.6,29,30.2,24.8,-1.2,350,962,279,69,1326,0
Opponent Total,0,0,26.7,38.0,13984,17938,78.0,251918,91923,6075,6988,86.9,6027,7089,85.0,1500,2863,52.4,46,39.9,34.9,6.1,431,1033,320,101,1330,0
