Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Josep Martinez,es ESP,GK,25.0,36.0,4,1,1,2,11,0,0,1,0,0,1,0,61,13,1,92.9,Matches
Morten Frendrup,dk DEN,MF,22.0,34.9,6,0,0,49,35,1,12,51,72,0,1,0,197,31,29,51.7,Matches
Albert Guðmundsson,is ISL,"FW,MF",26.0,33.5,4,0,0,28,46,11,179,11,10,1,0,0,136,3,22,12.0,Matches
Johan Vásquez,mx MEX,DF,24.0,31.7,6,0,0,36,38,4,30,45,33,0,1,0,101,77,55,58.3,Matches
Milan Badelj,hr CRO,MF,34.0,28.2,6,0,0,24,14,0,14,50,27,0,0,0,177,12,13,48.0,Matches
Stefano Sabelli,it ITA,DF,30.0,27.0,5,0,0,36,36,4,99,23,24,0,0,0,91,16,22,42.1,Matches
Mattia Bani,it ITA,DF,29.0,25.6,9,0,0,21,28,2,1,22,10,0,0,0,98,49,42,53.8,Matches
Koni De Winter,be BEL,DF,21.0,26.4,8,1,1,37,11,0,5,21,25,0,1,0,120,58,38,60.4,Matches
Mateo Retegui,it ITA,FW,24.0,24.6,5,0,0,36,25,4,20,0,9,0,0,0,58,60,61,49.6,Matches
Radu Drăgușin,ro ROU,DF,21.0,19.0,1,0,0,14,14,0,1,21,11,0,0,0,62,58,25,69.9,Matches
Ruslan Malinovskyi,ua UKR,MF,30.0,17.2,7,0,0,31,17,0,19,5,20,0,0,0,88,22,19,53.7,Matches
Aarón Martín,es ESP,DF,26.0,15.3,4,1,1,23,17,2,106,9,10,0,0,0,48,8,11,42.1,Matches
Kevin Strootman,nl NED,MF,33.0,13.4,4,0,0,16,6,0,20,7,19,0,0,0,73,7,11,38.9,Matches
Alessandro Vogliacco,it ITA,DF,24.0,13.0,4,0,0,13,4,1,12,30,15,1,0,0,52,25,21,54.3,Matches
Junior Messias,br BRA,"MF,DF",32.0,11.7,0,0,0,7,22,5,24,5,20,0,0,0,54,15,24,38.5,Matches
Caleb Ekuban,gh GHA,FW,29.0,12.6,0,0,0,17,27,3,4,1,4,1,0,0,36,33,34,49.3,Matches
Morten Thorsby,no NOR,MF,27.0,12.9,2,0,0,28,7,6,9,4,11,0,0,0,41,67,56,54.5,Matches
Djed Spence,eng ENG,DF,22.0,9.5,1,0,0,7,9,1,12,8,10,0,0,0,46,12,14,46.2,Matches
Ridgeciano Haps,sr SUR,DF,30.0,8.6,0,0,0,3,16,1,16,6,6,0,0,0,33,10,6,62.5,Matches
Vitinha,pt POR,"FW,MF",23.0,3.2,2,0,0,10,8,2,9,0,2,0,0,0,13,7,16,30.4,Matches
Nicola Leali,it ITA,GK,30.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
George Pușcaș,ro ROU,FW,27.0,2.1,0,0,0,1,0,0,0,0,0,0,0,0,9,12,8,60.0,Matches
Silvan Hefti,ch SUI,"MF,DF",25.0,1.3,0,0,0,2,1,0,2,0,1,0,0,0,3,2,2,50.0,Matches
Giorgio Cittadini,it ITA,DF,21.0,1.2,0,0,0,2,4,0,0,3,4,0,0,0,8,2,4,33.3,Matches
Alan Matturro,uy URU,DF,18.0,1.2,0,0,0,0,0,0,0,2,1,0,0,1,6,3,2,60.0,Matches
Davide Biraschi,it ITA,DF,29.0,1.0,0,0,0,0,2,0,0,2,3,0,0,0,4,1,0,100.0,Matches
Berkan Kutlu,tr TUR,MF,25.0,2.2,0,0,0,4,4,0,12,4,4,0,0,0,6,2,2,50.0,Matches
David Akpan Ankeye,ng NGA,FW,21.0,0.6,0,0,0,2,1,0,1,0,0,0,0,0,4,0,1,0.0,Matches
Emil Bohinen,no NOR,MF,24.0,0.6,0,0,0,0,0,0,2,0,1,0,0,0,11,2,1,66.7,Matches
Seydou Fini,it ITA,"DF,FW",17.0,0.4,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,33.3,Matches
Filip Jagiełło,pl POL,MF,25.0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0.0,Matches
Pablo Galdames Millán,cl CHI,"MF,DF",26.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches
Daniele Sommariva,it ITA,GK,26.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Christos Papadopoulos,gr GRE,FW,18.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,26.7,38.0,79,3,3,450,406,47,610,332,352,3,4,1,1643,610,543,52.9,0
Opponent Total,0,0,26.4,38.0,92,5,2,449,419,68,774,271,298,4,6,2,1713,543,610,47.1,0
