Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Lorenzo Montipò,it ITA,GK,27.0,37.0,783,1272,61.6,28541,23677,96,97,99.0,285,297,96.0,401,870,46.1,1,0.0,0.2,1.0,1,49,1,0,0,Matches
Michael Folorunsho,it ITA,"MF,FW",25.0,30.9,486,796,61.1,8352,2187,236,328,72.0,176,268,65.7,55,116,47.4,1,1.4,1.1,-0.4,18,43,10,6,54,Matches
Ondrej Duda,sk SVK,MF,28.0,27.3,906,1209,74.9,17261,5504,379,440,86.1,372,461,80.7,136,250,54.4,4,3.3,3.0,0.7,53,118,21,4,117,Matches
Giangiacomo Magnani,it ITA,DF,27.0,27.2,785,994,79.0,17901,6086,187,223,83.9,454,513,88.5,138,233,59.2,0,0.2,0.5,-0.2,6,76,2,1,79,Matches
Paweł Dawidowicz,pl POL,DF,28.0,23.8,972,1173,82.9,20339,7048,247,302,81.8,587,647,90.7,131,199,65.8,0,0.0,0.1,0.0,2,60,2,0,89,Matches
Tomáš Suslov,sk SVK,"MF,FW",21.0,23.2,416,573,72.6,8181,2111,155,185,83.8,176,210,83.8,70,127,55.1,5,3.6,2.5,1.4,28,40,22,6,64,Matches
Darko Lazović,rs SRB,"FW,MF",32.0,21.4,431,671,64.2,7287,2845,218,265,82.3,155,233,66.5,49,116,42.2,2,4.4,3.5,-2.4,31,51,21,7,66,Matches
Jackson Tchatchoua,cm CMR,DF,21.0,19.2,604,799,75.6,9562,3708,324,355,91.3,222,299,74.2,42,102,41.2,2,1.3,1.7,0.7,15,48,22,18,53,Matches
Suat Serdar,de GER,MF,26.0,18.4,445,602,73.9,8940,2516,169,209,80.9,179,228,78.5,86,126,68.3,2,1.4,0.9,0.6,17,56,14,1,68,Matches
Diego Coppola,it ITA,DF,19.0,18.2,555,718,77.3,11563,4450,151,189,79.9,324,369,87.8,78,142,54.9,0,0.2,0.1,-0.2,4,33,0,0,40,Matches
Juan David Cabal,co COL,DF,22.0,16.6,561,790,71.0,9888,4415,265,306,86.6,228,302,75.5,56,126,44.4,0,0.4,0.6,-0.4,12,57,10,6,70,Matches
Cyril Ngonge,be BEL,"FW,MF",23.0,15.9,234,361,64.8,4279,1264,104,147,70.7,91,120,75.8,32,61,52.5,2,1.7,1.6,0.3,21,25,13,8,44,Matches
Tijjani Noslin,nl NED,"FW,MF",24.0,14.9,235,338,69.5,3048,641,140,178,78.7,69,103,67.0,6,15,40.0,4,2.2,1.0,1.8,26,18,13,4,26,Matches
Filippo Terracciano,it ITA,DF,20.0,14.4,507,713,71.1,9215,4188,230,270,85.2,217,294,73.8,54,117,46.2,1,1.0,1.3,0.0,18,49,14,10,51,Matches
Milan Đurić,ba BIH,FW,33.0,13.4,181,334,54.2,2116,392,130,213,61.0,32,69,46.4,5,12,41.7,1,1.2,0.5,-0.2,16,18,3,0,15,Matches
Martin Hongla,cm CMR,MF,25.0,12.0,391,474,82.5,7563,2018,135,157,86.0,199,223,89.2,48,74,64.9,0,0.3,0.1,-0.3,9,38,0,0,57,Matches
Josh Doig,sct SCO,DF,21.0,9.2,251,338,74.3,4528,1565,103,123,83.7,119,143,83.2,24,50,48.0,0,0.3,0.4,-0.3,5,15,5,4,15,Matches
Federico Bonazzoli,it ITA,"FW,MF",26.0,11.3,242,314,77.1,4025,534,132,161,82.0,71,87,81.6,30,34,88.2,1,1.1,0.5,-0.1,8,21,7,0,26,Matches
Isak Hien,se SWE,DF,24.0,9.6,324,394,82.2,6945,2807,83,103,80.6,192,210,91.4,47,69,68.1,0,0.0,0.1,0.0,0,21,0,0,26,Matches
Fabien Centonze,fr FRA,DF,27.0,7.5,213,317,67.2,3365,1617,110,138,79.7,87,119,73.1,13,40,32.5,1,1.0,0.8,0.0,6,14,8,7,14,Matches
Davide Faraoni,it ITA,DF,31.0,6.7,228,304,75.0,4121,1808,103,119,86.6,80,102,78.4,36,62,58.1,1,0.4,0.3,0.6,8,28,6,2,28,Matches
Bruno Amione,ar ARG,DF,21.0,6.4,217,273,79.5,3776,1390,83,99,83.8,114,132,86.4,15,33,45.5,0,0.0,0.0,0.0,1,11,0,0,17,Matches
Jordi Mboula,es ESP,"FW,MF",24.0,3.4,46,69,66.7,671,104,23,29,79.3,14,16,87.5,4,8,50.0,1,0.4,0.1,0.6,3,1,0,0,4,Matches
Stefan Mitrović,rs SRB,"FW,MF",20.0,4.3,77,105,73.3,1207,290,45,50,90.0,23,31,74.2,7,12,58.3,0,0.1,0.2,-0.1,3,10,2,1,15,Matches
Karol Świderski,pl POL,"FW,MF",26.0,5.6,84,120,70.0,1154,281,45,55,81.8,30,41,73.2,2,5,40.0,0,0.4,0.6,-0.4,8,5,4,1,13,Matches
Daniel Bandeira,pt POR,MF,23.0,5.0,187,233,80.3,3306,1112,82,93,88.2,77,91,84.6,22,36,61.1,0,0.2,0.3,-0.2,3,30,5,0,34,Matches
Riccardo Saponara,it ITA,"FW,MF",31.0,3.8,87,124,70.2,1465,387,38,45,84.4,36,52,69.2,8,11,72.7,0,0.2,0.2,-0.2,3,8,3,1,14,Matches
Thomas Henry,fr FRA,FW,28.0,3.7,33,67,49.3,421,83,20,42,47.6,8,10,80.0,1,3,33.3,0,0.0,0.1,0.0,2,2,0,0,3,Matches
Rúben Vinagre,pt POR,"DF,FW",24.0,3.1,86,127,67.7,1507,418,41,52,78.8,33,39,84.6,10,29,34.5,0,0.3,0.3,-0.3,5,5,6,5,8,Matches
Juan Cruz,ar ARG,"FW,MF",24.0,1.2,18,27,66.7,211,78,16,22,72.7,1,2,50.0,1,2,50.0,0,0.1,0.1,-0.1,1,1,0,0,4,Matches
Reda Belahyane,fr FRA,MF,19.0,1.0,23,25,92.0,298,88,14,14,100.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
Simone Perilli,it ITA,GK,28.0,1.0,17,38,44.7,687,631,3,3,100.0,5,5,100.0,9,29,31.0,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Elayis Tavsan,nl NED,"MF,FW",22.0,0.6,7,8,87.5,143,42,3,3,100.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,2,Matches
Charlys,br BRA,MF,19.0,0.3,5,6,83.3,64,23,4,4,100.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,2,0,1,0,1,Matches
Alphadjo Cissè,it ITA,FW,16.0,0.1,1,1,100.0,9,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Yayah Kallon,sl SLE,FW,22.0,0.0,1,3,33.3,10,9,1,3,33.3,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Squad Total,0,0,25.7,38.0,10639,14710,72.3,211949,86317,4116,5023,81.9,4666,5727,81.5,1618,3113,52.0,29,27.2,22.8,1.8,335,958,216,92,1122,0
Opponent Total,0,0,26.5,38.0,14365,18516,77.6,263077,97914,5937,6853,86.6,6595,7780,84.8,1524,2963,51.4,34,34.9,28.8,-0.9,369,992,258,64,1348,0
