Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Henrikh Mkhitaryan,am ARM,MF,34.0,30.9,116,3.75,102,1,1,2,6,4,18,0.58,16,0,0,0,1,1,Matches
Yann Sommer,ch SUI,GK,34.0,34.0,6,0.18,6,0,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
Nicolò Barella,it ITA,MF,26.0,31.6,137,4.33,121,1,4,7,3,1,20,0.63,13,0,2,4,1,0,Matches
Marcus Thuram,fr FRA,FW,25.0,29.9,81,2.71,51,0,6,10,13,1,17,0.57,10,0,2,0,5,0,Matches
Hakan Çalhanoğlu,tr TUR,MF,29.0,28.4,107,3.77,63,39,0,4,0,1,10,0.35,7,3,0,0,0,0,Matches
Lautaro Martínez,ar ARG,FW,25.0,29.5,102,3.46,71,0,4,16,7,4,16,0.54,7,0,1,3,2,3,Matches
Federico Dimarco,it ITA,DF,25.0,23.1,108,4.68,78,21,2,5,1,1,14,0.61,10,2,0,2,0,0,Matches
Alessandro Bastoni,it ITA,DF,24.0,25.2,63,2.5,54,1,0,4,3,1,6,0.24,6,0,0,0,0,0,Matches
Matteo Darmian,it ITA,DF,33.0,26.7,55,2.06,45,6,0,2,2,0,3,0.11,2,0,0,0,1,0,Matches
Francesco Acerbi,it ITA,DF,35.0,26.5,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0,Matches
Benjamin Pavard,fr FRA,DF,27.0,18.6,27,1.45,25,0,0,1,1,0,2,0.11,2,0,0,0,0,0,Matches
Denzel Dumfries,nl NED,DF,27.0,18.2,47,2.59,37,3,3,1,3,0,8,0.44,5,0,1,0,2,0,Matches
Stefan de Vrij,nl NED,DF,31.0,17.6,9,0.51,7,0,0,1,0,1,1,0.06,1,0,0,0,0,0,Matches
Carlos Augusto,br BRA,DF,24.0,19.2,36,1.88,29,4,1,0,1,1,6,0.31,4,1,1,0,0,0,Matches
Yann Aurel Bisseck,de GER,DF,22.0,10.0,10,1.0,4,0,1,2,3,0,0,0.0,0,0,0,0,0,0,Matches
Davide Frattesi,it ITA,MF,23.0,10.6,26,2.45,21,0,0,3,2,0,6,0.57,4,0,0,1,1,0,Matches
Kristjan Asllani,al ALB,MF,21.0,8.7,19,2.18,13,4,1,1,0,0,5,0.57,4,1,0,0,0,0,Matches
Alexis Sánchez,cl CHI,"FW,MF",34.0,8.5,35,4.12,28,3,1,1,1,1,8,0.94,6,2,0,0,0,0,Matches
Marko Arnautović,at AUT,FW,34.0,8.9,24,2.71,22,0,0,1,1,0,3,0.34,3,0,0,0,0,0,Matches
Emil Audero,it ITA,GK,26.0,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Davy Klaassen,nl NED,MF,30.0,2.3,5,2.18,5,0,0,0,0,0,2,0.87,2,0,0,0,0,0,Matches
Juan Cuadrado,co COL,DF,35.0,3.0,13,4.38,11,1,0,1,0,0,3,1.01,3,0,0,0,0,0,Matches
Tajon Buchanan,ca CAN,DF,24.0,1.8,6,3.35,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Stefano Sensi,it ITA,MF,27.0,0.5,4,7.66,2,1,0,1,0,0,1,1.91,1,0,0,0,0,0,Matches
Raffaele Di Gennaro,it ITA,GK,29.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ebenezer Akinsanmiro,ng NGA,MF,18.0,0.2,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucien Agoume,fr FRA,MF,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,29.1,38.0,1059,27.87,819,85,24,68,47,16,152,4.0,109,9,7,10,13,4,0
Opponent Total,0,0,26.2,38.0,694,18.26,530,54,34,31,33,12,40,1.05,34,2,0,1,3,0,0
