Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Henrikh Mkhitaryan,am ARM,MF,34.0,30.9,1679,1654,22,14,8,11,32,8,0,0,0,0,1453,3,44,Matches
Yann Sommer,ch SUI,GK,34.0,34.0,1236,992,242,41,0,1,0,0,0,0,0,0,1078,2,0,Matches
Nicolò Barella,it ITA,MF,26.0,31.6,2168,2120,37,17,12,25,51,19,1,0,0,0,1835,11,37,Matches
Marcus Thuram,fr FRA,FW,25.0,29.9,656,641,14,0,4,4,21,1,0,0,0,0,476,1,21,Matches
Hakan Çalhanoğlu,tr TUR,MF,29.0,28.4,2316,2097,210,92,4,35,153,4,113,52,47,0,2045,9,18,Matches
Lautaro Martínez,ar ARG,FW,25.0,29.5,782,734,42,4,12,3,15,1,0,0,0,0,604,6,28,Matches
Federico Dimarco,it ITA,DF,25.0,23.1,1328,1116,207,24,1,6,196,124,59,22,30,0,1027,5,34,Matches
Alessandro Bastoni,it ITA,DF,24.0,25.2,1935,1787,139,58,1,29,76,71,0,0,0,0,1671,9,30,Matches
Matteo Darmian,it ITA,DF,33.0,26.7,1389,1236,150,16,5,9,21,134,0,0,0,0,1181,3,30,Matches
Francesco Acerbi,it ITA,DF,35.0,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5,Matches
Benjamin Pavard,fr FRA,DF,27.0,18.6,1308,1247,59,33,0,3,24,26,0,0,0,0,1180,2,10,Matches
Denzel Dumfries,nl NED,DF,27.0,18.2,801,656,142,4,0,2,47,138,0,0,0,0,614,3,16,Matches
Stefan de Vrij,nl NED,DF,31.0,17.6,1010,989,20,15,0,0,0,1,0,0,0,0,932,1,2,Matches
Carlos Augusto,br BRA,DF,24.0,19.2,1099,977,112,14,0,3,40,92,0,0,0,0,921,10,25,Matches
Yann Aurel Bisseck,de GER,DF,22.0,10.0,641,614,27,20,1,2,5,7,0,0,0,0,590,0,9,Matches
Davide Frattesi,it ITA,MF,23.0,10.6,301,293,7,6,2,2,11,1,0,0,0,0,235,1,7,Matches
Kristjan Asllani,al ALB,MF,21.0,8.7,744,685,56,23,2,4,35,1,32,12,10,0,662,3,6,Matches
Alexis Sánchez,cl CHI,"FW,MF",34.0,8.5,367,335,31,6,5,6,31,0,21,10,6,0,276,1,13,Matches
Marko Arnautović,at AUT,FW,34.0,8.9,271,264,5,0,3,1,7,0,0,0,0,0,203,2,9,Matches
Emil Audero,it ITA,GK,26.0,3.7,197,174,21,3,0,0,0,0,0,0,0,0,166,2,1,Matches
Davy Klaassen,nl NED,MF,30.0,2.3,95,94,1,1,0,1,0,0,0,0,0,0,82,0,2,Matches
Juan Cuadrado,co COL,DF,35.0,3.0,189,169,20,3,0,6,18,17,0,0,0,0,158,0,0,Matches
Tajon Buchanan,ca CAN,DF,24.0,1.8,72,70,2,0,0,0,11,2,0,0,0,0,58,0,3,Matches
Stefano Sensi,it ITA,MF,27.0,0.5,52,49,3,1,1,1,1,0,2,0,1,0,47,0,1,Matches
Raffaele Di Gennaro,it ITA,GK,29.0,0.3,17,15,1,0,0,0,0,0,0,0,0,0,15,1,0,Matches
Ebenezer Akinsanmiro,ng NGA,MF,18.0,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0,Matches
Lucien Agoume,fr FRA,MF,21.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Squad Total,0,0,29.1,38.0,22447,20739,1631,439,61,165,804,655,228,96,94,0,19136,77,351,0
Opponent Total,0,0,26.2,38.0,16837,15132,1664,466,17,134,608,586,144,57,66,0,13716,41,310,0
