Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Gleison Bremer,br BRA,DF,26.0,36,36,3233.0,35.9,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,1.4,1.4,0.4,1.9,7.0,120.0,4.0,0.08,0.0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches
Wojciech Szczęsny,pl POL,GK,33.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Manuel Locatelli,it ITA,MF,25.0,36,34,3008.0,33.4,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,1.4,2.7,21.0,232.0,26.0,0.03,0.12,0.15,0.03,0.15,0.04,0.04,0.08,0.04,0.08,Matches
Adrien Rabiot,fr FRA,MF,28.0,31,30,2651.0,29.5,5.0,3.0,8.0,5.0,0.0,0.0,8.0,0.0,3.5,3.4,4.1,7.4,72.0,120.0,106.0,0.17,0.1,0.27,0.17,0.27,0.12,0.14,0.26,0.11,0.25,Matches
Federico Gatti,it ITA,DF,25.0,32,30,2637.0,29.3,4.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,5.5,5.5,1.5,7.0,52.0,122.0,43.0,0.14,0.0,0.14,0.14,0.14,0.19,0.05,0.24,0.19,0.24,Matches
Weston McKennie,us USA,"MF,DF",24.0,34,29,2594.0,28.8,0.0,7.0,7.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,3.9,6.9,64.0,92.0,176.0,0.0,0.24,0.24,0.0,0.24,0.1,0.13,0.24,0.1,0.24,Matches
Andrea Cambiaso,it ITA,"DF,FW",23.0,34,28,2372.0,26.4,2.0,3.0,5.0,2.0,0.0,0.0,10.0,0.0,2.2,2.2,3.9,6.0,87.0,71.0,172.0,0.08,0.11,0.19,0.08,0.19,0.08,0.15,0.23,0.08,0.23,Matches
Danilo,br BRA,DF,32.0,29,27,2452.0,27.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,0.9,2.2,18.0,161.0,21.0,0.04,0.04,0.07,0.04,0.07,0.05,0.03,0.08,0.05,0.08,Matches
Dušan Vlahović,rs SRB,FW,23.0,33,27,2307.0,25.6,16.0,4.0,20.0,14.0,2.0,4.0,8.0,1.0,16.6,13.3,2.3,15.6,36.0,46.0,174.0,0.62,0.16,0.78,0.55,0.7,0.65,0.09,0.74,0.52,0.61,Matches
Filip Kostić,rs SRB,DF,30.0,29,26,1815.0,20.2,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,5.4,6.1,64.0,88.0,95.0,0.0,0.2,0.2,0.0,0.2,0.03,0.27,0.3,0.03,0.3,Matches
Federico Chiesa,it ITA,FW,25.0,33,25,2197.0,24.4,9.0,2.0,11.0,8.0,1.0,1.0,1.0,0.0,6.4,5.6,6.2,11.9,111.0,70.0,216.0,0.37,0.08,0.45,0.33,0.41,0.26,0.25,0.52,0.23,0.49,Matches
Fabio Miretti,it ITA,MF,19.0,25,16,1103.0,12.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,1.1,2.3,22.0,43.0,62.0,0.08,0.08,0.16,0.08,0.16,0.1,0.09,0.19,0.1,0.19,Matches
Daniele Rugani,it ITA,DF,29.0,17,13,1187.0,13.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.4,2.0,2.0,46.0,2.0,0.15,0.0,0.15,0.15,0.15,0.12,0.03,0.15,0.12,0.15,Matches
Timothy Weah,us USA,"DF,FW",23.0,30,12,1258.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.5,1.5,1.1,2.7,35.0,48.0,84.0,0.0,0.07,0.07,0.0,0.07,0.11,0.08,0.19,0.11,0.19,Matches
Kenan Yıldız,tr TUR,"FW,DF",18.0,27,9,952.0,10.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.6,1.6,1.1,2.7,32.0,40.0,73.0,0.19,0.0,0.19,0.19,0.19,0.15,0.1,0.26,0.15,0.26,Matches
Alex Sandro,br BRA,DF,32.0,16,8,721.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.9,1.3,16.0,43.0,9.0,0.12,0.0,0.12,0.12,0.12,0.05,0.11,0.16,0.05,0.16,Matches
Moise Kean,it ITA,FW,23.0,19,8,654.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.1,2.1,0.7,2.8,12.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,0.38,0.28,0.38,Matches
Arkadiusz Milik,pl POL,FW,29.0,32,7,919.0,10.2,4.0,1.0,5.0,4.0,0.0,0.0,2.0,1.0,5.1,5.1,2.6,7.7,12.0,22.0,49.0,0.39,0.1,0.49,0.39,0.49,0.5,0.26,0.75,0.5,0.75,Matches
Samuel Iling-Junior,eng ENG,"DF,MF",19.0,24,4,810.0,9.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.3,2.0,29.0,25.0,64.0,0.11,0.22,0.33,0.11,0.33,0.08,0.14,0.23,0.08,0.23,Matches
Nicolò Fagioli,it ITA,MF,22.0,8,4,437.0,4.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.7,1.1,8.0,23.0,15.0,0.0,0.41,0.41,0.0,0.41,0.08,0.15,0.23,0.08,0.23,Matches
Carlos Alcaraz,ar ARG,MF,20.0,10,3,380.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,6.0,27.0,9.0,0.0,0.24,0.24,0.0,0.24,0.09,0.03,0.12,0.09,0.12,Matches
Hans Nicolussi Caviglia,it ITA,MF,23.0,8,3,268.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,0.0,14.0,2.0,0.0,0.34,0.34,0.0,0.34,0.04,0.2,0.23,0.04,0.23,Matches
Mattia Perin,it ITA,GK,30.0,3,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
