Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Adam Marušić,me MNE,DF,30.0,34.4,1880,1575,304,20,0,4,44,284,0,0,0,0,1560,1,27,Matches
Felipe Anderson,br BRA,"FW,MF",30.0,30.8,1336,1299,29,5,5,6,57,18,6,1,4,0,1012,8,63,Matches
Ivan Provedel,it ITA,GK,29.0,30.0,1022,790,227,51,0,3,0,0,0,0,0,0,835,5,0,Matches
Luis Alberto,es ESP,MF,30.0,25.7,1679,1452,215,71,14,6,150,13,114,45,54,0,1303,12,28,Matches
Mattéo Guendouzi,fr FRA,MF,24.0,26.3,1119,1081,33,16,5,3,42,17,0,0,0,0,926,5,27,Matches
Alessio Romagnoli,it ITA,DF,28.0,26.8,1759,1625,128,57,1,3,1,2,0,0,0,0,1604,6,3,Matches
Mattia Zaccagni,it ITA,"FW,MF",28.0,21.7,899,823,74,22,2,5,71,20,32,12,9,0,711,2,30,Matches
Mario Gila,es ESP,DF,22.0,20.1,1294,1209,81,45,4,16,8,18,0,0,0,0,1161,4,7,Matches
Ciro Immobile,it ITA,FW,33.0,18.4,461,428,30,2,2,1,7,2,1,0,0,0,338,3,17,Matches
Manuel Lazzari,it ITA,DF,29.0,18.6,975,819,156,11,0,2,56,145,0,0,0,0,826,0,28,Matches
Patric,es ESP,DF,30.0,17.9,1199,1143,51,34,2,11,11,16,0,0,0,0,1051,5,4,Matches
Daichi Kamada,jp JPN,MF,26.0,17.2,921,907,12,6,4,5,11,4,0,0,0,0,810,2,21,Matches
Valentín Castellanos,ar ARG,FW,24.0,18.7,452,417,33,0,0,1,15,0,0,0,0,0,272,2,13,Matches
Nicolò Casale,it ITA,DF,25.0,17.3,1024,989,35,25,0,2,0,2,0,0,0,0,940,0,8,Matches
Nicolò Rovella,it ITA,MF,21.0,14.6,976,925,48,30,2,7,20,2,16,2,11,0,851,3,18,Matches
Danilo Cataldi,it ITA,MF,28.0,15.1,932,882,48,23,3,3,31,5,20,4,13,0,800,2,8,Matches
Gustav Isaksen,dk DEN,FW,22.0,11.9,328,311,15,3,3,1,29,9,3,2,0,0,218,2,17,Matches
Elseid Hysaj,al ALB,DF,29.0,13.3,850,734,115,15,1,0,18,100,0,0,0,0,713,1,8,Matches
Matías Vecino,uy URU,MF,31.0,12.8,750,732,12,8,2,3,5,4,0,0,0,0,621,6,12,Matches
Luca Pellegrini,it ITA,DF,24.0,8.7,515,419,94,6,1,1,28,87,1,0,0,0,372,2,21,Matches
Christos Mandas,gr GRE,GK,21.0,8.0,269,220,49,20,0,0,0,0,0,0,0,0,181,0,0,Matches
Pedro,es ESP,"FW,MF",36.0,9.1,431,422,8,4,2,2,20,0,4,2,2,0,357,1,7,Matches
Squad Total,0,0,28.2,38.0,21071,19202,1797,474,53,85,624,748,197,68,93,0,17462,72,367,0
Opponent Total,0,0,26.5,38.0,18552,16735,1778,519,19,150,614,719,174,54,76,1,15117,39,349,0
