Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Adam Marušić,me MNE,DF,30.0,34.4,1560,1880,83.0,24140,9157,843,935,90.2,582,704,82.7,89,159,56.0,0,0.8,1.1,-0.8,10,110,24,11,118,Matches
Felipe Anderson,br BRA,"FW,MF",30.0,30.8,1012,1336,75.7,14375,3827,601,690,87.1,320,411,77.9,47,96,49.0,6,6.3,4.7,-0.3,42,66,50,4,126,Matches
Ivan Provedel,it ITA,GK,29.0,30.0,835,1022,81.7,22233,15095,166,166,100.0,350,353,99.2,316,494,64.0,0,0.0,0.0,0.0,0,9,1,0,3,Matches
Luis Alberto,es ESP,MF,30.0,25.7,1303,1679,77.6,20459,6568,711,797,89.2,442,538,82.2,104,239,43.5,7,4.7,4.8,2.3,64,172,48,4,212,Matches
Mattéo Guendouzi,fr FRA,MF,24.0,26.3,926,1119,82.8,15130,3632,467,509,91.7,363,432,84.0,71,107,66.4,3,2.3,2.4,0.7,23,105,29,8,119,Matches
Alessio Romagnoli,it ITA,DF,28.0,26.8,1604,1759,91.2,27365,9970,670,703,95.3,804,849,94.7,96,153,62.7,0,0.6,0.6,-0.6,6,82,5,1,87,Matches
Mattia Zaccagni,it ITA,"FW,MF",28.0,21.7,711,899,79.1,10281,2132,428,471,90.9,208,266,78.2,43,84,51.2,1,2.9,3.3,-1.9,29,36,26,5,55,Matches
Mario Gila,es ESP,DF,22.0,20.1,1161,1294,89.7,21517,7790,454,483,94.0,545,583,93.5,135,181,74.6,0,0.5,0.8,-0.5,7,70,10,3,93,Matches
Ciro Immobile,it ITA,FW,33.0,18.4,338,461,73.3,4444,668,211,268,78.7,92,119,77.3,13,21,61.9,1,2.1,1.3,-1.1,17,12,12,0,39,Matches
Manuel Lazzari,it ITA,DF,29.0,18.6,826,975,84.7,12173,3791,456,490,93.1,316,370,85.4,30,60,50.0,2,1.3,1.3,0.7,9,57,12,8,62,Matches
Patric,es ESP,DF,30.0,17.9,1051,1199,87.7,20688,7423,370,389,95.1,504,542,93.0,160,242,66.1,0,0.2,0.3,-0.2,4,65,6,1,72,Matches
Daichi Kamada,jp JPN,MF,26.0,17.2,810,921,87.9,13045,2683,422,461,91.5,320,346,92.5,51,71,71.8,2,2.8,2.1,-0.8,24,70,13,1,96,Matches
Valentín Castellanos,ar ARG,FW,24.0,18.7,272,452,60.2,3651,962,162,237,68.4,74,124,59.7,16,25,64.0,3,1.7,1.1,1.3,19,27,15,1,47,Matches
Nicolò Casale,it ITA,DF,25.0,17.3,940,1024,91.8,17305,5880,360,383,94.0,489,519,94.2,81,102,79.4,0,0.0,0.2,0.0,2,66,1,0,49,Matches
Nicolò Rovella,it ITA,MF,21.0,14.6,851,976,87.2,14115,3415,412,437,94.3,351,381,92.1,66,104,63.5,2,0.5,0.6,1.5,10,68,5,0,56,Matches
Danilo Cataldi,it ITA,MF,28.0,15.1,800,932,85.8,12545,3512,421,452,93.1,309,347,89.0,48,94,51.1,0,0.8,0.9,-0.8,11,79,8,2,69,Matches
Gustav Isaksen,dk DEN,FW,22.0,11.9,218,328,66.5,3100,676,121,143,84.6,73,110,66.4,11,38,28.9,1,2.6,2.0,-1.6,19,8,11,4,21,Matches
Elseid Hysaj,al ALB,DF,29.0,13.3,713,850,83.9,10858,4236,400,438,91.3,248,291,85.2,41,78,52.6,0,0.4,1.0,-0.4,9,46,10,5,51,Matches
Matías Vecino,uy URU,MF,31.0,12.8,621,750,82.8,9893,2963,322,366,88.0,252,287,87.8,36,61,59.0,1,0.4,1.2,0.6,7,68,10,0,74,Matches
Luca Pellegrini,it ITA,DF,24.0,8.7,372,515,72.2,5643,2051,196,227,86.3,137,177,77.4,20,64,31.3,0,0.3,0.3,-0.3,2,29,7,0,46,Matches
Christos Mandas,gr GRE,GK,21.0,8.0,181,269,67.3,5187,3842,33,33,100.0,82,85,96.5,66,151,43.7,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Pedro,es ESP,"FW,MF",36.0,9.1,357,431,82.8,5072,974,214,236,90.7,109,132,82.6,17,33,51.5,1,2.1,1.5,-1.1,17,22,13,4,33,Matches
Squad Total,0,0,28.2,38.0,17462,21071,82.9,293219,101247,8440,9314,90.6,6970,7966,87.5,1557,2657,58.6,30,32.9,31.6,-2.9,331,1270,316,62,1528,0
Opponent Total,0,0,26.5,38.0,15117,18552,81.5,275979,93061,6158,6936,88.8,7030,7918,88.8,1557,2760,56.4,27,30.2,26.3,-3.2,365,913,253,86,1169,0
