Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Wladimiro Falcone,it ITA,GK,28.0,38.0,0,0,0,0,5,0,0,1,0,1,0,0,30,5,0,100.0,Matches
Federico Baschirotto,it ITA,DF,26.0,36.6,3,1,0,30,4,0,3,23,12,0,2,0,153,93,70,57.1,Matches
Marin Pongračić,hr CRO,DF,25.0,35.8,10,1,1,57,22,0,1,51,30,0,0,0,183,59,38,60.8,Matches
Valentin Gendrey,fr FRA,DF,23.0,33.8,5,0,0,27,40,3,61,35,33,0,1,0,104,53,39,57.6,Matches
Ylber Ramadani,al ALB,MF,27.0,33.0,13,0,0,42,37,0,14,44,41,0,1,0,225,29,27,51.8,Matches
Antonino Gallo,it ITA,DF,23.0,27.7,2,0,0,9,17,3,138,25,27,0,0,0,161,25,33,43.1,Matches
Nikola Krstović,me MNE,FW,23.0,26.4,4,1,0,45,54,14,4,4,6,1,0,0,69,63,82,43.4,Matches
Pontus Almqvist,se SWE,"FW,MF",24.0,23.4,5,0,0,29,35,1,21,14,29,2,0,0,69,14,22,38.9,Matches
Remi Oudin,fr FRA,"MF,FW",26.0,20.2,3,0,0,16,11,3,156,20,14,0,0,0,96,12,12,50.0,Matches
Patrick Dorgu,dk DEN,"DF,MF",18.0,17.4,6,0,0,25,44,2,41,9,22,0,0,0,78,27,25,51.9,Matches
Lameck Banda,zm ZAM,FW,22.0,15.0,5,1,0,32,30,9,51,3,23,0,0,0,82,9,16,36.0,Matches
Hamza Rafia,tn TUN,MF,24.0,13.4,4,0,0,31,34,2,38,11,31,0,0,1,70,9,20,31.0,Matches
Alexis Blin,fr FRA,MF,26.0,18.2,4,0,0,25,22,0,11,22,19,0,1,0,111,28,48,36.8,Matches
Mohamed Kaba,fr FRA,MF,21.0,15.3,4,1,1,26,21,0,7,12,23,0,0,0,84,21,18,53.8,Matches
Joan Gonzàlez,es ESP,MF,21.0,14.3,6,0,0,15,33,1,10,5,18,0,0,0,81,25,36,41.0,Matches
Gabriel Strefezza,br BRA,FW,26.0,12.4,4,0,0,20,37,3,42,7,17,0,0,0,51,4,14,22.2,Matches
Roberto Piccoli,it ITA,FW,22.0,15.3,5,0,0,28,13,15,6,4,6,0,0,0,38,53,84,38.7,Matches
Nicola Sansone,it ITA,"FW,MF",31.0,8.5,4,0,0,16,12,0,28,4,6,0,0,0,37,9,13,40.9,Matches
Lorenzo Venuti,it ITA,DF,28.0,4.0,1,0,0,5,1,0,10,5,4,0,1,0,21,2,3,40.0,Matches
Ahmed Touba,dz ALG,DF,25.0,3.1,1,0,0,6,1,0,0,7,4,0,0,0,16,5,6,45.5,Matches
Medon Berisha,al ALB,"FW,MF",19.0,2.3,0,0,0,7,5,0,3,1,1,0,0,0,10,1,0,100.0,Matches
Santiago Pierotti,ar ARG,"MF,FW",22.0,2.2,0,0,0,13,3,0,4,1,8,0,0,0,8,2,9,18.2,Matches
Federico Di Francesco,it ITA,"FW,MF",29.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0.0,Matches
Jeppe Corfitzen,dk DEN,FW,18.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Rareș-Cătălin Burnete,ro ROU,FW,19.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Marcin Listkowski,pl POL,FW,25.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,24.9,38.0,89,5,2,504,481,56,650,308,374,4,6,1,1779,548,616,47.1,0
Opponent Total,0,0,26.5,38.0,88,5,2,508,468,37,680,274,381,3,5,2,1791,616,548,52.9,0
