Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Tijjani Reijnders,nl NED,MF,25.0,31.3,132,4.21,102,11,11,4,1,3,18,0.57,16,0,2,0,0,0,Matches
Christian Pulisic,us USA,"FW,MF",24.0,28.9,90,3.11,59,9,8,6,6,2,17,0.59,13,0,2,0,1,1,Matches
Theo Hernández,fr FRA,DF,25.0,31.0,119,3.84,87,8,7,11,5,1,13,0.42,11,0,0,1,1,0,Matches
Mike Maignan,fr FRA,GK,28.0,29.0,8,0.28,7,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Rafael Leão,pt POR,FW,24.0,27.9,135,4.83,92,5,23,5,10,0,26,0.93,17,0,8,0,1,0,Matches
Olivier Giroud,fr FRA,FW,36.0,26.3,51,1.94,41,0,0,9,0,1,13,0.5,9,0,0,4,0,0,Matches
Davide Calabria,it ITA,DF,26.0,24.3,34,1.4,32,0,0,0,1,1,6,0.25,6,0,0,0,0,0,Matches
Ruben Loftus-Cheek,eng ENG,MF,27.0,23.0,51,2.22,45,0,1,3,2,0,6,0.26,3,0,1,1,1,0,Matches
Fikayo Tomori,eng ENG,DF,25.0,23.6,12,0.51,10,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
Alessandro Florenzi,it ITA,DF,32.0,19.2,85,4.41,47,28,0,7,1,2,7,0.36,2,4,0,1,0,0,Matches
Malick Thiaw,de GER,DF,21.0,18.0,19,1.06,16,0,0,3,0,0,2,0.11,2,0,0,0,0,0,Matches
Yacine Adli,fr FRA,MF,23.0,15.6,62,3.97,41,18,3,0,0,0,8,0.51,4,3,1,0,0,0,Matches
Matteo Gabbia,it ITA,DF,23.0,14.2,8,0.56,4,1,0,2,0,1,1,0.07,0,0,0,1,0,0,Matches
Simon Kjær,dk DEN,DF,34.0,13.0,9,0.69,7,0,0,1,1,0,1,0.08,1,0,0,0,0,0,Matches
Yunus Musah,us USA,"MF,FW",20.0,16.4,38,2.32,27,0,5,4,1,1,2,0.12,2,0,0,0,0,0,Matches
Ismaël Bennacer,dz ALG,MF,25.0,12.8,38,2.97,27,4,3,2,1,1,3,0.23,3,0,0,0,0,0,Matches
Samuel Chukwueze,ng NGA,FW,24.0,11.3,48,4.25,32,0,9,5,2,0,7,0.62,5,0,1,1,0,0,Matches
Luka Jović,rs SRB,FW,25.0,9.7,20,2.05,15,0,0,5,0,0,2,0.21,2,0,0,0,0,0,Matches
Rade Krunić,ba BIH,MF,29.0,7.6,10,1.31,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marco Sportiello,it ITA,GK,31.0,7.0,2,0.29,2,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Noah Okafor,ch SUI,"FW,MF",23.0,9.9,18,1.83,11,0,4,2,0,1,4,0.41,3,0,0,1,0,0,Matches
Pierre Kalulu,fr FRA,DF,23.0,4.2,6,1.44,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Tommaso Pobega,it ITA,MF,24.0,3.5,4,1.13,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Antonio Mirante,it ITA,GK,40.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Filippo Terracciano,it ITA,"DF,FW",20.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jan-Carlo Simic,rs SRB,DF,18.0,1.6,2,1.23,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luka Romero,ar ARG,"FW,MF",18.0,1.0,2,2.02,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Davide Bartesaghi,it ITA,"DF,MF",17.0,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alejandro Jiménez,es ESP,DF,18.0,0.8,2,2.65,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marco Pellegrino,0,DF,0.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mattia Caldara,it ITA,DF,29.0,0.4,1,2.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kevin Zeroli,it ITA,MF,18.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Chaka Traorè,ci CIV,FW,18.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Francesco Camarda,it ITA,FW,15.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lapo Nava,it ITA,GK,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.6,38.0,1006,26.47,726,86,74,73,33,14,139,3.66,102,7,15,10,4,1,0
Opponent Total,0,0,26.4,38.0,858,22.58,604,73,48,78,36,19,80,2.11,48,8,9,6,9,0,0
