D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-21,20:45,Serie A,Matchweek 1,Mon,Away,W,2,0,Bologna,0.9,1.0,47,30203,Davide Calabria,4-3-3,Luca Pairetto,Match Report,0
2023-08-26,20:45,Serie A,Matchweek 2,Sat,Home,W,4,1,Torino,3.0,0.5,59,72013,Davide Calabria,4-3-3,Maurizio Mariani,Match Report,0
2023-09-01,20:45,Serie A,Matchweek 3,Fri,Away,W,2,1,Roma,1.5,0.7,56,61690,Davide Calabria,4-2-3-1,Antonio Rapuano,Match Report,0
2023-09-16,18:00,Serie A,Matchweek 4,Sat,Away,L,1,5,Inter,1.1,2.6,59,75571,Davide Calabria,4-3-3,Simone Sozza,Match Report,0
2023-09-19,18:45,Champions Lg,Group stage,Tue,Home,D,0,0,eng Newcastle Utd,1.9,0.3,53,65695,Davide Calabria,4-3-3,José Sánchez,Match Report,0
2023-09-23,15:00,Serie A,Matchweek 5,Sat,Home,W,1,0,Hellas Verona,0.9,0.6,54,71070,Rafael Leão,4-2-3-1,Fabio Maresca,Match Report,0
2023-09-27,18:30,Serie A,Matchweek 6,Wed,Away,W,3,1,Cagliari,2.1,0.9,66,16348,Theo Hernández,4-3-3,Federico La Penna,Match Report,0
2023-09-30,18:00,Serie A,Matchweek 7,Sat,Home,W,2,0,Lazio,2.2,0.5,51,72035,Davide Calabria,4-3-3,Davide Massa,Match Report,0
2023-10-04,21:00,Champions Lg,Group stage,Wed,Away,D,0,0,de Dortmund,1.6,1.0,43,81365,Davide Calabria,4-3-3,Szymon Marciniak,Match Report,0
2023-10-07,20:45,Serie A,Matchweek 8,Sat,Away,W,1,0,Genoa,0.6,0.5,59,33157,Theo Hernández,4-3-3,Marco Piccinini,Match Report,0
2023-10-22,20:45,Serie A,Matchweek 9,Sun,Home,L,0,1,Juventus,0.3,1.4,52,75676,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,0
2023-10-25,21:00,Champions Lg,Group stage,Wed,Away,L,0,3,fr Paris S-G,0.6,1.3,39,45962,Theo Hernández,4-3-3,Slavko Vinčič,Match Report,0
2023-10-29,20:45,Serie A,Matchweek 10,Sun,Away,D,2,2,Napoli,2.0,1.7,52,54000,Davide Calabria,4-3-3,Daniele Orsato,Match Report,0
2023-11-04,20:45,Serie A,Matchweek 11,Sat,Home,L,0,1,Udinese,0.9,1.4,72,71018,Davide Calabria,4-4-2,Juan Sacchi,Match Report,0
