Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Tijjani Reijnders,nl NED,MF,25.0,36,33,2820.0,31.3,3.0,3.0,6.0,3.0,0.0,0.0,8.0,0.0,3.2,3.2,3.7,7.0,88.0,204.0,90.0,0.1,0.1,0.19,0.1,0.19,0.1,0.12,0.22,0.1,0.22,Matches
Christian Pulisic,us USA,"FW,MF",24.0,36,32,2602.0,28.9,12.0,8.0,20.0,12.0,0.0,0.0,2.0,0.0,8.0,8.0,4.8,12.8,131.0,87.0,293.0,0.42,0.28,0.69,0.42,0.69,0.28,0.16,0.44,0.28,0.44,Matches
Theo Hernández,fr FRA,DF,25.0,32,31,2791.0,31.0,5.0,4.0,9.0,4.0,1.0,2.0,11.0,1.0,4.9,3.4,4.3,7.7,115.0,166.0,124.0,0.16,0.13,0.29,0.13,0.26,0.16,0.14,0.3,0.11,0.25,Matches
Mike Maignan,fr FRA,GK,28.0,29,29,2609.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches
Rafael Leão,pt POR,FW,24.0,34,29,2512.0,27.9,9.0,9.0,18.0,9.0,0.0,0.0,5.0,0.0,10.0,10.0,9.1,19.1,160.0,117.0,293.0,0.32,0.32,0.64,0.32,0.64,0.36,0.32,0.68,0.36,0.68,Matches
Olivier Giroud,fr FRA,FW,36.0,35,28,2363.0,26.3,15.0,8.0,23.0,11.0,4.0,5.0,1.0,1.0,14.2,10.2,4.7,14.9,9.0,28.0,95.0,0.57,0.3,0.88,0.42,0.72,0.54,0.18,0.72,0.39,0.57,Matches
Davide Calabria,it ITA,DF,26.0,29,26,2185.0,24.3,1.0,3.0,4.0,1.0,0.0,0.0,5.0,2.0,1.3,1.3,1.2,2.5,31.0,140.0,66.0,0.04,0.12,0.16,0.04,0.16,0.05,0.05,0.1,0.05,0.1,Matches
Ruben Loftus-Cheek,eng ENG,MF,27.0,29,26,2068.0,23.0,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,3.7,3.7,2.4,6.1,73.0,74.0,113.0,0.26,0.04,0.3,0.26,0.3,0.16,0.1,0.26,0.16,0.26,Matches
Fikayo Tomori,eng ENG,DF,25.0,26,24,2121.0,23.6,4.0,0.0,4.0,4.0,0.0,0.0,8.0,1.0,3.7,3.7,0.2,3.9,16.0,63.0,2.0,0.17,0.0,0.17,0.17,0.17,0.16,0.01,0.16,0.16,0.16,Matches
Alessandro Florenzi,it ITA,DF,32.0,31,19,1732.0,19.2,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,3.4,5.1,29.0,106.0,50.0,0.05,0.21,0.26,0.05,0.26,0.09,0.18,0.26,0.09,0.26,Matches
Malick Thiaw,de GER,DF,21.0,21,19,1619.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.6,0.6,0.1,0.7,15.0,70.0,1.0,0.0,0.06,0.06,0.0,0.06,0.03,0.01,0.04,0.03,0.04,Matches
Yacine Adli,fr FRA,MF,23.0,24,17,1407.0,15.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,2.2,2.5,30.0,125.0,26.0,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,Matches
Matteo Gabbia,it ITA,DF,23.0,18,14,1275.0,14.2,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.6,1.6,0.3,1.9,11.0,42.0,2.0,0.14,0.07,0.21,0.14,0.21,0.11,0.02,0.14,0.11,0.14,Matches
Simon Kjær,dk DEN,DF,34.0,20,14,1171.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.8,1.3,4.0,52.0,0.0,0.0,0.08,0.08,0.0,0.08,0.04,0.06,0.1,0.04,0.1,Matches
Yunus Musah,us USA,"MF,FW",20.0,30,13,1478.0,16.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.2,1.8,48.0,64.0,77.0,0.0,0.12,0.12,0.0,0.12,0.04,0.08,0.11,0.04,0.11,Matches
Ismaël Bennacer,dz ALG,MF,25.0,20,13,1151.0,12.8,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,1.7,0.9,2.5,3.3,24.0,68.0,33.0,0.16,0.16,0.31,0.08,0.23,0.13,0.19,0.32,0.07,0.26,Matches
Samuel Chukwueze,ng NGA,FW,24.0,24,12,1017.0,11.3,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,2.3,3.9,52.0,51.0,135.0,0.09,0.27,0.35,0.09,0.35,0.15,0.2,0.35,0.15,0.35,Matches
Luka Jović,rs SRB,FW,25.0,23,8,877.0,9.7,6.0,1.0,7.0,6.0,0.0,0.0,2.0,1.0,4.9,4.9,0.8,5.7,6.0,22.0,47.0,0.62,0.1,0.72,0.62,0.72,0.5,0.09,0.59,0.5,0.59,Matches
Rade Krunić,ba BIH,MF,29.0,10,8,687.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.5,0.6,5.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.08,0.02,0.08,Matches
Marco Sportiello,it ITA,GK,31.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Noah Okafor,ch SUI,"FW,MF",23.0,28,6,887.0,9.9,6.0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,3.8,3.8,1.2,5.0,29.0,15.0,66.0,0.61,0.2,0.81,0.61,0.81,0.38,0.12,0.51,0.38,0.51,Matches
Pierre Kalulu,fr FRA,DF,23.0,9,4,374.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,6.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Tommaso Pobega,it ITA,MF,24.0,11,3,319.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,6.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches
Antonio Mirante,it ITA,GK,40.0,2,2,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Filippo Terracciano,it ITA,"DF,FW",20.0,3,1,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jan-Carlo Simic,rs SRB,DF,18.0,4,0,146.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,6.0,0.0,0.62,0.0,0.62,0.62,0.62,0.38,0.0,0.38,0.38,0.38,Matches
Luka Romero,ar ARG,"FW,MF",18.0,4,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Davide Bartesaghi,it ITA,"DF,MF",17.0,6,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alejandro Jiménez,es ESP,DF,18.0,3,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Marco Pellegrino,0,DF,0.0,1,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Mattia Caldara,it ITA,DF,29.0,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,Matches
Kevin Zeroli,it ITA,MF,18.0,3,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Chaka Traorè,ci CIV,FW,18.0,2,0,20.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,2.0,4.5,0.0,4.5,4.5,4.5,0.35,0.0,0.35,0.35,0.35,Matches
Francesco Camarda,it ITA,FW,15.0,2,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lapo Nava,it ITA,GK,19.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Bartoccioni,it ITA,GK,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lorenzo Colombo,it ITA,FW,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Victor Ehuwa Eletu,ng NGA,MF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Clinton Nsiala,fr FRA,DF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Noah Raveyre,fr FRA,GK,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Sia,it ITA,FW,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
