Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Matteo Pessina,it ITA,MF,26.0,35.8,44,25,20,20,4,23,49,46.9,26,29,11,18,27,71,46,1,Matches
Andrea Colpani,it ITA,"MF,FW",24.0,29.5,25,15,6,13,6,11,20,55.0,9,11,4,7,14,39,14,0,Matches
Michele Di Gregorio,it ITA,GK,26.0,31.9,1,0,1,0,0,1,4,25.0,3,1,0,1,1,2,10,2,Matches
Pablo Marí,es ESP,DF,29.0,29.1,41,25,34,7,0,22,34,64.7,12,40,25,15,37,78,115,1,Matches
Roberto Gagliardini,it ITA,"MF,DF",29.0,26.2,61,30,27,25,9,31,50,62.0,19,30,11,19,31,92,38,0,Matches
Dany Mota,pt POR,"FW,MF",25.0,22.8,13,7,2,5,6,8,17,47.1,9,4,1,3,2,15,18,0,Matches
Luca Caldirola,it ITA,DF,32.0,23.8,25,14,19,4,2,13,22,59.1,9,26,17,9,29,54,53,0,Matches
Samuele Birindelli,it ITA,DF,24.0,22.4,28,19,16,7,5,14,25,56.0,11,30,11,19,18,46,48,0,Matches
Giorgos Kyriakopoulos,gr GRE,DF,27.0,19.0,19,10,16,3,0,11,24,45.8,13,18,1,17,13,32,28,0,Matches
Armando Izzo,it ITA,DF,31.0,18.3,27,17,17,9,1,16,27,59.3,11,20,16,4,27,54,49,1,Matches
Patrick Ciurria,it ITA,"DF,MF",28.0,17.8,30,18,13,13,4,13,21,61.9,8,20,5,15,9,39,28,0,Matches
Danilo D'Ambrosio,it ITA,DF,34.0,17.1,57,34,34,20,3,28,41,68.3,13,22,13,9,14,71,31,0,Matches
Andrea Carboni,it ITA,DF,22.0,16.5,38,22,24,12,2,20,31,64.5,11,23,13,10,17,55,56,1,Matches
Lorenzo Colombo,it ITA,FW,21.0,15.1,17,12,3,9,5,8,14,57.1,6,18,5,13,0,17,14,0,Matches
Warren Bondo,fr FRA,MF,19.0,16.4,29,22,16,10,3,13,17,76.5,4,13,3,10,6,35,13,0,Matches
Milan Đurić,ba BIH,FW,33.0,14.0,5,5,0,5,0,2,4,50.0,2,6,2,4,0,5,27,0,Matches
Valentin Carboni,ar ARG,"MF,FW",18.0,13.0,25,15,10,12,3,8,26,30.8,18,12,1,11,7,32,4,0,Matches
Pedro Pereira,pt POR,DF,25.0,9.3,19,13,14,4,1,9,17,52.9,8,15,2,13,4,23,18,0,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,30.0,7.8,20,11,14,4,2,3,9,33.3,6,10,4,6,12,32,15,1,Matches
Alessio Zerbin,it ITA,"DF,FW",24.0,7.6,18,10,13,2,3,4,13,30.8,9,16,3,13,3,21,5,0,Matches
Alessandro Sorrentino,it ITA,GK,21.0,6.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Gianluca Caprari,it ITA,"MF,FW",30.0,3.2,2,1,1,1,0,0,1,0.0,1,0,0,0,2,4,0,0,Matches
Samuele Vignato,it ITA,"MF,FW",19.0,3.8,6,4,2,3,1,2,3,66.7,1,2,0,2,1,7,1,0,Matches
Daniel Maldini,it ITA,"MF,FW",21.0,3.7,3,2,0,2,1,3,6,50.0,3,2,0,2,2,5,1,0,Matches
Pepín,gq EQG,"MF,FW",26.0,2.7,6,1,1,4,1,2,4,50.0,2,5,2,3,0,6,6,0,Matches
Mirko Marić,hr CRO,FW,28.0,3.2,4,0,2,1,1,0,2,0.0,2,4,0,4,2,6,3,0,Matches
Papu Gómez,ar ARG,"MF,FW",35.0,0.5,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Matches
Giulio Donati,it ITA,DF,33.0,0.4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,Matches
Giorgio Cittadini,it ITA,DF,21.0,0.2,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,0,0,Matches
Andrea Ferraris,it ITA,MF,20.0,0.1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Davide Bettella,it ITA,MF,23.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.8,38.0,565,334,307,195,63,266,484,55.0,218,378,151,227,279,844,642,8,0
Opponent Total,0,0,26.6,38.0,481,304,211,199,71,216,432,50.0,216,405,133,272,259,740,594,4,0
