Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Matteo Pessina,it ITA,MF,26.0,35.8,5,1,1,28,44,1,19,27,25,0,1,0,188,32,33,49.2,Matches
Andrea Colpani,it ITA,"MF,FW",24.0,29.5,1,0,0,23,44,2,111,14,15,0,0,0,86,9,25,26.5,Matches
Michele Di Gregorio,it ITA,GK,26.0,31.9,0,0,0,0,4,0,0,1,0,0,0,0,33,6,1,85.7,Matches
Pablo Marí,es ESP,DF,29.0,29.1,7,0,0,37,9,0,4,37,25,0,1,0,98,41,20,67.2,Matches
Roberto Gagliardini,it ITA,"MF,DF",29.0,26.2,5,0,0,26,21,1,8,31,30,0,1,0,140,46,36,56.1,Matches
Dany Mota,pt POR,"FW,MF",25.0,22.8,3,0,0,22,28,6,89,2,7,2,0,0,72,40,48,45.5,Matches
Luca Caldirola,it ITA,DF,32.0,23.8,7,1,1,24,17,1,4,29,14,0,1,0,58,30,23,56.6,Matches
Samuele Birindelli,it ITA,DF,24.0,22.4,7,0,0,30,32,1,54,18,19,0,0,0,77,8,6,57.1,Matches
Giorgos Kyriakopoulos,gr GRE,DF,27.0,19.0,3,0,0,15,14,2,84,13,10,0,1,0,71,12,20,37.5,Matches
Armando Izzo,it ITA,DF,31.0,18.3,9,0,0,32,26,1,3,27,17,0,0,0,81,19,20,48.7,Matches
Patrick Ciurria,it ITA,"DF,MF",28.0,17.8,2,0,0,29,14,4,53,9,18,0,1,0,56,7,9,43.8,Matches
Danilo D'Ambrosio,it ITA,DF,34.0,17.1,5,1,1,18,13,1,7,14,34,0,1,0,77,27,20,57.4,Matches
Andrea Carboni,it ITA,DF,22.0,16.5,1,0,0,12,5,1,21,17,22,0,0,0,56,21,17,55.3,Matches
Lorenzo Colombo,it ITA,FW,21.0,15.1,3,0,0,25,24,6,2,0,12,0,0,0,35,19,64,22.9,Matches
Warren Bondo,fr FRA,MF,19.0,16.4,9,0,0,31,19,0,2,6,22,0,1,0,70,10,7,58.8,Matches
Milan Đurić,ba BIH,FW,33.0,14.0,2,0,0,23,26,1,1,0,5,0,0,0,29,86,40,68.3,Matches
Valentin Carboni,ar ARG,"MF,FW",18.0,13.0,2,0,0,21,20,3,14,7,15,0,0,0,60,4,13,23.5,Matches
Pedro Pereira,pt POR,DF,25.0,9.3,3,0,0,11,3,1,37,4,13,0,0,0,41,5,6,45.5,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,30.0,7.8,5,0,0,15,5,0,1,12,11,0,1,0,29,5,7,41.7,Matches
Alessio Zerbin,it ITA,"DF,FW",24.0,7.6,2,1,1,18,13,0,31,3,10,0,0,0,40,2,10,16.7,Matches
Alessandro Sorrentino,it ITA,GK,21.0,6.1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0.0,Matches
Gianluca Caprari,it ITA,"MF,FW",30.0,3.2,0,0,0,3,5,2,8,2,1,0,0,0,11,0,5,0.0,Matches
Samuele Vignato,it ITA,"MF,FW",19.0,3.8,2,0,0,4,4,1,8,1,4,0,0,0,13,1,5,16.7,Matches
Daniel Maldini,it ITA,"MF,FW",21.0,3.7,0,0,0,3,5,2,9,2,2,0,0,0,11,1,5,16.7,Matches
Pepín,gq EQG,"MF,FW",26.0,2.7,2,0,0,2,6,0,4,0,1,0,0,0,15,0,2,0.0,Matches
Mirko Marić,hr CRO,FW,28.0,3.2,0,1,0,4,5,3,1,2,0,0,0,0,11,11,17,39.3,Matches
Papu Gómez,ar ARG,"MF,FW",35.0,0.5,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0.0,Matches
Giulio Donati,it ITA,DF,33.0,0.4,2,0,0,1,0,0,4,0,0,0,0,0,2,0,2,0.0,Matches
Giorgio Cittadini,it ITA,DF,21.0,0.2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0,Matches
Andrea Ferraris,it ITA,MF,20.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
Davide Bettella,it ITA,MF,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,26.8,38.0,88,5,4,458,408,40,584,279,334,2,9,0,1468,442,462,48.9,0
Opponent Total,0,0,26.6,38.0,75,4,1,431,434,46,655,259,304,7,5,1,1610,462,442,51.1,0
