Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Bryan Cristante,it ITA,"MF,DF",28.0,36.5,8,0,0,77,16,4,29,25,41,0,1,0,203,82,60,57.7,Matches
Gianluca Mancini,it ITA,DF,27.0,31.9,9,0,0,49,31,0,24,36,20,0,0,0,106,42,33,56.0,Matches
Leandro Paredes,ar ARG,MF,29.0,29.3,15,1,0,31,35,0,82,29,36,0,1,0,184,14,3,82.4,Matches
Romelu Lukaku,be BEL,FW,30.0,29.3,5,1,0,24,17,25,13,0,5,0,0,0,52,51,55,48.1,Matches
Diego Llorente,es ESP,DF,29.0,24.1,5,0,0,25,23,0,6,22,19,0,1,0,92,43,50,46.2,Matches
Obite N'Dicka,ci CIV,DF,23.0,24.1,6,0,0,26,16,0,11,16,18,0,0,0,100,38,27,58.5,Matches
Paulo Dybala,ar ARG,"FW,MF",29.0,21.8,3,0,0,12,50,5,88,3,13,0,0,0,83,7,21,25.0,Matches
Rui Patrício,pt POR,GK,35.0,23.0,1,0,0,1,1,0,0,0,0,0,1,0,12,2,0,100.0,Matches
Lorenzo Pellegrini,it ITA,MF,27.0,20.7,7,0,0,26,35,3,76,20,20,1,0,0,97,12,17,41.4,Matches
Rasmus Kristensen,dk DEN,DF,26.0,19.4,5,0,0,14,8,1,44,8,19,1,0,1,67,30,21,58.8,Matches
Stephan El Shaarawy,it ITA,"FW,DF",30.0,19.3,2,0,0,14,28,8,17,13,13,0,0,0,83,9,15,37.5,Matches
Edoardo Bove,it ITA,MF,21.0,19.8,2,0,0,31,37,1,8,11,31,0,0,0,95,29,35,45.3,Matches
Mile Svilar,rs SRB,GK,23.0,15.0,1,0,0,0,4,0,0,0,0,0,0,0,19,5,0,100.0,Matches
Leonardo Spinazzola,it ITA,DF,30.0,14.6,0,0,0,8,6,1,84,3,7,0,0,0,74,6,6,50.0,Matches
Rick Karsdorp,nl NED,DF,28.0,13.2,2,0,0,9,9,0,28,9,18,1,0,0,50,5,2,71.4,Matches
Angeliño,es ESP,DF,26.0,12.7,2,0,0,13,10,1,53,12,11,0,0,1,55,15,9,62.5,Matches
Nicola Zalewski,pl POL,"DF,FW",21.0,10.8,3,1,1,14,27,1,38,9,14,0,0,0,47,10,8,55.6,Matches
Houssem Aouar,dz ALG,"MF,FW",25.0,8.4,3,0,0,10,11,3,10,4,11,0,0,0,39,10,11,47.6,Matches
Andrea Belotti,it ITA,FW,29.0,7.5,1,0,0,14,25,8,4,2,4,0,0,0,15,14,22,38.9,Matches
Zeki Çelik,tr TUR,DF,26.0,7.5,1,0,0,14,3,0,20,8,16,0,0,0,33,3,7,30.0,Matches
Tommaso Baldanzi,it ITA,"FW,MF",20.0,5.8,2,0,0,7,14,1,7,0,5,0,0,0,20,0,2,0.0,Matches
Dean Huijsen,es ESP,DF,18.0,5.7,4,0,0,10,2,0,1,4,5,1,0,1,24,9,7,56.3,Matches
Chris Smalling,eng ENG,DF,33.0,4.3,0,0,0,1,3,0,0,5,1,0,0,0,22,22,7,75.9,Matches
Sardar Azmoun,ir IRN,"FW,MF",28.0,6.5,4,0,0,8,11,2,2,3,5,2,0,0,19,13,15,46.4,Matches
Tammy Abraham,eng ENG,FW,25.0,2.7,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5,Matches
Renato Sanches,pt POR,MF,25.0,1.6,2,0,0,6,3,0,4,0,1,0,1,0,5,1,2,33.3,Matches
Riccardo Pagano,it ITA,"MF,DF",18.0,0.6,0,0,0,3,0,0,1,0,2,0,0,0,3,0,1,0.0,Matches
Ola Solbakken,no NOR,FW,24.0,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.0,Matches
João Costa,br BRA,"MF,FW",18.0,0.2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.0,Matches
Niccolò Pisilli,it ITA,MF,18.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
Squad Total,0,0,27.7,38.0,95,3,1,455,430,66,654,242,336,7,5,3,1602,478,443,51.9,0
Opponent Total,0,0,26.4,38.0,92,6,3,458,436,44,640,282,321,3,12,1,1649,443,478,48.1,0
