Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Walace,br BRA,MF,28.0,36.0,1823,131,591,1051,206,9,1823,39,16,41.0,19,48.7,968,5273,2521,37,30,1,56,27,994,22,Matches
Nehuén Pérez,ar ARG,DF,23.0,36.0,1990,249,946,939,133,29,1990,15,9,60.0,5,33.3,998,4824,2854,28,21,1,18,6,1061,24,Matches
Lorenzo Lucca,it ITA,FW,22.0,28.8,772,41,91,377,313,93,772,33,12,36.4,20,60.6,436,1829,459,10,16,5,85,48,598,118,Matches
Lazar Samardzic,rs SRB,MF,21.0,26.4,1284,39,216,616,487,32,1283,101,47,46.5,49,48.5,656,4109,2253,65,39,8,53,20,735,91,Matches
Hassane Kamara,ci CIV,DF,29.0,24.7,1112,57,339,410,383,30,1112,54,30,55.6,22,40.7,555,3417,1726,61,36,9,34,19,578,93,Matches
Thomas Kristensen,dk DEN,DF,21.0,23.3,1124,164,583,499,57,22,1124,10,10,100.0,0,0.0,474,2640,1233,20,10,1,17,5,536,3,Matches
Jaka Bijol,si SVN,DF,24.0,23.2,1099,212,669,395,38,29,1099,0,0,0.0,0,0.0,528,2641,1564,5,2,0,3,4,560,1,Matches
Roberto Pereyra,ar ARG,"FW,MF",32.0,20.6,806,36,182,387,253,41,805,40,16,40.0,22,55.0,486,3084,1350,39,21,8,46,27,531,82,Matches
Sandi Lovrić,si SVN,MF,25.0,22.1,939,31,169,444,347,35,939,32,17,53.1,14,43.8,521,3157,1735,52,35,10,30,20,546,80,Matches
Maduka Okoye,ng NGA,GK,23.0,21.0,491,448,489,2,0,0,491,0,0,0.0,0,0.0,203,1318,754,0,0,0,1,0,134,0,Matches
Martín Payero,ar ARG,MF,24.0,20.0,828,28,172,434,255,24,828,65,24,36.9,33,50.8,447,3190,1783,47,35,3,45,19,463,64,Matches
Festy Ebosele,ie IRL,DF,20.0,18.9,706,35,166,245,314,46,706,108,49,45.4,37,34.3,406,3692,1887,67,45,30,56,34,405,98,Matches
Florian Thauvin,fr FRA,FW,30.0,19.0,774,4,70,343,385,82,773,90,35,38.9,46,51.1,489,3738,1928,71,53,30,57,36,541,97,Matches
João Ferreira,pt POR,DF,22.0,20.2,1107,122,501,475,146,11,1107,33,18,54.5,12,36.4,515,2764,1488,19,21,4,22,8,533,45,Matches
Marco Silvestri,it ITA,GK,32.0,17.0,488,442,488,0,0,0,488,0,0,0.0,0,0.0,250,1212,801,0,0,0,0,0,183,0,Matches
Kingsley Ehizibue,nl NED,DF,28.0,10.6,413,43,132,146,139,28,413,21,11,52.4,6,28.6,200,1268,596,18,10,7,17,10,198,44,Matches
Jordan Zemura,zw ZIM,DF,23.0,11.5,473,19,112,197,172,25,473,22,13,59.1,8,36.4,264,1678,810,23,16,9,27,14,273,52,Matches
Christian Kabasele,be BEL,DF,32.0,9.6,427,92,225,181,22,9,427,1,0,0.0,1,100.0,198,1097,558,7,3,0,5,0,216,1,Matches
Isaac Success,ng NGA,"FW,MF",27.0,9.8,332,14,28,159,151,28,331,40,20,50.0,14,35.0,237,1296,409,15,12,5,36,27,288,51,Matches
Lautaro Gianetti,ar ARG,DF,29.0,7.0,383,72,227,147,9,5,383,1,1,100.0,0,0.0,195,720,262,2,1,0,2,0,215,0,Matches
Oier Zarraga,es ESP,MF,24.0,4.5,166,15,57,75,34,5,166,2,1,50.0,1,50.0,70,339,197,5,4,2,7,3,90,10,Matches
Brenner,br BRA,"MF,FW",23.0,2.1,88,0,10,34,47,7,88,6,2,33.3,3,50.0,47,290,158,6,4,1,9,2,53,10,Matches
Beto,gw GNB,FW,25.0,0.8,17,0,0,7,10,1,17,3,2,66.7,1,33.3,15,51,18,0,0,0,3,0,14,5,Matches
Adam Masina,ma MAR,DF,29.0,0.7,48,7,27,14,7,0,48,0,0,0.0,0,0.0,20,55,8,0,0,0,2,1,20,3,Matches
Keinan Davis,eng ENG,"FW,MF",25.0,2.1,76,3,8,20,50,9,76,5,3,60.0,1,20.0,41,334,74,2,1,3,9,3,61,15,Matches
Axel Guessand,fr FRA,DF,18.0,0.5,33,1,10,22,1,1,33,0,0,0.0,0,0.0,21,108,63,1,0,0,3,0,25,1,Matches
Domingos Quina,pt POR,MF,23.0,0.1,2,0,1,1,0,0,2,0,0,0.0,0,0.0,1,2,0,0,0,0,0,0,0,0,Matches
Vivaldo Semedo,pt POR,FW,18.0,0.1,3,0,0,2,1,1,3,0,0,0.0,0,0.0,3,6,2,1,0,1,1,2,3,0,Matches
Marley Aké,fr FRA,FW,22.0,0.1,1,0,1,0,0,0,1,0,0,0.0,0,0.0,1,0,0,0,0,0,1,0,1,0,Matches
Enzo Ebosse,cm CMR,DF,24.0,0.1,17,5,9,8,0,0,17,0,0,0.0,0,0.0,12,38,21,0,0,0,0,0,12,0,Matches
Simone Pafundi,it ITA,MF,17.0,0.1,9,0,3,4,2,0,9,0,0,0.0,0,0.0,4,19,2,0,0,0,0,0,4,1,Matches
Antonio Tikvić,hr CRO,DF,19.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,25.7,38.0,17831,2310,6522,7634,3962,602,17827,721,336,46.6,314,43.6,9261,54189,27514,601,415,138,645,335,9871,1011,0
Opponent Total,0,0,26.6,38.0,24662,2030,6753,12129,6002,856,24653,643,272,42.3,299,46.5,14382,77760,39949,694,518,163,607,307,16770,1715,0
